Dates,JWN
2018-06-20,51.90999984741211
2018-06-21,52.97999954223633
2018-06-25,53.04999923706055
2018-06-22,51.66999816894531
2018-06-26,51.65999984741211
2018-06-27,52.20000076293945
2018-06-28,52.560001373291016
2018-06-29,52.810001373291016
2018-07-02,50.709999084472656
2018-07-03,51.83000183105469
2018-07-05,53.16999816894531
2018-07-16,54.09000015258789
2018-09-18,54.11000061035156
2019-01-24,52.43000030517578
2019-09-05,53.54999923706055
2018-11-21,53.689998626708984
2020-01-13,53.86000061035156
2020-04-01,52.7599983215332
2020-06-19,52.70000076293945
2019-10-29,53.18000030517578
2020-01-16,54.09000015258789
2020-06-22,54.61000061035156
2018-10-03,53.4900016784668
2018-07-31,53.290000915527344
2019-03-12,53.43000030517578
2019-02-08,54.279998779296875
2019-01-07,53.279998779296875
2018-12-06,52.810001373291016
2019-08-19,53.099998474121094
2019-07-18,52.22999954223633
2019-05-15,50.97999954223633
2019-09-20,51.470001220703125
2019-11-01,51.08000183105469
2020-04-07,51.349998474121094
2020-06-25,51.630001068115234
2020-06-16,52.66999816894531
2019-11-04,53.29999923706055
2020-01-22,53.29999923706055
2019-11-07,54.970001220703125
2020-04-13,54.08000183105469
2019-07-01,52.63999938964844
2019-05-30,59.25
2018-08-15,61.72999954223633
2018-10-18,62.04999923706055
2019-03-27,61.97999954223633
2019-01-22,62.18000030517578
2018-12-21,62.7400016784668
2019-09-03,61.9900016784668
2018-11-19,62.349998474121094
2019-08-02,61.75
2020-01-28,62.279998779296875
2020-04-16,63.029998779296875
2019-11-13,65.05999755859375
2020-01-31,65.77999877929688
2018-12-04,66.30000305175781
2018-11-02,66.33000183105469
2019-07-16,66.2699966430664
2018-08-30,66.0999984741211
2018-10-01,66.01000213623047
2019-06-14,66.08999633789062
2019-05-13,65.58000183105469
2019-04-11,65.45999908447266
2019-02-06,64.77999877929688
2019-09-18,64.7300033569336
2020-02-03,63.779998779296875
2020-04-22,62.02000045776367
2019-11-19,60.86000061035156
2020-02-06,60.68000030517578
2019-11-22,61.380001068115234
2019-03-25,60.56999969482422
2019-02-21,60.630001068115234
2018-12-19,61.119998931884766
2018-07-12,60.91999816894531
2018-09-14,59.52000045776367
2018-08-13,59.970001220703125
2018-10-16,60.849998474121094
2019-07-31,62.11000061035156
2019-05-28,62.4900016784668
2019-04-26,62.59000015258789
2020-04-28,61.81999969482422
2019-11-25,61.65999984741211
2020-02-12,62.290000915527344
2020-05-01,62.68000030517578
2020-05-04,62.61000061035156
2019-06-12,60.959999084472656
2019-04-09,60.540000915527344
2019-03-08,60.97999954223633
2019-02-04,60.45000076293945
2018-07-27,62.0
2018-08-28,61.79999923706055
2019-01-03,62.290000915527344
2019-08-15,64.73999786376953
2018-10-31,67.05999755859375
2019-09-16,67.69999694824219
2020-02-18,66.38999938964844
2020-05-07,67.66999816894531
2018-08-17,67.44999694824219
2019-12-04,67.75
2020-02-21,67.6500015258789
2018-12-17,67.19999694824219
2019-08-30,66.3499984741211
2018-11-15,66.5999984741211
2019-07-29,65.12999725341797
2019-06-27,65.23999786376953
2019-04-24,60.25
2018-07-10,52.599998474121094
2018-09-12,51.88999938964844
2019-02-19,51.7599983215332
