Dates,PEAK
2018-06-20,23.940000534057617
2018-06-21,24.459999084472656
2018-06-25,24.68000030517578
2018-06-22,24.84000015258789
2018-06-26,24.959999084472656
2018-06-27,25.15999984741211
2018-06-28,25.110000610351562
2018-06-29,25.690000534057617
2018-07-02,25.809999465942383
2018-07-03,25.530000686645508
2018-07-05,25.920000076293945
2018-07-16,26.290000915527344
2018-09-18,26.229999542236328
2019-01-24,25.889999389648438
2019-09-05,26.0
2018-11-21,25.920000076293945
2020-01-13,25.889999389648438
2020-04-01,25.780000686645508
2020-06-19,25.8700008392334
2019-10-29,25.540000915527344
2020-01-16,25.469999313354492
2020-06-22,25.959999084472656
2018-10-03,25.979999542236328
2018-07-31,25.979999542236328
2019-03-12,25.93000030517578
2019-02-08,26.329999923706055
2019-01-07,26.399999618530273
2018-12-06,25.389999389648438
2019-08-19,25.6299991607666
2019-07-18,25.56999969482422
2019-05-15,25.969999313354492
2019-09-20,25.780000686645508
2019-11-01,26.5
2020-04-07,26.25
2020-06-25,26.5
2020-06-16,26.149999618530273
2019-11-04,26.1299991607666
2020-01-22,26.020000457763672
2019-11-07,26.049999237060547
2020-04-13,26.229999542236328
2019-07-01,26.770000457763672
2019-05-30,27.030000686645508
2018-08-15,27.299999237060547
2018-10-18,27.049999237060547
2019-03-27,26.959999084472656
2019-01-22,26.799999237060547
2018-12-21,26.6299991607666
2019-09-03,26.719999313354492
2018-11-19,26.649999618530273
2019-08-02,27.079999923706055
2020-01-28,27.1299991607666
2020-04-16,26.969999313354492
2019-11-13,26.940000534057617
2020-01-31,26.469999313354492
2018-12-04,26.709999084472656
2018-11-02,26.75
2019-07-16,26.8799991607666
2018-08-30,26.469999313354492
2018-10-01,26.68000030517578
2019-06-14,26.790000915527344
2019-05-13,26.719999313354492
2019-04-11,26.3799991607666
2019-02-06,26.709999084472656
2019-09-18,26.329999923706055
2020-02-03,26.079999923706055
2020-04-22,26.270000457763672
2019-11-19,26.309999465942383
2020-02-06,25.719999313354492
2019-11-22,25.8799991607666
2019-03-25,25.68000030517578
2019-02-21,25.799999237060547
2018-12-19,26.260000228881836
2018-07-12,25.81999969482422
2018-09-14,25.610000610351562
2018-08-13,25.170000076293945
2018-10-16,25.25
2019-07-31,25.309999465942383
2019-05-28,25.729999542236328
2019-04-26,25.899999618530273
2020-04-28,25.90999984741211
2019-11-25,24.979999542236328
2020-02-12,24.729999542236328
2020-05-01,25.010000228881836
2020-05-04,25.65999984741211
2019-06-12,25.84000015258789
2019-04-09,25.959999084472656
2019-03-08,26.40999984741211
2019-02-04,25.920000076293945
2018-07-27,26.200000762939453
2018-08-28,26.760000228881836
2019-01-03,27.010000228881836
2019-08-15,26.709999084472656
2018-10-31,27.1299991607666
2019-09-16,27.420000076293945
2020-02-18,27.639999389648438
2020-05-07,27.90999984741211
2018-08-17,27.719999313354492
2019-12-04,28.200000762939453
2020-02-21,28.5
2018-12-17,28.809999465942383
2019-08-30,28.790000915527344
2018-11-15,28.889999389648438
2019-07-29,28.889999389648438
2019-06-27,28.780000686645508
2019-04-24,28.299999237060547
2018-07-10,28.40999984741211
2018-09-12,28.56999969482422
2019-02-19,28.610000610351562
2019-01-18,28.93000030517578
2020-02-24,28.829999923706055
2020-05-13,28.8799991607666
2019-12-10,28.799999237060547
2020-02-27,28.969999313354492
2019-12-13,28.860000610351562
2020-05-19,28.90999984741211
2019-03-06,29.360000610351562
2018-11-30,29.190000534057617
2019-08-13,29.09000015258789
2019-07-12,30.1200008392334
2019-06-10,29.940000534057617
2019-05-09,29.700000762939453
2018-07-25,29.81999969482422
2018-09-27,28.969999313354492
2018-10-29,28.950000762939453
2019-10-16,29.0
2019-12-16,28.149999618530273
2020-03-04,28.6299991607666
2020-05-22,28.520000457763672
2019-10-01,28.770000457763672
2019-12-19,28.280000686645508
2018-09-10,26.850000381469727
2019-05-24,27.790000915527344
2018-08-09,28.040000915527344
2019-04-22,27.969999313354492
2019-03-21,27.65999984741211
2019-01-16,26.959999084472656
2019-08-28,27.989999771118164
2018-11-13,28.190000534057617
2018-10-12,28.360000610351562
2019-06-25,28.84000015258789
2020-03-10,28.459999084472656
2020-05-28,28.860000610351562
2019-10-07,28.940000534057617
2020-03-13,29.030000686645508
2019-10-10,29.329999923706055
2020-03-16,29.649999618530273
2020-06-03,29.799999237060547
2018-11-28,29.899999618530273
2018-09-25,29.889999389648438
2018-07-23,29.809999465942383
2018-08-24,29.799999237060547
2019-07-10,30.290000915527344
2019-05-07,30.540000915527344
2019-04-05,30.639999389648438
2019-03-04,30.8799991607666
2019-01-31,31.579999923706055
2019-09-12,30.969999313354492
2019-12-31,31.18000030517578
2020-03-19,31.329999923706055
2020-01-03,31.079999923706055
2020-06-09,31.209999084472656
2019-02-15,31.239999771118164
2019-01-14,31.149999618530273
2018-07-06,30.229999542236328
2018-08-07,30.739999771118164
2018-10-10,30.920000076293945
2018-12-13,30.850000381469727
2019-08-26,30.81999969482422
2019-07-25,30.6200008392334
2019-05-22,31.06999969482422
2019-03-19,31.270000457763672
2020-01-06,31.06999969482422
2020-03-25,30.709999084472656
2020-06-12,30.780000686645508
2019-10-22,30.809999465942383
2020-01-09,30.559999465942383
2020-06-15,30.59000015258789
2019-10-25,30.790000915527344
2020-03-31,30.579999923706055
2020-06-18,30.510000228881836
2019-04-03,30.450000762939453
2018-08-22,31.020000457763672
2018-10-25,31.190000534057617
2019-01-29,31.290000915527344
2018-12-28,31.34000015258789
2018-11-26,31.100000381469727
2019-08-09,30.440000534057617
2019-07-08,30.34000015258789
2019-06-06,30.649999618530273
2019-09-10,31.739999771118164
2020-01-15,31.68000030517578
2020-04-03,31.739999771118164
2019-10-31,31.84000015258789
2020-04-06,31.65999984741211
2020-06-24,31.719999313354492
2018-11-09,31.309999465942383
2019-07-23,31.209999084472656
2019-06-21,31.200000762939453
2019-05-20,31.239999771118164
2019-04-18,31.010000228881836
2018-09-06,31.219999313354492
2018-10-08,30.899999618530273
2019-02-13,30.90999984741211
2018-12-11,30.940000534057617
2019-09-25,30.809999465942383
2020-01-21,30.8700008392334
2020-04-09,30.8799991607666
2019-11-06,29.889999389648438
2020-01-24,29.149999618530273
2020-01-27,29.690000534057617
2020-04-15,29.40999984741211
2018-12-26,29.68000030517578
2019-08-07,29.690000534057617
2019-06-04,29.989999771118164
2018-09-21,30.1200008392334
2018-07-19,29.56999969482422
2018-08-20,29.770000457763672
2018-10-23,29.799999237060547
2019-05-03,30.3799991607666
2019-04-01,30.549999237060547
2019-02-28,30.170000076293945
2019-11-12,29.799999237060547
2020-01-30,29.780000686645508
