Dates,PEAK
2018-06-20,24.5
2018-06-21,24.6200008392334
2018-06-25,24.81999969482422
2018-06-22,24.969999313354492
2018-06-26,25.1200008392334
2018-06-27,25.06999969482422
2018-06-28,25.700000762939453
2018-06-29,25.81999969482422
2018-07-02,25.549999237060547
2018-07-03,25.850000381469727
2018-07-05,26.190000534057617
2018-07-16,26.239999771118164
2018-09-18,25.93000030517578
2019-01-24,26.010000228881836
2019-09-05,25.93000030517578
2018-11-21,25.8799991607666
2020-01-13,25.84000015258789
2020-04-01,25.780000686645508
2020-06-19,25.56999969482422
2019-10-29,25.5
2020-01-16,26.020000457763672
2020-06-22,25.979999542236328
2018-10-03,26.030000686645508
2018-07-31,25.8700008392334
2019-03-12,26.229999542236328
2019-02-08,26.350000381469727
2019-01-07,25.450000762939453
2018-12-06,25.479999542236328
2019-08-19,25.899999618530273
2019-07-18,26.0
2019-05-15,26.040000915527344
2019-09-20,26.459999084472656
2019-11-01,26.260000228881836
2020-04-07,26.469999313354492
2020-06-25,26.09000015258789
2020-06-16,26.15999984741211
2019-11-04,25.979999542236328
2020-01-22,26.049999237060547
2019-11-07,26.280000686645508
2020-04-13,26.860000610351562
2019-07-01,26.979999542236328
2019-05-30,27.219999313354492
2018-08-15,27.06999969482422
2018-10-18,26.93000030517578
2019-03-27,26.739999771118164
2019-01-22,26.709999084472656
2018-12-21,26.719999313354492
2019-09-03,26.719999313354492
2018-11-19,27.030000686645508
2019-08-02,27.059999465942383
2020-01-28,26.93000030517578
2020-04-16,27.030000686645508
2019-11-13,26.540000915527344
2020-01-31,26.639999389648438
2018-12-04,26.979999542236328
2018-11-02,26.450000762939453
2019-07-16,26.6299991607666
2018-08-30,26.65999984741211
2018-10-01,26.6299991607666
2019-06-14,26.81999969482422
2019-05-13,26.299999237060547
2019-04-11,26.739999771118164
2019-02-06,26.280000686645508
2019-09-18,26.1200008392334
2020-02-03,26.350000381469727
2020-04-22,26.389999389648438
2019-11-19,25.700000762939453
2020-02-06,25.899999618530273
2019-11-22,25.559999465942383
2019-03-25,25.649999618530273
