Dates,PEAK
2018-06-20,2404900.0
2018-06-21,2573700.0
2018-06-25,3168100.0
2018-06-22,2515900.0
2018-06-26,4039100.0
2018-06-27,4389500.0
2018-06-28,5588400.0
2018-06-29,4181200.0
2018-07-02,3071900.0
2018-07-03,2516400.0
2018-07-05,3500400.0
2018-07-16,4463700.0
2018-09-18,4129000.0
2019-01-24,3566000.0
2019-09-05,4392100.0
2018-11-21,3723300.0
2020-01-13,2506400.0
2020-04-01,2344500.0
2020-06-19,2844000.0
2019-10-29,3060200.0
2020-01-16,8227200.0
2020-06-22,2677700.0
2018-10-03,2182200.0
2018-07-31,2678500.0
2019-03-12,2766700.0
2019-02-08,2849400.0
2019-01-07,3963000.0
2018-12-06,2587200.0
2019-08-19,5411600.0
2019-07-18,3820700.0
2019-05-15,3691600.0
2019-09-20,3387600.0
2019-11-01,2589400.0
2020-04-07,2424900.0
2020-06-25,1630300.0
2020-06-16,1851100.0
2019-11-04,1856800.0
2020-01-22,1937400.0
2019-11-07,1848100.0
2020-04-13,3086100.0
2019-07-01,2821000.0
2019-05-30,2597600.0
2018-08-15,2377000.0
2018-10-18,2137000.0
2019-03-27,1627700.0
2019-01-22,2446400.0
2018-12-21,1082900.0
2019-09-03,1604200.0
2018-11-19,3087400.0
2019-08-02,1978600.0
2020-01-28,1713500.0
2020-04-16,2162800.0
2019-11-13,1974400.0
2020-01-31,2296600.0
2018-12-04,2407200.0
2018-11-02,1672400.0
2019-07-16,2190700.0
2018-08-30,1635300.0
2018-10-01,1537900.0
2019-06-14,1761600.0
2019-05-13,1929200.0
2019-04-11,2130600.0
2019-02-06,1984300.0
2019-09-18,2114300.0
2020-02-03,2334800.0
2020-04-22,4655800.0
2019-11-19,2753100.0
2020-02-06,2720900.0
2019-11-22,2198700.0
2019-03-25,1932600.0
2019-02-21,3555900.0
2018-12-19,2149800.0
2018-07-12,1779300.0
2018-09-14,3102000.0
2018-08-13,2829400.0
2018-10-16,2294800.0
2019-07-31,2424600.0
2019-05-28,2469600.0
2019-04-26,3777900.0
2020-04-28,4600700.0
2019-11-25,4580500.0
2020-02-12,2058900.0
2020-05-01,2426400.0
2020-05-04,2077900.0
2019-06-12,2977300.0
2019-04-09,3631200.0
2019-03-08,3338800.0
2019-02-04,2810400.0
2018-07-27,3742200.0
2018-08-28,2951100.0
2019-01-03,3618500.0
2019-08-15,2754800.0
2018-10-31,6345300.0
2019-09-16,7615500.0
2020-02-18,5209100.0
2020-05-07,5772200.0
2018-08-17,5870700.0
2019-12-04,3724300.0
2020-02-21,3107200.0
2018-12-17,2541500.0
2019-08-30,3877200.0
2018-11-15,2760100.0
2019-07-29,3391400.0
2019-06-27,3624400.0
2019-04-24,3573000.0
2018-07-10,3465700.0
2018-09-12,2485200.0
2019-02-19,3765000.0
2019-01-18,2466400.0
2020-02-24,860200.0
2020-05-13,3388200.0
2019-12-10,3371400.0
2020-02-27,4191800.0
2019-12-13,4828900.0
2020-05-19,6015200.0
2019-03-06,6461000.0
2018-11-30,6317800.0
2019-08-13,7406600.0
2019-07-12,3379800.0
2019-06-10,3179600.0
2019-05-09,7433700.0
2018-07-25,4707100.0
2018-09-27,3749400.0
2018-10-29,4032000.0
2019-10-16,5536400.0
2019-12-16,3083200.0
2020-03-04,4375100.0
2020-05-22,5854600.0
2019-10-01,11141600.0
2019-12-19,1905100.0
2018-09-10,3201900.0
2019-05-24,3743800.0
2018-08-09,3379900.0
2019-04-22,2816200.0
2019-03-21,3326400.0
2019-01-16,6875500.0
2019-08-28,3769200.0
2018-11-13,3055900.0
2018-10-12,2757400.0
2019-06-25,2592700.0
2020-03-10,2827800.0
2020-05-28,2240900.0
2019-10-07,1845200.0
2020-03-13,2933800.0
2019-10-10,3556200.0
2020-03-16,3978300.0
2020-06-03,3500000.0
2018-11-28,2292000.0
2018-09-25,2940900.0
2018-07-23,2441500.0
2018-08-24,2506100.0
2019-07-10,2130900.0
2019-05-07,2533800.0
2019-04-05,2534800.0
2019-03-04,6555500.0
2019-01-31,2830500.0
2019-09-12,2031500.0
2019-12-31,1925900.0
2020-03-19,2611600.0
2020-01-03,2559500.0
2020-06-09,2288000.0
2019-02-15,1613400.0
2019-01-14,3384800.0
2018-07-06,3625600.0
2018-08-07,4378400.0
2018-10-10,4044800.0
2018-12-13,3659500.0
2019-08-26,4058800.0
2019-07-25,3075900.0
2019-05-22,2594500.0
2019-03-19,3293500.0
2020-01-06,2879400.0
2020-03-25,3018400.0
2020-06-12,5534500.0
2019-10-22,5085000.0
2020-01-09,3175000.0
2020-06-15,2142600.0
2019-10-25,3080200.0
2020-03-31,3349200.0
2020-06-18,3806700.0
2019-04-03,3516600.0
2018-08-22,3071600.0
2018-10-25,2204400.0
2019-01-29,2130200.0
2018-12-28,4944300.0
2018-11-26,3347100.0
2019-08-09,3828200.0
2019-07-08,3589300.0
2019-06-06,5269800.0
2019-09-10,3752200.0
2020-01-15,3261800.0
2020-04-03,2794100.0
2019-10-31,2182300.0
2020-04-06,4180400.0
2020-06-24,3872300.0
2018-11-09,3244700.0
2019-07-23,3308500.0
2019-06-21,3704200.0
2019-05-20,2610400.0
2019-04-18,2566600.0
2018-09-06,2797800.0
2018-10-08,2260800.0
2019-02-13,2634500.0
2018-12-11,2422000.0
2019-09-25,2902500.0
2020-01-21,1906600.0
2020-04-09,2866800.0
2019-11-06,3384300.0
2020-01-24,3567100.0
2020-01-27,3605600.0
2020-04-15,2635600.0
2018-12-26,1861800.0
