Dates,PEAK
2018-06-20,23.940000534057617
2018-06-21,24.440000534057617
2018-06-25,24.579999923706055
2018-06-22,24.700000762939453
2018-06-26,24.829999923706055
2018-06-27,24.979999542236328
2018-06-28,25.110000610351562
2018-06-29,25.450000762939453
2018-07-02,25.31999969482422
2018-07-03,25.350000381469727
2018-07-05,25.649999618530273
2018-07-16,26.15999984741211
2018-09-18,25.739999771118164
2019-01-24,25.84000015258789
2019-09-05,25.850000381469727
2018-11-21,25.780000686645508
2020-01-13,25.68000030517578
2020-04-01,25.5
2020-06-19,25.530000686645508
2019-10-29,25.3700008392334
2020-01-16,25.399999618530273
2020-06-22,25.649999618530273
2018-10-03,25.739999771118164
2018-07-31,25.540000915527344
2019-03-12,25.860000610351562
2019-02-08,26.110000610351562
2019-01-07,25.170000076293945
2018-12-06,25.18000030517578
2019-08-19,25.459999084472656
2019-07-18,25.09000015258789
2019-05-15,25.6200008392334
2019-09-20,25.739999771118164
2019-11-01,26.190000534057617
2020-04-07,26.110000610351562
2020-06-25,26.030000686645508
2020-06-16,26.059999465942383
2019-11-04,25.920000076293945
2020-01-22,25.81999969482422
2019-11-07,26.010000228881836
2020-04-13,26.229999542236328
2019-07-01,26.56999969482422
2019-05-30,27.020000457763672
2018-08-15,27.030000686645508
2018-10-18,26.850000381469727
2019-03-27,26.68000030517578
2019-01-22,26.690000534057617
2018-12-21,26.479999542236328
2019-09-03,26.420000076293945
2018-11-19,26.559999465942383
2019-08-02,27.040000915527344
2020-01-28,26.899999618530273
2020-04-16,26.860000610351562
2019-11-13,26.510000228881836
2020-01-31,26.280000686645508
2018-12-04,26.700000762939453
2018-11-02,26.399999618530273
2019-07-16,26.6299991607666
2018-08-30,26.3799991607666
2018-10-01,26.549999237060547
2019-06-14,26.549999237060547
2019-05-13,26.1200008392334
2019-04-11,26.280000686645508
2019-02-06,26.280000686645508
2019-09-18,26.06999969482422
2020-02-03,25.829999923706055
2020-04-22,26.139999389648438
2019-11-19,25.68000030517578
2020-02-06,25.709999084472656
2019-11-22,25.530000686645508
2019-03-25,25.56999969482422
2019-02-21,25.799999237060547
2018-12-19,25.75
2018-07-12,25.579999923706055
2018-09-14,25.06999969482422
2018-08-13,24.93000030517578
2018-10-16,25.1299991607666
2019-07-31,25.309999465942383
2019-05-28,25.510000228881836
2019-04-26,25.770000457763672
2020-04-28,24.799999237060547
2019-11-25,24.469999313354492
2020-02-12,24.709999084472656
2020-05-01,24.799999237060547
2020-05-04,25.530000686645508
2019-06-12,25.729999542236328
2019-04-09,25.850000381469727
2019-03-08,25.8799991607666
2019-02-04,25.81999969482422
2018-07-27,26.110000610351562
2018-08-28,26.520000457763672
2019-01-03,26.18000030517578
2019-08-15,26.6200008392334
2018-10-31,26.959999084472656
2019-09-16,26.8700008392334
2020-02-18,27.15999984741211
2020-05-07,27.219999313354492
2018-08-17,27.670000076293945
2019-12-04,27.979999542236328
2020-02-21,28.270000457763672
2018-12-17,28.43000030517578
2019-08-30,28.600000381469727
2018-11-15,28.75
2019-07-29,28.709999084472656
2019-06-27,28.3799991607666
