Dates,LYV
2018-06-20,47.029998779296875
2018-06-21,46.97999954223633
2018-06-25,47.779998779296875
2018-06-22,47.45000076293945
2018-06-26,47.369998931884766
2018-06-27,46.88999938964844
2018-06-28,46.720001220703125
2018-06-29,48.33000183105469
2018-07-02,48.02000045776367
2018-07-03,48.15999984741211
2018-07-05,48.56999969482422
2018-07-16,49.04999923706055
2018-09-18,49.709999084472656
2019-01-24,49.689998626708984
2019-09-05,49.33000183105469
2018-11-21,49.72999954223633
2020-01-13,51.13999938964844
2020-04-01,50.91999816894531
2020-06-19,50.720001220703125
2019-10-29,51.34000015258789
2020-01-16,50.70000076293945
2020-06-22,50.95000076293945
2018-10-03,50.869998931884766
2018-07-31,51.52000045776367
2019-03-12,51.189998626708984
2019-02-08,51.58000183105469
2019-01-07,49.38999938964844
2018-12-06,48.75
2019-08-19,48.52000045776367
2019-07-18,49.040000915527344
2019-05-15,48.7599983215332
2019-09-20,48.81999969482422
2019-11-01,49.0
2020-04-07,49.5
2020-06-25,49.2400016784668
2020-06-16,49.25
2019-11-04,49.0099983215332
2020-01-22,48.86000061035156
2019-11-07,48.7599983215332
2020-04-13,47.869998931884766
2019-07-01,48.459999084472656
2019-05-30,47.91999816894531
2018-08-15,47.58000183105469
2018-10-18,48.380001068115234
2019-03-27,49.040000915527344
2019-01-22,49.13999938964844
2018-12-21,49.20000076293945
2019-09-03,49.43000030517578
2018-11-19,49.209999084472656
2019-08-02,49.18000030517578
2020-01-28,49.189998626708984
2020-04-16,49.16999816894531
2019-11-13,48.83000183105469
2020-01-31,49.220001220703125
2018-12-04,49.15999984741211
2018-11-02,49.20000076293945
2019-07-16,50.0
2018-08-30,50.130001068115234
2018-10-01,51.09000015258789
2019-06-14,52.970001220703125
2019-05-13,54.65999984741211
2019-04-11,53.33000183105469
2019-02-06,53.189998626708984
2019-09-18,52.470001220703125
2020-02-03,50.45000076293945
2020-04-22,52.40999984741211
2019-11-19,52.54999923706055
2020-02-06,53.56999969482422
2019-11-22,53.369998931884766
2019-03-25,53.20000076293945
2019-02-21,53.83000183105469
2018-12-19,53.970001220703125
2018-07-12,53.83000183105469
2018-09-14,54.34000015258789
2018-08-13,50.849998474121094
2018-10-16,51.43000030517578
2019-07-31,51.02000045776367
2019-05-28,50.459999084472656
2019-04-26,49.4900016784668
2020-04-28,49.150001525878906
2019-11-25,50.06999969482422
2020-02-12,50.779998779296875
2020-05-01,52.040000915527344
2020-05-04,53.040000915527344
2019-06-12,52.20000076293945
2019-04-09,51.599998474121094
2019-03-08,51.40999984741211
2019-02-04,50.63999938964844
2018-07-27,49.20000076293945
2018-08-28,49.7400016784668
2019-01-03,48.31999969482422
2019-08-15,48.43000030517578
2018-10-31,48.84000015258789
2019-09-16,50.79999923706055
2020-02-18,52.0099983215332
2020-05-07,53.970001220703125
2018-08-17,53.90999984741211
2019-12-04,55.0099983215332
2020-02-21,55.4900016784668
2018-12-17,56.22999954223633
2019-08-30,55.86000061035156
2018-11-15,54.25
2019-07-29,55.279998779296875
2019-06-27,53.380001068115234
2019-04-24,52.869998931884766
2018-07-10,53.470001220703125
2018-09-12,52.900001525878906
2019-02-19,50.68000030517578
2019-01-18,51.81999969482422
2020-02-24,52.11000061035156
2020-05-13,53.720001220703125
2019-12-10,52.279998779296875
2020-02-27,52.119998931884766
2019-12-13,54.72999954223633
2020-05-19,54.790000915527344
2019-03-06,55.29999923706055
2018-11-30,54.040000915527344
2019-08-13,53.25
2019-07-12,54.349998474121094
2019-06-10,53.22999954223633
2019-05-09,54.099998474121094
2018-07-25,54.5
2018-09-27,54.08000183105469
2018-10-29,53.709999084472656
2019-10-16,52.060001373291016
2019-12-16,52.06999969482422
2020-03-04,50.779998779296875
2020-05-22,49.06999969482422
2019-10-01,48.5099983215332
2019-12-19,46.18000030517578
2018-09-10,46.02000045776367
2019-05-24,46.75
2018-08-09,47.72999954223633
2019-04-22,48.41999816894531
2019-03-21,47.099998474121094
2019-01-16,47.470001220703125
2019-08-28,48.189998626708984
2018-11-13,49.560001373291016
2018-10-12,51.189998626708984
2019-06-25,52.099998474121094
2020-03-10,52.279998779296875
