Dates,LYV
2018-06-20,1275400.0
2018-06-21,876700.0
2018-06-25,2447100.0
2018-06-22,1312800.0
2018-06-26,753500.0
2018-06-27,1074000.0
2018-06-28,1620000.0
2018-06-29,2040300.0
2018-07-02,1198800.0
2018-07-03,502100.0
2018-07-05,995600.0
2018-07-16,817100.0
2018-09-18,1181900.0
2019-01-24,851100.0
2019-09-05,974200.0
2018-11-21,1354300.0
2020-01-13,1569300.0
2020-04-01,997700.0
2020-06-19,1090200.0
2019-10-29,899900.0
2020-01-16,1269000.0
2020-06-22,943600.0
2018-10-03,878900.0
2018-07-31,1507500.0
2019-03-12,1168200.0
2019-02-08,1854700.0
2019-01-07,3392500.0
2018-12-06,1922700.0
2019-08-19,2026800.0
2019-07-18,1781000.0
2019-05-15,1014500.0
2019-09-20,1157500.0
2019-11-01,1058700.0
2020-04-07,941400.0
2020-06-25,1246100.0
2020-06-16,885100.0
2019-11-04,1212500.0
2020-01-22,1047700.0
2019-11-07,1551100.0
2020-04-13,1433500.0
2019-07-01,1191700.0
2019-05-30,834700.0
2018-08-15,1325500.0
2018-10-18,1205500.0
2019-03-27,832300.0
2019-01-22,1163100.0
2018-12-21,838300.0
2019-09-03,1001900.0
2018-11-19,599100.0
2019-08-02,920500.0
2020-01-28,807800.0
2020-04-16,1215000.0
2019-11-13,1029500.0
2020-01-31,794500.0
2018-12-04,1005400.0
2018-11-02,1371000.0
2019-07-16,847400.0
2018-08-30,1358600.0
2018-10-01,1888200.0
2019-06-14,5284100.0
2019-05-13,1601100.0
2019-04-11,1207200.0
2019-02-06,896800.0
2019-09-18,1009100.0
2020-02-03,3118300.0
2020-04-22,1915800.0
2019-11-19,1437600.0
2020-02-06,1233800.0
2019-11-22,1452000.0
2019-03-25,772500.0
2019-02-21,1579200.0
2018-12-19,1583100.0
2018-07-12,1308900.0
2018-09-14,1029100.0
2018-08-13,3097700.0
2018-10-16,1584600.0
2019-07-31,874200.0
2019-05-28,885500.0
2019-04-26,1638000.0
2020-04-28,1848500.0
2019-11-25,1308700.0
2020-02-12,836400.0
2020-05-01,1069400.0
2020-05-04,1060600.0
2019-06-12,1044600.0
2019-04-09,905300.0
2019-03-08,668200.0
2019-02-04,953300.0
2018-07-27,1557100.0
2018-08-28,1032200.0
2019-01-03,1373600.0
2019-08-15,1275600.0
2018-10-31,980000.0
2019-09-16,1586500.0
2020-02-18,1708100.0
2020-05-07,2077200.0
2018-08-17,1366400.0
2019-12-04,914600.0
2020-02-21,2104800.0
2018-12-17,1376900.0
2019-08-30,1608800.0
2018-11-15,1229800.0
2019-07-29,1038400.0
2019-06-27,1564600.0
2019-04-24,1146600.0
2018-07-10,942600.0
2018-09-12,1639100.0
2019-02-19,1581000.0
2019-01-18,975500.0
2020-02-24,276300.0
2020-05-13,1636300.0
2019-12-10,2732300.0
2020-02-27,3778000.0
2019-12-13,1773500.0
2020-05-19,1966100.0
2019-03-06,1414700.0
2018-11-30,1656200.0
2019-08-13,1546600.0
2019-07-12,1654600.0
2019-06-10,1181300.0
2019-05-09,1268300.0
2018-07-25,874600.0
2018-09-27,762100.0
2018-10-29,800100.0
2019-10-16,733900.0
2019-12-16,891800.0
2020-03-04,2521800.0
2020-05-22,1880100.0
2019-10-01,1837500.0
2019-12-19,949300.0
2018-09-10,956300.0
2019-05-24,919400.0
2018-08-09,969000.0
2019-04-22,790100.0
2019-03-21,1648900.0
2019-01-16,948500.0
2019-08-28,1265100.0
2018-11-13,1025500.0
2018-10-12,1257100.0
2019-06-25,990900.0
2020-03-10,651400.0
2020-05-28,660900.0
2019-10-07,1504200.0
2020-03-13,1302300.0
2019-10-10,2253800.0
2020-03-16,1118500.0
2020-06-03,700800.0
2018-11-28,884800.0
2018-09-25,826700.0
2018-07-23,748100.0
2018-08-24,727600.0
2019-07-10,815900.0
2019-05-07,709200.0
2019-04-05,838600.0
2019-03-04,1249200.0
2019-01-31,1387800.0
2019-09-12,1070800.0
2019-12-31,963400.0
2020-03-19,908500.0
2020-01-03,758500.0
2020-06-09,764000.0
2019-02-15,793900.0
2019-01-14,1282000.0
2018-07-06,716900.0
2018-08-07,1336000.0
2018-10-10,1367200.0
2018-12-13,1151600.0
2019-08-26,1219800.0
2019-07-25,1130600.0
2019-05-22,1109500.0
2019-03-19,1272600.0
2020-01-06,1163600.0
2020-03-25,1227700.0
2020-06-12,2104200.0
2019-10-22,5172600.0
2020-01-09,1837200.0
2020-06-15,1304400.0
2019-10-25,1383000.0
2020-03-31,1144900.0
2020-06-18,1385100.0
2019-04-03,1488100.0
2018-08-22,1412200.0
2018-10-25,2058700.0
2019-01-29,2079500.0
2018-12-28,3971200.0
2018-11-26,2043400.0
2019-08-09,1553500.0
2019-07-08,1441500.0
2019-06-06,1422300.0
2019-09-10,1153700.0
2020-01-15,746100.0
2020-04-03,1236300.0
2019-10-31,1527400.0
2020-04-06,1031000.0
2020-06-24,1035400.0
2018-11-09,993800.0
2019-07-23,928900.0
2019-06-21,1047900.0
2019-05-20,1379200.0
2019-04-18,1033600.0
2018-09-06,1196900.0
2018-10-08,901500.0
2019-02-13,831900.0
2018-12-11,1566000.0
2019-09-25,1257500.0
2020-01-21,665300.0
2020-04-09,686900.0
2019-11-06,595100.0
2020-01-24,936300.0
2020-01-27,691500.0
2020-04-15,1415800.0
2018-12-26,880200.0
2019-08-07,904900.0
2019-06-04,673100.0
2018-09-21,1249600.0
2018-07-19,1544300.0
2018-08-20,1588000.0
2018-10-23,2081300.0
2019-05-03,3386900.0
2019-04-01,1374500.0
2019-02-28,2207300.0
2019-11-12,848400.0
2020-01-30,912300.0
2019-11-15,1330600.0
2020-04-21,3346100.0
2019-04-16,1287000.0
2019-03-15,929100.0
2019-02-11,776000.0
2019-01-10,1029500.0
2019-08-22,1235700.0
2018-11-07,744000.0
2018-08-03,650300.0
2018-09-04,831100.0
2019-06-19,656600.0
2019-09-23,1306700.0
2019-11-18,796100.0
2020-02-05,533200.0
2020-04-24,1028500.0
2019-03-29,907600.0
2019-11-21,721100.0
2020-04-27,592300.0
2020-02-11,647000.0
2020-04-30,581200.0
2019-05-01,765400.0
2019-02-26,900300.0
2019-01-25,907100.0
2018-12-24,499700.0
2019-09-06,593300.0
2018-07-17,825800.0
2018-09-19,2900200.0
2019-08-05,582900.0
2019-10-08,661100.0
2019-12-11,1548000.0
2019-11-27,1157300.0
2020-02-14,1322100.0
2020-05-06,755000.0
2019-01-08,1051600.0
2018-12-07,3156000.0
2019-08-20,1109100.0
2018-11-05,1195600.0
2019-07-19,610200.0
2018-10-04,727900.0
2019-06-17,1241100.0
2019-05-16,979600.0
2018-08-01,663600.0
2019-03-13,776600.0
2019-12-03,554100.0
2020-02-20,966600.0
2019-12-06,754000.0
2020-05-12,910200.0
2019-12-09,1045400.0
2020-02-26,1234200.0
2020-05-15,809400.0
2019-03-28,987500.0
2018-09-17,849000.0
2018-08-16,1717200.0
2018-10-19,1349400.0
2019-04-29,1038000.0
2019-01-23,934200.0
2019-09-04,1097500.0
2018-11-20,1071000.0
2019-07-02,732600.0
2019-05-31,1232600.0
2019-12-12,659800.0
2020-05-18,954800.0
2019-09-27,1131200.0
2020-03-03,780300.0
2020-05-21,752500.0
2019-05-14,687600.0
2018-08-31,771300.0
2018-07-30,981100.0
2018-10-02,509200.0
2019-04-12,662900.0
2019-03-11,510000.0
2019-02-07,604500.0
2019-07-17,631500.0
2019-09-19,653900.0
2019-10-21,480500.0
2019-12-18,801200.0
2020-03-06,927900.0
2019-10-03,861500.0
2020-03-09,825800.0
2020-05-27,793500.0
2019-12-24,1187700.0
2020-03-12,991400.0
2018-12-20,660900.0
2019-08-01,858900.0
2018-08-14,1935800.0
2018-07-13,1625100.0
2018-10-17,1041400.0
2019-05-29,566700.0
2019-03-26,912100.0
2019-02-22,1631200.0
2019-10-04,2161500.0
2019-11-05,2042400.0
2019-12-27,2450300.0
2020-06-02,1403500.0
2019-12-30,1268800.0
