Dates,ADP
2018-06-20,138.6300048828125
2018-06-21,137.7899932861328
2018-06-25,138.5500030517578
2018-06-22,138.63999938964844
2018-06-26,136.5800018310547
2018-06-27,135.6699981689453
2018-06-28,133.42999267578125
2018-06-29,134.1199951171875
2018-07-02,132.66000366210938
2018-07-03,135.33999633789062
2018-07-05,134.58999633789062
2018-07-16,134.02999877929688
2018-09-18,134.32000732421875
2019-01-24,134.8800048828125
2019-09-05,134.77000427246094
2018-11-21,136.1199951171875
2020-01-13,137.30999755859375
2020-04-01,137.52000427246094
2020-06-19,136.72000122070312
2019-10-29,137.35000610351562
2020-01-16,134.86000061035156
2020-06-22,134.88999938964844
2018-10-03,136.99000549316406
2018-07-31,138.17999267578125
2019-03-12,137.49000549316406
2019-02-08,139.8000030517578
2019-01-07,139.44000244140625
2018-12-06,136.75
2019-08-19,135.14999389648438
2019-07-18,130.2100067138672
2019-05-15,131.49000549316406
2019-09-20,133.75
2019-11-01,134.27999877929688
2020-04-07,135.5
2020-06-25,138.25
2020-06-16,138.2899932861328
2019-11-04,137.77000427246094
2020-01-22,139.82000732421875
2019-11-07,139.8800048828125
2020-04-13,140.05999755859375
2019-07-01,141.85000610351562
2019-05-30,141.1699981689453
2018-08-15,142.82000732421875
2018-10-18,142.85000610351562
2019-03-27,142.72999572753906
2019-01-22,143.1300048828125
2018-12-21,143.86000061035156
2019-09-03,144.3300018310547
2018-11-19,143.75999450683594
2019-08-02,144.4499969482422
2020-01-28,146.0
2020-04-16,145.1699981689453
2019-11-13,144.35000610351562
2020-01-31,145.52000427246094
2018-12-04,145.77999877929688
2018-11-02,146.44000244140625
2019-07-16,147.42999267578125
2018-08-30,147.17999267578125
2018-10-01,146.99000549316406
2019-06-14,146.99000549316406
2019-05-13,147.0
2019-04-11,147.67999267578125
2019-02-06,147.27000427246094
2019-09-18,147.6999969482422
2020-02-03,147.60000610351562
2020-04-22,149.67999267578125
2019-11-19,149.58999633789062
2020-02-06,149.66000366210938
2019-11-22,149.0500030517578
2019-03-25,149.77999877929688
2019-02-21,149.82000732421875
2018-12-19,151.3800048828125
2018-07-12,151.11000061035156
2018-09-14,151.89999389648438
2018-08-13,151.36000061035156
2018-10-16,150.4199981689453
2019-07-31,150.1199951171875
2019-05-28,149.5
2019-04-26,150.25999450683594
2020-04-28,141.7100067138672
2019-11-25,140.32000732421875
2020-02-12,140.02000427246094
2020-05-01,140.60000610351562
2020-05-04,143.42999267578125
2019-06-12,143.75999450683594
2019-04-09,143.77999877929688
2019-03-08,143.85000610351562
2019-02-04,141.63999938964844
2018-07-27,142.00999450683594
2018-08-28,139.64999389648438
2019-01-03,137.24000549316406
2019-08-15,138.8000030517578
2018-10-31,135.8699951171875
2019-09-16,141.3699951171875
2020-02-18,143.75
2020-05-07,141.1199951171875
2018-08-17,141.32000732421875
2019-12-04,141.52000427246094
2020-02-21,145.55999755859375
2018-12-17,147.6300048828125
2019-08-30,147.0800018310547
2018-11-15,146.67999267578125
2019-07-29,144.9600067138672
2019-06-27,145.8300018310547
2019-04-24,141.36000061035156
2018-07-10,147.22000122070312
2018-09-12,146.41000366210938
2019-02-19,142.8300018310547
2019-01-18,141.47999572753906
2020-02-24,139.5399932861328
2020-05-13,142.8300018310547
2019-12-10,143.92999267578125
2020-02-27,145.88999938964844
2019-12-13,147.6999969482422
2020-05-19,146.2100067138672
2019-03-06,149.19000244140625
2018-11-30,147.0399932861328
2019-08-13,141.88999938964844
2019-07-12,142.1999969482422
2019-06-10,139.6300048828125
2019-05-09,141.7100067138672
2018-07-25,142.49000549316406
2018-09-27,139.57000732421875
2018-10-29,136.7100067138672
2019-10-16,134.6699981689453
2019-12-16,133.75999450683594
2020-03-04,129.9199981689453
2020-05-22,129.72999572753906
2019-10-01,129.75
2019-12-19,125.0199966430664
2018-09-10,123.27999877929688
2019-05-24,125.56999969482422
2018-08-09,130.08999633789062
2019-04-22,130.0800018310547
2019-03-21,129.16000366210938
2019-01-16,128.50999450683594
2019-08-28,128.38999938964844
2018-11-13,130.99000549316406
2018-10-12,131.47999572753906
2019-06-25,131.86000061035156
2020-03-10,130.52000427246094
2020-05-28,131.8000030517578
2019-10-07,130.16000366210938
