Dates,ADP
2018-06-20,1919100.0
2018-06-21,2427600.0
2018-06-25,1735600.0
2018-06-22,2170100.0
2018-06-26,2495200.0
2018-06-27,1967500.0
2018-06-28,2904900.0
2018-06-29,2353800.0
2018-07-02,2228800.0
2018-07-03,2794200.0
2018-07-05,2593400.0
2018-07-16,3895900.0
2018-09-18,2750300.0
2019-01-24,2635500.0
2019-09-05,2193600.0
2018-11-21,1361800.0
2020-01-13,1171200.0
2020-04-01,1021200.0
2020-06-19,1681900.0
2019-10-29,2239300.0
2020-01-16,1516600.0
2020-06-22,1749100.0
2018-10-03,1492100.0
2018-07-31,1687600.0
2019-03-12,1486100.0
2019-02-08,1392300.0
2019-01-07,1444600.0
2018-12-06,2295500.0
2019-08-19,2643800.0
2019-07-18,4005500.0
2019-05-15,2427200.0
2019-09-20,2270500.0
2019-11-01,1592300.0
2020-04-07,1942000.0
2020-06-25,1351100.0
2020-06-16,2729800.0
2019-11-04,2118400.0
2020-01-22,1721300.0
2019-11-07,3567200.0
2020-04-13,2079300.0
2019-07-01,1758100.0
2019-05-30,1891400.0
2018-08-15,1524300.0
2018-10-18,2288000.0
2019-03-27,1355200.0
2019-01-22,1388300.0
2018-12-21,1087500.0
2019-09-03,1398600.0
2018-11-19,3101000.0
2019-08-02,2282800.0
2020-01-28,1503200.0
2020-04-16,1432700.0
2019-11-13,3445900.0
2020-01-31,1966900.0
2018-12-04,1647700.0
2018-11-02,1837300.0
2019-07-16,1066700.0
2018-08-30,946000.0
2018-10-01,1484600.0
2019-06-14,1058200.0
2019-05-13,1061800.0
2019-04-11,1173300.0
2019-02-06,1127600.0
2019-09-18,1206000.0
2020-02-03,1068000.0
2020-04-22,4234300.0
2019-11-19,1320700.0
2020-02-06,2763700.0
2019-11-22,1723600.0
2019-03-25,957100.0
2019-02-21,1686400.0
2018-12-19,1252300.0
2018-07-12,1279100.0
2018-09-14,1425500.0
2018-08-13,1364800.0
2018-10-16,1306500.0
2019-07-31,1626900.0
2019-05-28,1398600.0
2019-04-26,2834900.0
2020-04-28,3402000.0
2019-11-25,2477100.0
2020-02-12,1387500.0
2020-05-01,1966000.0
