Dates,ADP
2018-06-20,139.24000549316406
2018-06-21,138.5
2018-06-25,139.9499969482422
2018-06-22,139.32000732421875
2018-06-26,137.11000061035156
2018-06-27,136.39999389648438
2018-06-28,135.25999450683594
2018-06-29,135.27999877929688
2018-07-02,134.9199981689453
2018-07-03,135.6699981689453
2018-07-05,134.58999633789062
2018-07-16,134.52000427246094
2018-09-18,134.60000610351562
2019-01-24,136.33999633789062
2019-09-05,136.0
2018-11-21,137.61000061035156
2020-01-13,138.00999450683594
2020-04-01,137.8000030517578
2020-06-19,137.61000061035156
2019-10-29,137.8699951171875
2020-01-16,137.5800018310547
2020-06-22,138.22999572753906
2018-10-03,137.75
2018-07-31,138.47999572753906
2019-03-12,139.3300018310547
2019-02-08,140.38999938964844
2019-01-07,139.64999389648438
2018-12-06,137.33999633789062
2019-08-19,135.4600067138672
2019-07-18,133.07000732421875
2019-05-15,133.50999450683594
2019-09-20,134.39999389648438
2019-11-01,135.6300048828125
2020-04-07,138.22999572753906
2020-06-25,138.42999267578125
2020-06-16,139.13999938964844
2019-11-04,139.97999572753906
2020-01-22,141.3000030517578
2019-11-07,141.44000244140625
2020-04-13,141.72000122070312
2019-07-01,141.85000610351562
2019-05-30,142.9499969482422
2018-08-15,142.8699951171875
2018-10-18,143.49000549316406
2019-03-27,143.6199951171875
2019-01-22,143.92999267578125
2018-12-21,144.0399932861328
2019-09-03,144.3300018310547
2018-11-19,144.27999877929688
2019-08-02,146.67999267578125
2020-01-28,146.7899932861328
2020-04-16,146.9600067138672
2019-11-13,146.13999938964844
2020-01-31,146.3000030517578
2018-12-04,147.33999633789062
2018-11-02,147.72999572753906
2019-07-16,147.57000732421875
2018-08-30,147.4499969482422
2018-10-01,147.42999267578125
2019-06-14,147.4199981689453
2019-05-13,147.94000244140625
2019-04-11,148.3000030517578
2019-02-06,148.11000061035156
2019-09-18,147.9600067138672
2020-02-03,149.08999633789062
2020-04-22,151.00999450683594
2019-11-19,150.11000061035156
2020-02-06,150.58999633789062
2019-11-22,150.97999572753906
2019-03-25,150.25999450683594
2019-02-21,151.32000732421875
2018-12-19,152.47000122070312
2018-07-12,152.27999877929688
2018-09-14,153.50999450683594
2018-08-13,151.58999633789062
2018-10-16,151.5500030517578
2019-07-31,151.30999755859375
2019-05-28,152.36000061035156
2019-04-26,150.4600067138672
2020-04-28,143.02000427246094
2019-11-25,141.3000030517578
2020-02-12,141.5399932861328
2020-05-01,143.92999267578125
2020-05-04,144.1300048828125
2019-06-12,144.60000610351562
2019-04-09,145.14999389648438
2019-03-08,144.91000366210938
2019-02-04,143.44000244140625
2018-07-27,143.02000427246094
2018-08-28,141.39999389648438
2019-01-03,138.66000366210938
2019-08-15,139.75999450683594
2018-10-31,137.25999450683594
2019-09-16,145.6199951171875
2020-02-18,144.0
2020-05-07,142.5500030517578
2018-08-17,141.8000030517578
2019-12-04,144.02999877929688
2020-02-21,148.4499969482422
2018-12-17,148.6699981689453
2019-08-30,147.66000366210938
2018-11-15,147.10000610351562
2019-07-29,145.86000061035156
2019-06-27,146.41000366210938
2019-04-24,147.2899932861328
2018-07-10,147.82000732421875
2018-09-12,147.00999450683594
2019-02-19,147.3800048828125
2019-01-18,142.6300048828125
2020-02-24,141.91000366210938
2020-05-13,144.74000549316406
2019-12-10,145.3300018310547
2020-02-27,148.66000366210938
2019-12-13,148.13999938964844
2020-05-19,147.55999755859375
2019-03-06,149.6699981689453
2018-11-30,147.6999969482422
2019-08-13,143.22999572753906
2019-07-12,143.50999450683594
2019-06-10,140.2899932861328
2019-05-09,142.35000610351562
2018-07-25,142.6300048828125
2018-09-27,139.57000732421875
