Dates,CMG
2018-06-20,469.29998779296875
2018-06-21,468.6000061035156
2018-06-25,469.19000244140625
2018-06-22,467.0
2018-06-26,455.4599914550781
2018-06-27,460.0
2018-06-28,434.54998779296875
2018-06-29,433.0
2018-07-02,427.9800109863281
2018-07-03,443.5
2018-07-05,450.0
2018-07-16,449.8500061035156
2018-09-18,454.3800048828125
2019-01-24,455.7200012207031
2019-09-05,452.739990234375
2018-11-21,459.8900146484375
2020-01-13,458.6000061035156
2020-04-01,455.1600036621094
2020-06-19,451.2900085449219
2019-10-29,453.7699890136719
2020-01-16,453.0
2020-06-22,453.2799987792969
2018-10-03,451.1300048828125
2018-07-31,456.95001220703125
2019-03-12,446.010009765625
2019-02-08,449.260009765625
2019-01-07,473.8399963378906
2018-12-06,470.1499938964844
2019-08-19,448.0
2019-07-18,435.0
2019-05-15,440.0799865722656
2019-09-20,460.25
2019-11-01,464.7799987792969
2020-04-07,476.5
2020-06-25,478.7799987792969
2020-06-16,488.42999267578125
2019-11-04,484.94000244140625
2020-01-22,486.3800048828125
2019-11-07,486.82000732421875
2020-04-13,504.7900085449219
2019-07-01,526.510009765625
2019-05-30,505.0400085449219
2018-08-15,510.3399963378906
2018-10-18,515.75
2019-03-27,519.0999755859375
2019-01-22,514.3800048828125
2018-12-21,520.5399780273438
2019-09-03,511.75
2018-11-19,496.489990234375
2019-08-02,497.6000061035156
2020-01-28,486.3800048828125
2020-04-16,480.0
2019-11-13,476.19000244140625
2020-01-31,479.1000061035156
2018-12-04,479.5199890136719
2018-11-02,474.760009765625
2019-07-16,482.7799987792969
2018-08-30,489.1199951171875
2018-10-01,488.1300048828125
2019-06-14,494.79998779296875
2019-05-13,497.239990234375
2019-04-11,491.6199951171875
2019-02-06,487.6300048828125
2019-09-18,491.1099853515625
2020-02-03,492.29998779296875
2020-04-22,480.4800109863281
2019-11-19,465.1099853515625
2020-02-06,468.0899963378906
2019-11-22,467.29998779296875
2019-03-25,469.0400085449219
2019-02-21,461.79998779296875
2018-12-19,446.9700012207031
2018-07-12,448.0
2018-09-14,436.05999755859375
2018-08-13,440.0
2018-10-16,446.9100036621094
2019-07-31,448.6499938964844
2019-05-28,448.95001220703125
2019-04-26,445.94000244140625
2020-04-28,432.0
2019-11-25,439.54998779296875
2020-02-12,434.44000244140625
2020-05-01,432.2300109863281
2020-05-04,433.2900085449219
2019-06-12,424.0
2019-04-09,433.0
2019-03-08,436.04998779296875
2019-02-04,430.3800048828125
2018-07-27,432.6600036621094
2018-08-28,417.260009765625
2019-01-03,433.1000061035156
2019-08-15,443.4800109863281
2018-10-31,438.67999267578125
2019-09-16,465.6400146484375
2020-02-18,462.0
2020-05-07,475.9100036621094
2018-08-17,477.0
2019-12-04,469.67999267578125
2020-02-21,476.1000061035156
2018-12-17,477.0
2019-08-30,476.989990234375
2018-11-15,490.2900085449219
2019-07-29,491.0799865722656
2019-06-27,483.6600036621094
2019-04-24,477.9100036621094
2018-07-10,472.0
2018-09-12,472.3500061035156
2019-02-19,455.760009765625
2019-01-18,462.0
2020-02-24,469.0
2020-05-13,474.3500061035156
2019-12-10,463.3399963378906
2020-02-27,475.95001220703125
2019-12-13,489.95001220703125
2020-05-19,480.57000732421875
2019-03-06,477.5199890136719
2018-11-30,474.0
2019-08-13,467.2900085449219
2019-07-12,470.5
2019-06-10,469.0400085449219
2019-05-09,477.0
2018-07-25,472.3500061035156
2018-09-27,473.7099914550781
2018-10-29,467.8399963378906
2019-10-16,457.1000061035156
2019-12-16,447.8800048828125
2020-03-04,441.8599853515625
2020-05-22,422.4100036621094
2019-10-01,401.5
2019-12-19,390.0
2018-09-10,387.0400085449219
2019-05-24,404.4200134277344
2018-08-09,415.0799865722656
2019-04-22,425.3900146484375
2019-03-21,427.8299865722656
2019-01-16,441.92999267578125
2019-08-28,444.010009765625
2018-11-13,454.6099853515625
2018-10-12,493.19000244140625
2019-06-25,497.19000244140625
2020-03-10,495.7900085449219
2020-05-28,507.3900146484375
2019-10-07,502.8500061035156
2020-03-13,503.0
2019-10-10,515.52001953125
2020-03-16,511.9100036621094
2020-06-03,521.3300170898438
2018-11-28,512.2000122070312
2018-09-25,523.530029296875
2018-07-23,521.5
2018-08-24,539.0
2019-07-10,540.5999755859375
