Dates,CMG
2018-06-20,372800.0
2018-06-21,507100.0
2018-06-25,662000.0
2018-06-22,794100.0
2018-06-26,907700.0
2018-06-27,628600.0
2018-06-28,2254100.0
2018-06-29,1022000.0
2018-07-02,701300.0
2018-07-03,457000.0
2018-07-05,472500.0
2018-07-16,573500.0
2018-09-18,729900.0
2019-01-24,671300.0
2019-09-05,580600.0
2018-11-21,405100.0
2020-01-13,349400.0
2020-04-01,531900.0
2020-06-19,531500.0
2019-10-29,308300.0
2020-01-16,291500.0
2020-06-22,429500.0
2018-10-03,443900.0
2018-07-31,577500.0
2019-03-12,440800.0
2019-02-08,875400.0
2019-01-07,2182100.0
2018-12-06,745400.0
2019-08-19,4542100.0
2019-07-18,1131400.0
2019-05-15,1239700.0
2019-09-20,1083300.0
2019-11-01,1130000.0
2020-04-07,548500.0
2020-06-25,804200.0
2020-06-16,592300.0
2019-11-04,597400.0
2020-01-22,383000.0
2019-11-07,876300.0
2020-04-13,1918600.0
2019-07-01,2211500.0
2019-05-30,725100.0
2018-08-15,598500.0
2018-10-18,450900.0
2019-03-27,459300.0
2019-01-22,705700.0
2018-12-21,451400.0
2019-09-03,1373600.0
2018-11-19,515800.0
2019-08-02,771200.0
2020-01-28,561200.0
2020-04-16,803300.0
2019-11-13,593100.0
2020-01-31,710500.0
2018-12-04,796600.0
2018-11-02,780000.0
2019-07-16,781200.0
2018-08-30,406400.0
2018-10-01,513200.0
2019-06-14,439100.0
2019-05-13,506400.0
2019-04-11,633400.0
2019-02-06,438800.0
2019-09-18,386300.0
2020-02-03,654000.0
2020-04-22,994700.0
2019-11-19,620300.0
2020-02-06,354300.0
2019-11-22,547900.0
2019-03-25,440700.0
2019-02-21,932600.0
2018-12-19,958100.0
2018-07-12,916600.0
2018-09-14,707100.0
2018-08-13,860500.0
2018-10-16,958800.0
2019-07-31,839300.0
2019-05-28,492600.0
2019-04-26,638400.0
2020-04-28,659800.0
2019-11-25,819200.0
2020-02-12,502100.0
2020-05-01,941600.0
2020-05-04,734400.0
2019-06-12,747300.0
2019-04-09,511100.0
2019-03-08,572700.0
2019-02-04,572900.0
2018-07-27,840100.0
2018-08-28,1272400.0
2019-01-03,1632100.0
2019-08-15,881300.0
2018-10-31,992900.0
2019-09-16,1210600.0
2020-02-18,788000.0
2020-05-07,694100.0
2018-08-17,705300.0
2019-12-04,700400.0
2020-02-21,479700.0
2018-12-17,427100.0
2019-08-30,891900.0
2018-11-15,849000.0
2019-07-29,502800.0
2019-06-27,732700.0
2019-04-24,658300.0
2018-07-10,808500.0
2018-09-12,674800.0
2019-02-19,706200.0
2019-01-18,431800.0
2020-02-24,216500.0
2020-05-13,487000.0
2019-12-10,360800.0
2020-02-27,665400.0
2019-12-13,426700.0
2020-05-19,956200.0
2019-03-06,476200.0
2018-11-30,553200.0
2019-08-13,645800.0
2019-07-12,709400.0
2019-06-10,645900.0
2019-05-09,396000.0
2018-07-25,403200.0
2018-09-27,338500.0
2018-10-29,697000.0
2019-10-16,822000.0
2019-12-16,655400.0
2020-03-04,943000.0
2020-05-22,1363500.0
2019-10-01,949400.0
2019-12-19,425200.0
2018-09-10,633300.0
2019-05-24,573700.0
2018-08-09,713700.0
2019-04-22,501800.0
2019-03-21,706300.0
2019-01-16,674600.0
2019-08-28,899300.0
2018-11-13,1038300.0
2018-10-12,883200.0
2019-06-25,792700.0
2020-03-10,833200.0
2020-05-28,788200.0
2019-10-07,839900.0
2020-03-13,715100.0
2019-10-10,524100.0
2020-03-16,753400.0
2020-06-03,880300.0
2018-11-28,968100.0
2018-09-25,1040300.0
2018-07-23,783100.0
2018-08-24,675200.0
2019-07-10,578200.0
2019-05-07,559200.0
2019-04-05,397100.0
2019-03-04,348800.0
2019-01-31,643700.0
2019-09-12,549900.0
2019-12-31,388100.0
2020-03-19,1259000.0
2020-01-03,4368400.0
2020-06-09,919500.0
2019-02-15,1505500.0
2019-01-14,941200.0
2018-07-06,506700.0
2018-08-07,489600.0
2018-10-10,585800.0
2018-12-13,489500.0
2019-08-26,387100.0
2019-07-25,467800.0
2019-05-22,280000.0
2019-03-19,481500.0
2020-01-06,414400.0
2020-03-25,373700.0
2020-06-12,721900.0
2019-10-22,501900.0
2020-01-09,727500.0
2020-06-15,341300.0
2019-10-25,272800.0
2020-03-31,434400.0
2020-06-18,600200.0
2019-04-03,570800.0
2018-08-22,817000.0
2018-10-25,462300.0
2019-01-29,433800.0
2018-12-28,593600.0
2018-11-26,837300.0
2019-08-09,869800.0
2019-07-08,338900.0
2019-06-06,606000.0
2019-09-10,609100.0
2020-01-15,682300.0
2020-04-03,719400.0
2019-10-31,693800.0
2020-04-06,488300.0
2020-06-24,756200.0
2018-11-09,697900.0
2019-07-23,565200.0
2019-06-21,420100.0
2019-05-20,541200.0
2019-04-18,791100.0
2018-09-06,557600.0
2018-10-08,507400.0
2019-02-13,460500.0
2018-12-11,781800.0
2019-09-25,417200.0
2020-01-21,271800.0
2020-04-09,444300.0
2019-11-06,865900.0
2020-01-24,644000.0
2020-01-27,463300.0
2020-04-15,526100.0
2018-12-26,1184600.0
2019-08-07,2336400.0
2019-06-04,766000.0
2018-09-21,634800.0
2018-07-19,591500.0
2018-08-20,410600.0
2018-10-23,623400.0
2019-05-03,436300.0
2019-04-01,518000.0
2019-02-28,463100.0
2019-11-12,475300.0
2020-01-30,322200.0
2019-11-15,520800.0
2020-04-21,469800.0
2019-04-16,504900.0
2019-03-15,307800.0
2019-02-11,422400.0
2019-01-10,538400.0
2019-08-22,473700.0
2018-11-07,441500.0
2018-08-03,677400.0
2018-09-04,1491000.0
2019-06-19,605500.0
2019-09-23,644800.0
2019-11-18,570800.0
2020-02-05,338800.0
2020-04-24,634500.0
2019-03-29,624600.0
2019-11-21,842600.0
2020-04-27,678500.0
2020-02-11,592000.0
2020-04-30,595900.0
2019-05-01,540800.0
2019-02-26,476700.0
2019-01-25,450900.0
2018-12-24,417700.0
2019-09-06,380900.0
