Dates,LRCX
2018-06-20,173.19000244140625
2018-06-21,175.38999938964844
2018-06-25,172.94000244140625
2018-06-22,167.6199951171875
2018-06-26,171.74000549316406
2018-06-27,169.7899932861328
2018-06-28,166.3699951171875
2018-06-29,172.24000549316406
2018-07-02,168.61000061035156
2018-07-03,166.88999938964844
2018-07-05,169.2899932861328
2018-07-16,169.0
2018-09-18,172.3000030517578
2019-01-24,175.10000610351562
2019-09-05,168.82000732421875
2018-11-21,169.72000122070312
2020-01-13,171.27000427246094
2020-04-01,170.77000427246094
2020-06-19,170.52999877929688
2019-10-29,179.0500030517578
2020-01-16,177.8300018310547
2020-06-22,175.89999389648438
2018-10-03,171.52999877929688
2018-07-31,173.0
2019-03-12,170.44000244140625
2019-02-08,172.0
2019-01-07,184.55999755859375
2018-12-06,185.8800048828125
2019-08-19,189.74000549316406
2019-07-18,185.83999633789062
2019-05-15,183.6199951171875
2019-09-20,185.8300018310547
2019-11-01,186.16000366210938
2020-04-07,183.64999389648438
2020-06-25,184.7100067138672
2020-06-16,182.74000549316406
2019-11-04,177.44000244140625
2020-01-22,176.0500030517578
2019-11-07,176.4199981689453
2020-04-13,170.88999938964844
2019-07-01,172.3000030517578
2019-05-30,166.32000732421875
2018-08-15,166.97000122070312
2018-10-18,171.5800018310547
2019-03-27,172.6999969482422
2019-01-22,172.3000030517578
2018-12-21,171.44000244140625
2019-09-03,172.9499969482422
2018-11-19,170.8000030517578
2019-08-02,171.8699951171875
2020-01-28,172.14999389648438
2020-04-16,171.72000122070312
2019-11-13,168.33999633789062
2020-01-31,169.1699981689453
2018-12-04,159.99000549316406
2018-11-02,158.52000427246094
2019-07-16,158.25
2018-08-30,153.19000244140625
2018-10-01,149.02000427246094
2019-06-14,151.02000427246094
2019-05-13,151.88999938964844
2019-04-11,151.82000732421875
2019-02-06,152.36000061035156
2019-09-18,152.72000122070312
2020-02-03,154.3300018310547
2020-04-22,153.50999450683594
2019-11-19,152.50999450683594
2020-02-06,150.50999450683594
2019-11-22,147.5399932861328
2019-03-25,148.5399932861328
2019-02-21,149.13999938964844
2018-12-19,149.17999267578125
2018-07-12,149.27999877929688
2018-09-14,150.22000122070312
2018-08-13,147.6300048828125
2018-10-16,146.8000030517578
2019-07-31,145.3000030517578
2019-05-28,141.35000610351562
2019-04-26,138.75999450683594
2020-04-28,135.99000549316406
2019-11-25,140.77000427246094
2020-02-12,140.36000061035156
2020-05-01,143.27000427246094
2020-05-04,146.1999969482422
2019-06-12,143.41000366210938
2019-04-09,144.4199981689453
2019-03-08,143.63999938964844
2019-02-04,139.5800018310547
2018-07-27,139.14999389648438
2018-08-28,139.38999938964844
2019-01-03,136.55999755859375
2019-08-15,133.4199981689453
2018-10-31,134.86000061035156
2019-09-16,140.22000122070312
2020-02-18,142.5
2020-05-07,150.07000732421875
2018-08-17,145.47000122070312
2019-12-04,146.5
2020-02-21,151.1699981689453
2018-12-17,149.24000549316406
2019-08-30,146.88999938964844
2018-11-15,142.07000732421875
2019-07-29,143.11000061035156
2019-06-27,141.5800018310547
2019-04-24,141.60000610351562
2018-07-10,141.6199951171875
2018-09-12,143.5500030517578
2019-02-19,139.8699951171875
2019-01-18,144.33999633789062
2020-02-24,142.88999938964844
2020-05-13,144.1699981689453
2019-12-10,144.88999938964844
2020-02-27,145.00999450683594
2019-12-13,151.82000732421875
2020-05-19,150.8300018310547
2019-03-06,158.25
2018-11-30,148.50999450683594
2019-08-13,142.0500030517578
2019-07-12,137.44000244140625
2019-06-10,135.16000366210938
2019-05-09,137.38999938964844
2018-07-25,137.39999389648438
2018-09-27,137.72999572753906
2018-10-29,133.9199981689453
2019-10-16,133.94000244140625
