Dates,LRCX
2018-06-20,174.5399932861328
2018-06-21,176.0500030517578
2018-06-25,174.6999969482422
2018-06-22,171.00999450683594
2018-06-26,173.92999267578125
2018-06-27,169.8000030517578
2018-06-28,170.8699951171875
2018-06-29,172.85000610351562
2018-07-02,173.0500030517578
2018-07-03,167.25
2018-07-05,171.82000732421875
2018-07-16,173.86000061035156
2018-09-18,177.02000427246094
2019-01-24,176.39999389648438
2019-09-05,169.25999450683594
2018-11-21,171.32000732421875
2020-01-13,171.7899932861328
2020-04-01,171.7899932861328
2020-06-19,177.24000549316406
2019-10-29,181.32000732421875
2020-01-16,178.22999572753906
2020-06-22,177.80999755859375
2018-10-03,174.83999633789062
2018-07-31,173.38999938964844
2019-03-12,172.8000030517578
2019-02-08,177.25999450683594
2019-01-07,190.02000427246094
2018-12-06,187.83999633789062
2019-08-19,190.63999938964844
2019-07-18,186.2899932861328
2019-05-15,187.10000610351562
2019-09-20,187.2899932861328
2019-11-01,188.30999755859375
2020-04-07,185.91000366210938
2020-06-25,190.02000427246094
2020-06-16,184.49000549316406
2019-11-04,178.10000610351562
2020-01-22,178.14999389648438
2019-11-07,176.69000244140625
2020-04-13,172.8300018310547
2019-07-01,174.2899932861328
2019-05-30,169.91000366210938
2018-08-15,171.27999877929688
2018-10-18,174.38999938964844
2019-03-27,173.0800018310547
2019-01-22,172.77000427246094
2018-12-21,172.4600067138672
2019-09-03,176.2100067138672
2018-11-19,174.13999938964844
2019-08-02,172.6199951171875
2020-01-28,172.47000122070312
2020-04-16,173.08999633789062
2019-11-13,171.9600067138672
2020-01-31,172.0399932861328
2018-12-04,160.0500030517578
2018-11-02,159.5800018310547
2019-07-16,159.4600067138672
2018-08-30,155.39999389648438
2018-10-01,150.3699951171875
2019-06-14,153.1199951171875
2019-05-13,153.4600067138672
2019-04-11,152.10000610351562
2019-02-06,153.64999389648438
2019-09-18,153.19000244140625
2020-02-03,155.27999877929688
2020-04-22,155.67999267578125
2019-11-19,154.74000549316406
2020-02-06,151.2899932861328
2019-11-22,148.80999755859375
2019-03-25,150.57000732421875
2019-02-21,151.6999969482422
2018-12-19,150.24000549316406
2018-07-12,151.0800018310547
2018-09-14,152.1699981689453
2018-08-13,149.00999450683594
2018-10-16,147.89999389648438
2019-07-31,146.0800018310547
2019-05-28,144.47000122070312
2019-04-26,139.77999877929688
2020-04-28,137.6199951171875
2019-11-25,143.61000061035156
2020-02-12,142.50999450683594
2020-05-01,145.27000427246094
2020-05-04,147.17999267578125
2019-06-12,145.08999633789062
2019-04-09,145.1999969482422
2019-03-08,144.27000427246094
2019-02-04,146.38999938964844
2018-07-27,139.30999755859375
2018-08-28,142.55999755859375
2019-01-03,139.10000610351562
2019-08-15,135.77999877929688
2018-10-31,139.27000427246094
2019-09-16,141.72999572753906
2020-02-18,151.86000061035156
2020-05-07,151.50999450683594
2018-08-17,147.61000061035156
2019-12-04,152.07000732421875
2020-02-21,151.69000244140625
2018-12-17,151.67999267578125
2019-08-30,147.85000610351562
2018-11-15,142.91000366210938
2019-07-29,143.9499969482422
2019-06-27,142.74000549316406
2019-04-24,146.39999389648438
2018-07-10,148.0
2018-09-12,143.74000549316406
2019-02-19,143.4499969482422
2019-01-18,144.52000427246094
2020-02-24,143.94000244140625
2020-05-13,146.8000030517578
2019-12-10,146.8300018310547
2020-02-27,153.83999633789062
2019-12-13,152.75
2020-05-19,156.9600067138672
2019-03-06,161.02000427246094
2018-11-30,149.69000244140625
2019-08-13,145.72999572753906
2019-07-12,138.02999877929688
2019-06-10,137.82000732421875
2019-05-09,138.2899932861328
2018-07-25,138.4499969482422
2018-09-27,138.75999450683594
2018-10-29,135.3699951171875
2019-10-16,135.67999267578125
2019-12-16,137.92999267578125
2020-03-04,131.1199951171875
2020-05-22,128.30999755859375
2019-10-01,127.16000366210938
2019-12-19,123.27999877929688
2018-09-10,130.83999633789062
2019-05-24,133.27999877929688
2018-08-09,135.4199981689453
2019-04-22,136.1699981689453
2019-03-21,138.3000030517578
2019-01-16,131.6300048828125
2019-08-28,138.05999755859375
2018-11-13,139.2899932861328
2018-10-12,136.92999267578125
2019-06-25,144.0
2020-03-10,144.57000732421875
2020-05-28,144.11000061035156
2019-10-07,140.42999267578125
2020-03-13,140.0
2019-10-10,138.75
2020-03-16,141.75999450683594
2020-06-03,147.5500030517578
2018-11-28,139.88999938964844
2018-09-25,139.3300018310547
2018-07-23,161.1999969482422
2018-08-24,165.49000549316406
2019-07-10,166.05999755859375
2019-05-07,164.99000549316406
2019-04-05,170.92999267578125
2019-03-04,169.5800018310547
2019-01-31,172.77000427246094
2019-09-12,173.16000366210938
2019-12-31,173.69000244140625
2020-03-19,177.10000610351562
2020-01-03,175.72000122070312
2020-06-09,175.3000030517578
2019-02-15,175.9199981689453
2019-01-14,179.25
2018-07-06,181.00999450683594
2018-08-07,181.3300018310547
2018-10-10,181.08999633789062
2018-12-13,180.30999755859375
2019-08-26,182.2100067138672
2019-07-25,178.82000732421875
2019-05-22,179.22000122070312
2019-03-19,179.60000610351562
2020-01-06,178.55999755859375
2020-03-25,177.1999969482422
2020-06-12,176.08999633789062
2019-10-22,176.75
2020-01-09,177.77000427246094
2020-06-15,173.5399932861328
2019-10-25,169.19000244140625
