Dates,LRCX
2018-06-20,166.87306213378906
2018-06-21,168.31675720214844
2018-06-25,167.02603149414062
2018-06-22,163.4981231689453
2018-06-26,166.28985595703125
2018-06-27,162.34130859375
2018-06-28,163.36427307128906
2018-06-29,165.25732421875
2018-07-02,165.44851684570312
2018-07-03,159.90330505371094
2018-07-05,164.27256774902344
2018-07-16,166.22296142578125
2018-09-18,169.24415588378906
2019-01-24,168.65138244628906
2019-09-05,161.8249969482422
2018-11-21,163.7945098876953
2020-01-13,164.24388122558594
2020-04-01,164.24388122558594
2020-06-19,169.45448303222656
2019-10-29,173.3552703857422
2020-01-16,170.40098571777344
2020-06-22,169.9994354248047
2018-10-03,167.15989685058594
2018-07-31,165.77357482910156
2019-03-12,165.20950317382812
2019-02-08,169.4735870361328
2019-01-07,181.67306518554688
2018-12-06,179.58885192871094
2019-08-19,182.26585388183594
2019-07-18,178.10693359375
2019-05-15,178.88137817382812
2019-09-20,179.06300354003906
2019-11-01,180.0382080078125
2020-04-07,177.74363708496094
2020-06-25,181.67306518554688
2020-06-16,176.38600158691406
2019-11-04,170.27670288085938
2020-01-22,170.32449340820312
2019-11-07,168.9286346435547
2020-04-13,165.23818969726562
2019-07-01,166.6340789794922
2019-05-30,162.44644165039062
2018-08-15,163.7562713623047
2018-10-18,166.72967529296875
2019-03-27,165.47723388671875
2019-01-22,165.18084716796875
2018-12-21,164.8844451904297
2019-09-03,168.4697265625
2018-11-19,166.4906463623047
2019-08-02,165.0373992919922
2020-01-28,164.89401245117188
2020-04-16,165.4867706298828
2019-11-13,164.4064178466797
2020-01-31,164.48287963867188
2018-12-04,153.0195770263672
2018-11-02,152.57022094726562
2019-07-16,152.4554901123047
2018-08-30,149.6058349609375
2018-10-01,144.76339721679688
2019-06-14,147.41085815429688
2019-05-13,147.7382049560547
2019-04-11,146.4289093017578
2019-02-06,147.9210968017578
2019-09-18,147.47825622558594
2020-02-03,149.49032592773438
2020-04-22,149.8754119873047
2019-11-19,148.97047424316406
2020-02-06,145.6490936279297
2019-11-22,143.2615509033203
2019-03-25,144.95596313476562
2019-02-21,146.04379272460938
2018-12-19,144.6382598876953
2018-07-12,145.44691467285156
2018-09-14,146.4962921142578
2018-08-13,143.4541015625
2018-10-16,142.38548278808594
2019-07-31,140.63336181640625
