Dates,WAB
2018-06-20,102.01000213623047
2018-06-21,100.13999938964844
2018-06-25,100.16999816894531
2018-06-22,98.12000274658203
2018-06-26,98.20999908447266
2018-06-27,98.3499984741211
2018-06-28,97.47000122070312
2018-06-29,97.77999877929688
2018-07-02,97.38999938964844
2018-07-03,99.06999969482422
2018-07-05,98.81999969482422
2018-07-16,99.55000305175781
2018-09-18,100.47000122070312
2019-01-24,100.81999969482422
2019-09-05,100.56999969482422
2018-11-21,101.33000183105469
2020-01-13,103.55000305175781
2020-04-01,102.73999786376953
2020-06-19,101.93000030517578
2019-10-29,102.04000091552734
2020-01-16,103.26000213623047
2020-06-22,104.11000061035156
2018-10-03,103.2300033569336
2018-07-31,102.55000305175781
2019-03-12,107.41000366210938
2019-02-08,108.77999877929688
2019-01-07,107.01000213623047
2018-12-06,108.5199966430664
2019-08-19,109.4000015258789
2019-07-18,107.83999633789062
2019-05-15,109.72000122070312
2019-09-20,111.62000274658203
2019-11-01,112.75
2020-04-07,113.47000122070312
2020-06-25,113.0
2020-06-16,111.44999694824219
2019-11-04,110.29000091552734
2020-01-22,110.7699966430664
2019-11-07,111.19000244140625
2020-04-13,108.77999877929688
2019-07-01,109.83999633789062
2019-05-30,107.7300033569336
2018-08-15,109.73999786376953
2018-10-18,110.33000183105469
2019-03-27,109.66999816894531
2019-01-22,108.68000030517578
2018-12-21,108.56999969482422
2019-09-03,109.63999938964844
2018-11-19,109.98999786376953
2019-08-02,108.98999786376953
2020-01-28,108.12999725341797
2020-04-16,107.43000030517578
2019-11-13,108.13999938964844
2020-01-31,109.68000030517578
2018-12-04,112.08000183105469
2018-11-02,112.41999816894531
2019-07-16,112.44999694824219
2018-08-30,110.58999633789062
2018-10-01,112.27999877929688
2019-06-14,111.5999984741211
2019-05-13,96.55999755859375
2019-04-11,99.31999969482422
2019-02-06,103.55999755859375
2019-09-18,104.80999755859375
2020-02-03,104.56999969482422
2020-04-22,104.3499984741211
2019-11-19,104.37000274658203
2020-02-06,105.98999786376953
2019-11-22,105.9000015258789
2019-03-25,106.02999877929688
2019-02-21,104.8499984741211
2018-12-19,103.4000015258789
2018-07-12,102.76000213623047
2018-09-14,103.51000213623047
2018-08-13,104.33000183105469
2018-10-16,103.86000061035156
2019-07-31,101.06999969482422
2019-05-28,101.7300033569336
2019-04-26,99.27999877929688
2020-04-28,96.7699966430664
2019-11-25,93.87999725341797
2020-02-12,95.7699966430664
2020-05-01,97.18000030517578
2020-05-04,99.2699966430664
2019-06-12,97.6500015258789
2019-04-09,95.52999877929688
2019-03-08,95.55000305175781
2019-02-04,92.16000366210938
2018-07-27,90.58999633789062
2018-08-28,89.83000183105469
2019-01-03,87.94999694824219
2019-08-15,87.62999725341797
2018-10-31,81.38999938964844
2019-09-16,81.38999938964844
2020-02-18,81.8499984741211
2020-05-07,82.83999633789062
2018-08-17,83.41000366210938
2019-12-04,83.22000122070312
2020-02-21,84.22000122070312
2018-12-17,86.0999984741211
2019-08-30,85.45999908447266
2018-11-15,82.18000030517578
2019-07-29,82.68000030517578
2019-06-27,81.98999786376953
2019-04-24,81.88999938964844
2018-07-10,84.80999755859375
2018-09-12,85.2699966430664
2019-02-19,84.29000091552734
2019-01-18,85.08999633789062
2020-02-24,84.86000061035156
2020-05-13,86.44000244140625
2019-12-10,87.08000183105469
2020-02-27,88.0199966430664
2019-12-13,91.11000061035156
2020-05-19,91.79000091552734
2019-03-06,92.08999633789062
2018-11-30,88.51000213623047
2019-08-13,84.87999725341797
2019-07-12,84.1500015258789
2019-06-10,81.43000030517578
2019-05-09,79.83999633789062
2018-07-25,78.86000061035156
2018-09-27,74.94999694824219
2018-10-29,72.91000366210938
2019-10-16,71.29000091552734
2019-12-16,70.54000091552734
2020-03-04,70.33999633789062
2020-05-22,68.5999984741211
2019-10-01,67.45999908447266
2019-12-19,65.73999786376953
2018-09-10,65.44999694824219
2019-05-24,67.29000091552734
2018-08-09,67.76000213623047
2019-04-22,68.4000015258789
2019-03-21,68.19999694824219
2019-01-16,67.97000122070312
2019-08-28,70.4000015258789
2018-11-13,70.22000122070312
2018-10-12,69.62000274658203
2019-06-25,70.8499984741211
2020-03-10,71.70999908447266
2020-05-28,72.36000061035156
2019-10-07,72.26000213623047
2020-03-13,70.52999877929688
2019-10-10,70.66999816894531
2020-03-16,71.41000366210938
2020-06-03,74.47000122070312
2018-11-28,71.44999694824219
2018-09-25,70.05000305175781
2018-07-23,69.91000366210938
2018-08-24,65.7699966430664
2019-07-10,65.08999633789062
2019-05-07,67.48999786376953
2019-04-05,67.91999816894531
2019-03-04,67.81999969482422
2019-01-31,68.0199966430664
2019-09-12,69.3499984741211
2019-12-31,71.41999816894531
2020-03-19,72.08999633789062
2020-01-03,71.72000122070312
2020-06-09,71.5999984741211
2019-02-15,73.3499984741211
2019-01-14,70.41999816894531
2018-07-06,70.83000183105469
2018-08-07,71.69000244140625
2018-10-10,72.30000305175781
2018-12-13,74.25
2019-08-26,73.98999786376953
2019-07-25,73.0999984741211
2019-05-22,72.26000213623047
2019-03-19,73.44999694824219
2020-01-06,73.19999694824219
2020-03-25,72.2300033569336
2020-06-12,71.19000244140625
2019-10-22,71.16000366210938
2020-01-09,72.0
2020-06-15,72.26000213623047
2019-10-25,68.61000061035156
2020-03-31,68.08999633789062
2020-06-18,68.37000274658203
2019-04-03,69.55000305175781
2018-08-22,70.76000213623047
2018-10-25,71.5999984741211
2019-01-29,72.0
2018-12-28,71.0
2018-11-26,71.02999877929688
2019-08-09,71.9800033569336
2019-07-08,71.0
2019-06-06,72.0
2019-09-10,69.62999725341797
2020-01-15,69.30999755859375
2020-04-03,70.26000213623047
2019-10-31,71.73999786376953
2020-04-06,71.41999816894531
2020-06-24,72.05000305175781
2018-11-09,73.41999816894531
2019-07-23,74.19000244140625
2019-06-21,74.18000030517578
2019-05-20,74.80000305175781
2019-04-18,76.04000091552734
2018-09-06,75.05000305175781
2018-10-08,73.8499984741211
2019-02-13,73.4800033569336
2018-12-11,73.81999969482422
2019-09-25,75.4800033569336
2020-01-21,75.1500015258789
2020-04-09,75.5199966430664
2019-11-06,76.69000244140625
2020-01-24,77.04000091552734
2020-01-27,76.37000274658203
2020-04-15,76.19999694824219
2018-12-26,75.44000244140625
2019-08-07,70.23999786376953
2019-06-04,71.5999984741211
2018-09-21,72.26000213623047
2018-07-19,73.62999725341797
2018-08-20,73.44999694824219
2018-10-23,73.81999969482422
2019-05-03,74.69000244140625
2019-04-01,72.30999755859375
2019-02-28,72.23999786376953
2019-11-12,71.94000244140625
2020-01-30,69.8499984741211
2019-11-15,70.79000091552734
2020-04-21,69.7699966430664
2019-04-16,69.27999877929688
2019-03-15,67.41000366210938
2019-02-11,68.20999908447266
2019-01-10,65.75
2019-08-22,64.0999984741211
2018-11-07,64.01000213623047
2018-08-03,64.01000213623047
2018-09-04,62.66999816894531
2019-06-19,63.779998779296875
2019-09-23,65.5
2019-11-18,63.29999923706055
2020-02-05,63.43000030517578
2020-04-24,62.220001220703125
2019-03-29,61.95000076293945
2019-11-21,63.97999954223633
2020-04-27,65.5
2020-02-11,66.7699966430664
2020-04-30,66.94000244140625
2019-05-01,67.62000274658203
2019-02-26,68.22000122070312
2019-01-25,67.80000305175781
2018-12-24,67.8499984741211
2019-09-06,67.87999725341797
2018-07-17,67.13999938964844
2018-09-19,68.68000030517578
2019-08-05,69.66999816894531
2019-10-08,70.98999786376953
2019-12-11,71.79000091552734
2019-11-27,67.79000091552734
2020-02-14,67.77999877929688
2020-05-06,68.01000213623047
2019-01-08,68.7699966430664
2018-12-07,69.22000122070312
2019-08-20,72.5
2018-11-05,72.22000122070312
2019-07-19,73.0999984741211
2018-10-04,72.55000305175781
2019-06-17,73.31999969482422
2019-05-16,71.51000213623047
2018-08-01,69.86000061035156
2019-03-13,69.12000274658203
2019-12-03,69.75
2020-02-20,70.7300033569336
2019-12-06,70.75
2020-05-12,70.66999816894531
2019-12-09,69.4000015258789
2020-02-26,69.4000015258789
2020-05-15,69.62000274658203
2019-03-28,70.63999938964844
2018-09-17,71.33000183105469
2018-08-16,71.56999969482422
2018-10-19,70.97000122070312
2019-04-29,70.52999877929688
2019-01-23,70.61000061035156
2019-09-04,76.87000274658203
2018-11-20,75.20999908447266
2019-07-02,74.45999908447266
2019-05-31,71.69999694824219
2019-12-12,70.9800033569336
2020-05-18,71.19999694824219
2019-09-27,70.98999786376953
2020-03-03,68.0
2020-05-21,68.0
2019-05-14,66.25
2018-08-31,64.0
2018-07-30,61.0
2018-10-02,62.81999969482422
2019-04-12,67.12999725341797
2019-03-11,67.5999984741211
2019-02-07,68.61000061035156
2019-07-17,68.0999984741211
2019-09-19,65.18000030517578
2019-10-21,65.30999755859375
2019-12-18,65.47000122070312
2020-03-06,65.0999984741211
2019-10-03,66.58999633789062
2020-03-09,68.16000366210938
2020-05-27,65.66000366210938
2019-12-24,66.01000213623047
2020-03-12,66.87000274658203
2018-12-20,67.41999816894531
2019-08-01,68.79000091552734
2018-08-14,69.91999816894531
2018-07-13,71.54000091552734
2018-10-17,72.52999877929688
2019-05-29,74.8499984741211
2019-03-26,75.2699966430664
2019-02-22,74.5
2019-10-04,73.87999725341797
2019-11-05,73.61000061035156
2019-12-27,73.20999908447266
2020-06-02,73.18000030517578
2019-12-30,71.61000061035156
2020-03-18,71.43000030517578
2020-06-05,71.54000091552734
2019-07-15,71.83000183105469
2018-12-03,71.5
2019-06-13,67.94999694824219
2019-01-04,65.87999725341797
2018-08-29,63.4900016784668
2019-02-05,64.5
2018-11-01,64.5
2019-08-16,63.439998626708984
2019-04-10,63.06999969482422
2019-09-17,63.619998931884766
2019-10-15,65.55000305175781
2020-01-02,65.30000305175781
2020-06-08,66.5999984741211
2019-10-18,67.05999755859375
2020-03-24,67.9000015258789
2020-06-11,68.75
2020-01-08,68.83999633789062
2019-04-25,68.45999908447266
2019-07-30,70.0999984741211
2019-02-20,69.27999877929688
2018-07-11,69.44999694824219
2018-09-13,69.91999816894531
2018-10-15,69.47000122070312
2019-06-28,67.76000213623047
2018-12-18,67.08999633789062
2018-11-16,69.58000183105469
2019-10-02,74.30000305175781
2020-03-27,77.12999725341797
2020-01-10,76.3499984741211
2019-10-24,77.8499984741211
2020-03-30,77.83999633789062
2020-06-17,77.44000244140625
2020-01-14,78.08000183105469
2020-04-02,77.55000305175781
2019-01-02,77.83000183105469
2019-08-14,78.9000015258789
2018-10-30,78.5999984741211
2019-06-11,78.37999725341797
2019-05-10,78.11000061035156
2019-04-08,78.68000030517578
2018-08-27,79.05000305175781
2018-07-26,79.83000183105469
2018-09-28,80.04000091552734
2019-03-07,78.73999786376953
2019-10-30,77.52999877929688
2020-01-17,77.55000305175781
2020-06-23,75.06999969482422
2020-04-08,76.41999816894531
2020-06-26,76.1500015258789
2019-03-22,76.9800033569336
2019-01-17,74.81999969482422
2019-08-29,74.2300033569336
2018-11-14,74.6500015258789
2019-06-26,74.44999694824219
2018-09-11,74.68000030517578
2018-07-09,74.5
2018-08-10,73.88999938964844
2019-04-23,74.0
2019-09-30,74.45999908447266
2020-01-23,75.20999908447266
2019-11-08,76.48999786376953
2020-04-14,77.41000366210938
2019-11-11,77.87000274658203
2020-01-29,78.16000366210938
2020-04-17,77.45999908447266
2018-07-24,77.5
2018-09-26,78.19999694824219
2019-05-08,79.33000183105469
2019-03-05,79.26000213623047
2019-02-01,79.76000213623047
2018-12-31,78.4000015258789
2018-11-29,78.18000030517578
2019-08-12,77.44000244140625
2019-07-11,77.5199966430664
2019-09-13,77.87999725341797
2019-11-14,78.11000061035156
2020-04-20,78.12000274658203
2020-02-04,79.58000183105469
2020-04-23,78.19999694824219
2018-12-14,78.44000244140625
2019-08-27,77.88999938964844
2018-08-08,78.7300033569336
2018-10-11,75.95999908447266
2018-11-12,76.06999969482422
2019-07-26,77.20999908447266
2019-06-24,75.73999786376953
2019-05-23,73.37999725341797
2019-03-20,73.86000061035156
2019-01-15,77.1500015258789
2019-11-20,79.66999816894531
2020-02-07,80.12000274658203
2020-02-10,77.3499984741211
2020-04-29,76.83000183105469
2019-11-26,77.5199966430664
2020-02-13,78.19999694824219
2019-01-30,76.83000183105469
2018-08-23,76.77999877929688
2018-09-24,74.38999938964844
2018-11-27,77.80000305175781
2018-10-26,78.55999755859375
2019-07-09,77.37999725341797
2019-06-07,73.33000183105469
2019-05-06,72.04000091552734
2019-04-04,70.87999725341797
2019-09-11,68.66999816894531
2019-11-29,65.81999969482422
2020-05-05,66.06999969482422
2019-12-02,64.55000305175781
2020-02-19,64.16999816894531
2020-05-08,61.63999938964844
2019-05-21,59.900001525878906
2019-03-18,54.380001068115234
2018-09-07,55.90999984741211
2018-08-06,55.290000915527344
2018-10-09,50.540000915527344
2019-02-14,52.560001373291016
2018-12-12,47.56999969482422
2019-07-24,46.099998474121094
2019-09-26,35.06999969482422
2019-10-28,38.97999954223633
2019-12-05,40.0099983215332
2020-05-11,39.59000015258789
2019-07-03,43.63999938964844
2020-02-25,43.72999954223633
2020-05-14,46.43000030517578
2020-02-28,47.02000045776367
2019-08-08,46.41999816894531
2019-06-05,47.869998931884766
2018-07-20,45.2599983215332
2018-08-21,42.650001525878906
2018-10-24,42.09000015258789
2019-04-02,46.36000061035156
2019-03-01,49.880001068115234
2019-01-28,50.290000915527344
2018-12-27,53.5099983215332
2019-09-09,50.61000061035156
2020-03-02,51.63999938964844
2020-05-20,48.209999084472656
2019-12-17,46.630001068115234
2020-03-05,48.52000045776367
2019-02-12,47.68000030517578
2019-01-11,47.630001068115234
2018-12-10,50.290000915527344
2019-08-23,51.220001220703125
2018-11-08,52.130001068115234
2019-07-22,52.7599983215332
2019-06-20,55.209999084472656
2018-09-05,57.709999084472656
2019-04-17,55.9900016784668
2019-09-24,53.939998626708984
2019-12-20,51.290000915527344
2020-05-26,53.0099983215332
2019-04-30,52.689998626708984
2019-12-23,53.47999954223633
2020-03-11,56.0099983215332
2020-05-29,54.619998931884766
2019-12-26,52.56999969482422
2020-06-01,49.81999969482422
2019-05-02,48.75
2019-02-27,51.25
2018-11-23,54.290000915527344
