Dates,HG=F
2018-06-20,3.0439999103546143
2018-06-21,3.0434999465942383
2018-06-25,3.0295000076293945
2018-06-22,3.0185000896453857
2018-06-26,2.990499973297119
2018-06-27,2.9644999504089355
2018-06-28,2.9774999618530273
2018-06-29,2.9509999752044678
2018-07-02,2.9539999961853027
2018-07-05,2.8585000038146973
2018-07-06,2.818000078201294
2018-07-16,2.8494999408721924
2018-09-18,2.811000108718872
2019-01-24,2.818000078201294
2019-09-05,2.7279999256134033
2018-11-21,2.7750000953674316
2020-01-13,2.7734999656677246
2020-04-01,2.759999990463257
2020-06-19,2.746999979019165
2019-10-29,2.755500078201294
2020-01-16,2.679500102996826
2020-06-22,2.748500108718872
2018-10-03,2.7365000247955322
2018-07-31,2.7929999828338623
2019-03-12,2.8420000076293945
2019-02-08,2.7874999046325684
2019-01-07,2.7929999828338623
2018-12-06,2.7820000648498535
2019-08-19,2.815000057220459
2019-07-18,2.7300000190734863
2019-05-15,2.700000047683716
2019-09-20,2.740000009536743
2019-11-01,2.740999937057495
2020-01-19,2.740000009536743
2020-04-07,2.7980000972747803
2020-06-25,2.746500015258789
2020-06-16,2.7130000591278076
2019-11-04,2.680999994277954
2020-01-22,2.6700000762939453
2020-06-28,2.5815000534057617
2019-11-07,2.624500036239624
2020-04-13,2.6579999923706055
2019-07-01,2.672499895095825
2019-05-30,2.67549991607666
2018-08-15,2.6414999961853027
2018-10-18,2.6484999656677246
2019-03-27,2.7049999237060547
2019-01-22,2.740000009536743
2018-12-21,2.7119998931884766
2019-09-03,2.7079999446868896
2018-11-19,2.67549991607666
2019-08-02,2.635499954223633
2020-01-28,2.5845000743865967
2020-04-16,2.6080000400543213
2019-11-13,2.6019999980926514
2020-01-31,2.5980000495910645
2020-04-19,2.6075000762939453
2018-12-04,2.5994999408721924
2018-11-02,2.6624999046325684
2019-07-16,2.6659998893737793
2018-08-30,2.5980000495910645
2018-10-01,2.63100004196167
2019-06-14,2.7225000858306885
2019-05-13,2.7084999084472656
2019-04-11,2.759999990463257
2019-02-06,2.8350000381469727
2019-09-18,2.7720000743865967
2020-02-03,2.804500102996826
2020-04-22,2.7985000610351562
2019-11-19,2.7695000171661377
2020-02-06,2.7829999923706055
2019-11-22,2.7725000381469727
2020-02-09,2.7964999675750732
2019-03-25,2.8355000019073486
2019-02-21,2.7715001106262207
2018-12-19,2.7360000610351562
2018-07-12,2.7715001106262207
2018-09-14,2.7985000610351562
2018-08-13,2.734999895095825
2018-10-16,2.809000015258789
2019-07-31,2.8010001182556152
2019-05-28,2.7730000019073486
2019-04-26,2.7730000019073486
2020-04-28,2.765500068664551
2019-11-25,2.739000082015991
2020-02-12,2.7699999809265137
2020-05-01,2.7690000534057617
2020-05-04,2.749500036239624
