Dates,HG=F
2020-05-15,495.0
2019-03-28,397.0
2018-09-17,368.0
2018-08-16,338.0
2018-10-19,402.0
2019-04-29,453.0
2019-01-23,394.0
2019-09-04,354.0
2018-11-20,426.0
2019-07-02,436.0
2019-05-31,56567.0
2020-05-18,16954.0
2020-03-03,2202.0
2020-05-21,2394.0
2019-05-14,1139.0
2018-08-31,890.0
2018-07-30,782.0
2018-10-02,613.0
2019-04-12,560.0
2019-03-11,616.0
2019-02-07,912.0
2019-07-17,414.0
2019-09-19,494.0
2019-10-21,545.0
2019-12-18,415.0
2020-03-06,418.0
2020-05-24,464.0
2019-10-03,583.0
2020-03-09,563.0
2020-05-27,515.0
2020-03-12,925.0
2018-12-20,1424.0
2019-08-01,684.0
2018-08-14,897.0
2018-07-13,422.0
2018-10-17,258.0
2019-05-29,356.0
2019-03-26,575.0
2019-02-22,348.0
2019-10-04,258.0
2019-11-05,389.0
2019-12-27,373.0
2020-03-15,322.0
2020-06-02,281.0
2019-12-30,396.0
2020-03-18,411.0
2020-06-05,355.0
2019-07-15,390.0
2018-12-03,359.0
2019-06-13,474.0
2019-01-04,450.0
2018-08-29,315.0
2019-02-05,491.0
2018-11-01,637.0
2019-08-16,780.0
2019-04-10,500.0
2019-09-17,875.0
2019-10-15,639.0
2020-01-02,586.0
2020-06-08,354.0
2019-10-18,566.0
2020-01-05,247.0
2020-03-24,476.0
2020-06-11,361.0
2020-01-08,535.0
2019-04-25,398.0
2019-07-30,569.0
2019-02-20,554.0
2018-07-11,443.0
2018-09-13,406.0
2018-10-15,424.0
2019-06-28,341.0
2018-12-18,261.0
2018-11-16,54906.0
2019-10-02,2253.0
2020-03-27,907.0
2020-06-14,1856.0
2020-01-10,655.0
2019-10-24,354.0
2020-03-30,718.0
2020-06-17,988.0
2020-01-14,667.0
2020-04-02,791.0
2019-01-02,396.0
2019-08-14,711.0
2018-10-30,905.0
2019-06-11,524.0
2019-05-10,472.0
2019-04-08,446.0
2018-08-27,643.0
2018-07-26,426.0
2018-09-28,451.0
2019-03-07,638.0
2019-10-30,1476.0
2020-01-17,420.0
2020-06-23,1182.0
2020-04-08,76500.0
2020-06-26,321.0
2019-03-22,333.0
2019-01-17,261.0
2019-08-29,394.0
2018-11-14,208.0
2019-06-26,32704.0
2018-09-11,364.0
2018-07-09,247.0
2018-08-10,292.0
2019-04-23,288.0
2019-09-30,237.0
2020-01-23,17865.0
2020-06-29,298.0
2019-11-08,401.0
2020-01-26,309.0
2020-04-14,291.0
2019-11-11,170033.0
2020-01-29,359.0
2020-04-17,462.0
2018-07-24,381.0
2018-09-26,727.0
2019-05-08,830.0
2019-03-05,136650.0
2019-02-01,511.0
2018-12-31,860.0
2019-09-13,265.0
2018-11-29,240.0
2019-08-12,306.0
2019-07-11,109351.0
2019-11-14,236.0
2020-04-20,386.0
2020-02-04,212.0
2020-04-23,242.0
2018-12-14,234.0
2019-08-27,76339.0
2018-08-08,216.0
2018-10-11,408.0
2018-11-12,235.0
2019-07-26,386.0
2019-06-24,171771.0
2019-05-23,506.0
2019-03-20,379.0
2019-01-15,414.0
2019-11-20,50368330.0
2020-02-07,2006.0
2020-04-26,164128.0
2020-02-10,729.0
2020-04-29,792.0
2019-11-26,231.0
2020-02-13,198.0
2019-01-30,341.0
2018-08-23,972851.0
2018-09-24,522.0
2018-10-26,408.0
2019-09-11,386.0
2018-11-27,575.0
2019-07-09,71638452.0
2019-06-07,432195.0
2019-05-06,112502.0
2019-04-04,99919.0
2020-02-16,102912.0
2020-05-05,98814.0
2019-12-02,87315.0
2020-02-19,412411.0
2020-05-08,51417543.0
2019-05-21,54441266.0
2019-03-18,41548123.0
2018-09-07,34309732.0
2018-08-06,31695189.0
2018-10-09,191197.0
2019-02-14,29664947.0
2018-12-12,31058304.0
2019-07-24,29139634.0
2019-09-26,34094697.0
2019-10-28,25520591.0
2019-12-05,23026695.0
2020-05-11,79030.0
2020-02-25,36097824.0
2020-05-14,30103960.0
2020-02-28,335292.0
2020-05-17,31971677.0
2019-08-08,29094135.0
2019-06-05,23729860.0
2018-07-20,18338750.0
2018-08-21,30872763.0
2018-10-24,71136.0
2019-04-02,28750927.0
2019-03-01,51734047.0
2019-01-28,54488.0
2018-12-27,25474889.0
2019-09-09,18742892.0
2020-03-02,67030.0
2020-05-20,22922358.0
2019-12-17,13001916.0
2020-03-05,45785.0
2019-02-12,50117.0
2019-01-11,42069.0
2018-12-10,113964.0
2019-08-23,29503.0
2018-11-08,19594888.0
2019-07-22,25461561.0
2019-06-20,26839958.0
2018-09-05,18995468.0
2019-04-17,70222.0
2019-09-24,31613987.0
2019-12-20,25169902.0
2020-03-08,23302011.0
2020-05-26,28729769.0
2019-04-30,26447544.0
2019-12-23,107388.0
2020-03-11,34193744.0
2020-05-29,33342864.0
2019-12-26,26987303.0
2020-06-01,28739678.0
2019-05-02,36698732.0
2019-02-27,28588.0
2019-08-06,69691.0
2018-07-18,72065.0
2018-09-20,59381.0
2018-10-22,56162.0
2019-07-05,148809.0
2019-06-03,80100.0
2019-10-09,59933.0
2019-12-12,52754.0
2019-10-11,53592.0
2020-03-17,91094.0
2020-06-04,92756.0
2019-10-14,69890.0
2020-03-20,80777.0
2020-06-07,92543.0
2018-11-06,95519.0
2019-06-18,85623.0
2019-05-17,148396.0
2019-04-15,73455.0
2019-03-14,79364.0
2019-01-09,45395.0
2018-08-02,46341.0
2018-10-05,59223.0
2019-08-21,119065.0
2019-10-17,59105.0
2020-03-23,60628.0
2020-06-10,60099.0
2019-02-25,48279.0
2020-01-07,49552.0
2020-03-26,100430.0
2019-10-23,60518.0
