Dates,EXR
2018-06-20,98.19999694824219
2018-06-21,99.69000244140625
2018-06-25,99.2699966430664
2018-06-22,100.01000213623047
2018-06-26,100.95999908447266
2018-06-27,99.6500015258789
2018-06-28,100.0999984741211
2018-06-29,99.80999755859375
2018-07-02,98.8499984741211
2018-07-03,99.27999877929688
2018-07-05,100.66999816894531
2018-07-16,100.76000213623047
2018-09-18,99.30999755859375
2019-01-24,99.2300033569336
2019-09-05,98.88999938964844
2018-11-21,98.66000366210938
2020-01-13,96.80999755859375
2020-04-01,96.70999908447266
2020-06-19,94.68000030517578
2019-10-29,94.38999938964844
2020-01-16,95.12000274658203
2020-06-22,94.56999969482422
2018-10-03,93.9800033569336
2018-07-31,93.61000061035156
2019-03-12,94.25
2019-02-08,94.69999694824219
2019-01-07,92.9000015258789
2018-12-06,93.51000213623047
2019-08-19,93.97000122070312
2019-07-18,92.62999725341797
2019-05-15,90.94999694824219
2019-09-20,92.19999694824219
2019-11-01,93.41999816894531
2020-04-07,93.6500015258789
2020-06-25,93.58000183105469
2020-06-16,93.30000305175781
2019-11-04,92.9000015258789
2020-01-22,92.80000305175781
2019-11-07,92.55999755859375
2020-04-13,92.94999694824219
2019-07-01,94.2699966430664
2019-05-30,95.18000030517578
2018-08-15,94.88999938964844
2018-10-18,93.6500015258789
2019-03-27,91.66999816894531
2019-01-22,91.51000213623047
2018-12-21,92.52999877929688
2019-09-03,91.63999938964844
2018-11-19,92.37000274658203
2019-08-02,92.05000305175781
2020-01-28,91.83999633789062
2020-04-16,92.20999908447266
2019-11-13,91.9000015258789
2020-01-31,92.37999725341797
2018-12-04,92.70999908447266
2018-11-02,90.12999725341797
2019-07-16,90.91000366210938
2018-08-30,90.3499984741211
2018-10-01,90.37000274658203
2019-06-14,90.02999877929688
2019-05-13,88.41000366210938
2019-04-11,89.31999969482422
2019-02-06,87.91999816894531
2019-09-18,86.83999633789062
2020-02-03,87.37999725341797
2020-04-22,87.69000244140625
2019-11-19,87.02999877929688
2020-02-06,86.9000015258789
2019-11-22,86.43000030517578
2019-03-25,85.52999877929688
2019-02-21,86.63999938964844
2018-12-19,85.73999786376953
2018-07-12,85.80999755859375
2018-09-14,85.0
2018-08-13,84.80999755859375
2018-10-16,85.30999755859375
2019-07-31,86.04000091552734
2019-05-28,87.0999984741211
2019-04-26,86.31999969482422
2020-04-28,84.61000061035156
2019-11-25,84.86000061035156
2020-02-12,85.52999877929688
2020-05-01,86.75
2020-05-04,86.05999755859375
2019-06-12,86.37000274658203
2019-04-09,87.18000030517578
2019-03-08,85.93000030517578
2019-02-04,86.44000244140625
2018-07-27,87.73999786376953
2018-08-28,88.2699966430664
2019-01-03,87.69000244140625
2019-08-15,90.5999984741211
2018-10-31,90.97000122070312
2019-09-16,90.05999755859375
2020-02-18,90.37999725341797
2020-05-07,87.22000122070312
2018-08-17,88.87000274658203
2019-12-04,88.69999694824219
2020-02-21,89.52999877929688
2018-12-17,90.27999877929688
2019-08-30,90.75
2018-11-15,91.37999725341797
2019-07-29,91.77999877929688
2019-06-27,93.0
2019-04-24,92.86000061035156
2018-07-10,94.94000244140625
2018-09-12,95.4000015258789
2019-02-19,94.5
2019-01-18,92.88999938964844
2020-02-24,93.08999633789062
2020-05-13,92.62000274658203
2019-12-10,93.23999786376953
2020-02-27,93.79000091552734
2019-12-13,94.38999938964844
2020-05-19,95.9800033569336
2019-03-06,97.01000213623047
2018-11-30,96.9000015258789
2019-08-13,99.81999969482422
2019-07-12,98.69999694824219
2019-06-10,97.68000030517578
2019-05-09,98.30999755859375
2018-07-25,97.30000305175781
2018-09-27,97.4000015258789
2018-10-29,97.31999969482422
2019-10-16,93.19999694824219
2019-12-16,93.70999908447266
2020-03-04,93.77999877929688
2020-05-22,93.04000091552734
2019-10-01,92.58000183105469
2019-12-19,88.5999984741211
2018-09-10,90.30999755859375
2019-05-24,90.69999694824219
2018-08-09,89.95999908447266
2019-04-22,90.4800033569336
2019-03-21,87.44000244140625
2019-01-16,88.45999908447266
2019-08-28,87.83999633789062
2018-11-13,87.69999694824219
2018-10-12,89.08999633789062
2019-06-25,88.51000213623047
2020-03-10,89.97000122070312
2020-05-28,89.7300033569336
2019-10-07,90.02999877929688
2020-03-13,91.58000183105469
2019-10-10,92.01000213623047
2020-03-16,92.13999938964844
2020-06-03,92.33000183105469
2018-11-28,92.3499984741211
2018-09-25,92.12999725341797
2018-07-23,92.02999877929688
2018-08-24,93.1500015258789
2019-07-10,94.7699966430664
2019-05-07,96.55000305175781
2019-04-05,97.52999877929688
2019-03-04,98.61000061035156
2019-01-31,97.62000274658203
2019-09-12,98.01000213623047
2019-12-31,98.02999877929688
2020-03-19,98.25
2020-01-03,99.5999984741211
2020-06-09,100.37999725341797
2019-02-15,99.95999908447266
2019-01-14,99.0
2018-07-06,99.31999969482422
2018-08-07,98.9800033569336
2018-10-10,99.72000122070312
2018-12-13,99.11000061035156
2019-08-26,96.0
2019-07-25,92.27999877929688
2019-05-22,94.55999755859375
2019-03-19,93.4800033569336
2020-01-06,93.48999786376953
2020-03-25,94.36000061035156
2020-06-12,95.94000244140625
2019-10-22,95.58000183105469
2020-01-09,96.30000305175781
2020-06-15,97.80000305175781
