Dates,STT
2018-06-20,98.0199966430664
2018-06-21,97.27999877929688
2018-06-25,98.91999816894531
2018-06-22,97.80999755859375
2018-06-26,95.66999816894531
2018-06-27,95.41000366210938
2018-06-28,94.16000366210938
2018-06-29,93.83000183105469
2018-07-02,92.43000030517578
2018-07-03,94.52999877929688
2018-07-05,93.69000244140625
2018-07-16,92.0
2018-09-18,93.30000305175781
2019-01-24,94.73999786376953
2019-09-05,93.0199966430664
2018-11-21,93.52999877929688
2020-01-13,92.62999725341797
2020-04-01,92.5199966430664
2020-06-19,93.13999938964844
2019-10-29,94.01000213623047
2020-01-16,94.69999694824219
2020-06-22,88.0199966430664
2018-10-03,85.08000183105469
2018-07-31,87.79000091552734
2019-03-12,87.58000183105469
2019-02-08,87.33999633789062
2019-01-07,86.69999694824219
2018-12-06,87.20999908447266
2019-08-19,87.7699966430664
2019-07-18,88.5
2019-05-15,86.41999816894531
2019-09-20,86.55000305175781
2019-11-01,86.87999725341797
2020-04-07,87.11000061035156
2020-06-25,87.0199966430664
2020-06-16,86.54000091552734
2019-11-04,84.6500015258789
2020-01-22,84.22000122070312
2019-11-07,82.87000274658203
2020-04-13,83.05999755859375
2019-07-01,83.18000030517578
2019-05-30,84.18000030517578
2018-08-15,85.19999694824219
2018-10-18,85.12000274658203
2019-03-27,85.9800033569336
2019-01-22,85.72000122070312
2018-12-21,85.83000183105469
2019-09-03,86.66000366210938
2018-11-19,87.29000091552734
2019-08-02,87.86000061035156
2020-01-28,87.66000366210938
2020-04-16,86.41999816894531
2019-11-13,87.95999908447266
2020-01-31,87.52999877929688
2018-12-04,87.05000305175781
2018-11-02,86.69000244140625
2019-07-16,87.12999725341797
2018-08-30,86.6500015258789
2018-10-01,86.76000213623047
2019-06-14,87.0999984741211
2019-05-13,86.48999786376953
2019-04-11,87.4000015258789
2019-02-06,85.97000122070312
2019-09-18,85.83999633789062
2020-02-03,88.56999969482422
2020-04-22,89.54000091552734
2019-11-19,88.69999694824219
2020-02-06,87.16000366210938
2019-11-22,87.0
2019-03-25,86.58000183105469
2019-02-21,84.70999908447266
2018-12-19,84.12000274658203
2018-07-12,85.44000244140625
2018-09-14,86.08000183105469
2018-08-13,86.16000366210938
2018-10-16,87.06999969482422
2019-07-31,86.22000122070312
2019-05-28,86.94000244140625
2019-04-26,86.44999694824219
2020-04-28,82.76000213623047
2019-11-25,83.33000183105469
2020-02-12,81.25
2020-05-01,81.77999877929688
2020-05-04,81.44000244140625
2019-06-12,81.94000244140625
2019-04-09,73.05000305175781
2019-03-08,73.38999938964844
2019-02-04,69.33000183105469
2018-07-27,69.55000305175781
2018-08-28,67.63999938964844
2019-01-03,67.26000213623047
2019-08-15,67.63999938964844
2018-10-31,66.5
2019-09-16,68.69999694824219
2020-02-18,69.2300033569336
2020-05-07,70.9800033569336
2018-08-17,70.16999816894531
2019-12-04,72.11000061035156
2020-02-21,72.7300033569336
2018-12-17,73.5999984741211
2019-08-30,72.97000122070312
2018-11-15,72.02999877929688
2019-07-29,71.16000366210938
2019-06-27,71.87000274658203
2019-04-24,69.4800033569336
2018-07-10,71.25
2018-09-12,71.51000213623047
2019-02-19,70.95999908447266
2019-01-18,71.62999725341797
2020-02-24,71.30000305175781
2020-05-13,72.91999816894531
2019-12-10,73.30000305175781
2020-02-27,72.94000244140625
2019-12-13,73.75
2020-05-19,72.2699966430664
2019-03-06,74.30999755859375
2018-11-30,72.61000061035156
