Dates,STT
2018-06-20,1187700.0
2018-06-21,1564700.0
2018-06-25,2924100.0
2018-06-22,2324700.0
2018-06-26,1890700.0
2018-06-27,2550100.0
2018-06-28,1666100.0
2018-06-29,2287100.0
2018-07-02,2317100.0
2018-07-03,665000.0
2018-07-05,1328300.0
2018-07-16,1522900.0
2018-09-18,1680700.0
2019-01-24,1198100.0
2019-09-05,2504000.0
2018-11-21,1407600.0
2020-01-13,1813800.0
2020-04-01,1718100.0
2020-06-19,2906600.0
2019-10-29,1925500.0
2020-01-16,2608700.0
2020-06-22,10619700.0
2018-10-03,5577100.0
2018-07-31,4075100.0
2019-03-12,2742700.0
2019-02-08,1988500.0
2019-01-07,7058900.0
2018-12-06,4029200.0
2019-08-19,3870600.0
2019-07-18,5193900.0
2019-05-15,3198600.0
2019-09-20,2463700.0
2019-11-01,1944700.0
2020-04-07,1976100.0
2020-06-25,1865900.0
2020-06-16,2076700.0
2019-11-04,2504200.0
2020-01-22,2354300.0
2019-11-07,2990600.0
2020-04-13,2598800.0
2019-07-01,2104600.0
2019-05-30,2174600.0
2018-08-15,1830600.0
2018-10-18,2639600.0
2019-03-27,1515400.0
2019-01-22,1791000.0
2018-12-21,1378800.0
2019-09-03,1864700.0
2018-11-19,3646700.0
2019-08-02,2133800.0
2020-01-28,2285200.0
2020-04-16,1507200.0
2019-11-13,2982100.0
2020-01-31,2233400.0
2018-12-04,1845800.0
2018-11-02,1387100.0
2019-07-16,1691400.0
2018-08-30,1801900.0
2018-10-01,2158700.0
2019-06-14,3194200.0
2019-05-13,2313100.0
2019-04-11,1942900.0
2019-02-06,2308400.0
2019-09-18,2864800.0
2020-02-03,2822400.0
2020-04-22,6206300.0
2019-11-19,1909200.0
2020-02-06,2468000.0
2019-11-22,2750600.0
2019-03-25,1746400.0
2019-02-21,2962000.0
2018-12-19,2773700.0
2018-07-12,2116700.0
2018-09-14,2479000.0
2018-08-13,3278400.0
2018-10-16,2260000.0
2019-07-31,2061100.0
2019-05-28,2949700.0
2019-04-26,3502400.0
2020-04-28,4643100.0
2019-11-25,3084600.0
2020-02-12,1428200.0
2020-05-01,1866400.0
2020-05-04,2318700.0
2019-06-12,2905300.0
2019-04-09,11313900.0
2019-03-08,5037200.0
2019-02-04,4794600.0
2018-07-27,3106000.0
2018-08-28,4590800.0
2019-01-03,5182200.0
2019-08-15,4033400.0
2018-10-31,4097000.0
2019-09-16,6235600.0
2020-02-18,4232000.0
2020-05-07,4359600.0
2018-08-17,2668500.0
2019-12-04,2151800.0
2020-02-21,3289700.0
2018-12-17,2280800.0
2019-08-30,1928600.0
2018-11-15,1611800.0
2019-07-29,1371300.0
2019-06-27,1630100.0
2019-04-24,1657200.0
2018-07-10,1983200.0
2018-09-12,1885000.0
2019-02-19,3287500.0
2019-01-18,2561100.0
2020-02-24,1072000.0
2020-05-13,1940300.0
2019-12-10,2424000.0
2020-02-27,1897800.0
2019-12-13,2950000.0
2020-05-19,3238100.0
2019-03-06,2312300.0
2018-11-30,3982000.0
2019-08-13,5425100.0
2019-07-12,4190100.0
2019-06-10,2277300.0
2019-05-09,2791200.0
2018-07-25,3816000.0
2018-09-27,3359800.0
2018-10-29,3964300.0
2019-10-16,3375900.0
2019-12-16,5225100.0
2020-03-04,6816900.0
2020-05-22,4067700.0
2019-10-01,5719500.0
2019-12-19,1832200.0
2018-09-10,3318800.0
2019-05-24,2470100.0
2018-08-09,2635600.0
2019-04-22,2534300.0
2019-03-21,2420500.0
2019-01-16,3935400.0
2019-08-28,4080600.0
2018-11-13,4119900.0
2018-10-12,2784000.0
2019-06-25,2882800.0
2020-03-10,2699900.0
2020-05-28,1840600.0
2019-10-07,3020200.0
2020-03-13,2201900.0
2019-10-10,2990100.0
2020-03-16,4718300.0
2020-06-03,10251700.0
2018-11-28,4663200.0
2018-09-25,2470200.0
2018-07-23,2977300.0
2018-08-24,2003100.0
2019-07-10,3198200.0
2019-05-07,2931800.0
2019-04-05,3053000.0
2019-03-04,3851300.0
2019-01-31,2856700.0
2019-09-12,3758400.0
2019-12-31,1874100.0
2020-03-19,3692100.0
2020-01-03,4183200.0
2020-06-09,2686200.0
2019-02-15,3035200.0
2019-01-14,4201800.0
2018-07-06,3827300.0
2018-08-07,2352800.0
2018-10-10,3620600.0
2018-12-13,2308600.0
2019-08-26,2366300.0
2019-07-25,2256200.0
2019-05-22,2482500.0
2019-03-19,3278800.0
2020-01-06,2633100.0
2020-03-25,1700700.0
2020-06-12,1806200.0
2019-10-22,2362700.0
2020-01-09,1840100.0
