Dates,STT
2018-06-20,98.48999786376953
2018-06-21,98.5999984741211
2018-06-25,99.08000183105469
2018-06-22,97.80999755859375
2018-06-26,95.83000183105469
2018-06-27,96.5
2018-06-28,94.83999633789062
2018-06-29,95.11000061035156
2018-07-02,94.05999755859375
2018-07-03,94.6500015258789
2018-07-05,93.69000244140625
2018-07-16,93.45999908447266
2018-09-18,94.69999694824219
2019-01-24,94.86000061035156
2019-09-05,93.62000274658203
2018-11-21,93.52999877929688
2020-01-13,93.16999816894531
2020-04-01,93.98999786376953
2020-06-19,93.73999786376953
2019-10-29,95.68000030517578
2020-01-16,94.69999694824219
2020-06-22,88.13999938964844
2018-10-03,87.37000274658203
2018-07-31,89.3499984741211
2019-03-12,87.70999908447266
2019-02-08,88.3499984741211
2019-01-07,87.87999725341797
2018-12-06,87.97000122070312
2019-08-19,88.37999725341797
2019-07-18,89.2300033569336
2019-05-15,87.23999786376953
2019-09-20,87.05000305175781
2019-11-01,87.20999908447266
2020-04-07,87.9000015258789
2020-06-25,87.19000244140625
2020-06-16,86.70999908447266
2019-11-04,84.83000183105469
2020-01-22,84.30000305175781
2019-11-07,84.12000274658203
2020-04-13,83.54000091552734
2019-07-01,84.26000213623047
2019-05-30,85.12999725341797
2018-08-15,86.11000061035156
2018-10-18,86.61000061035156
2019-03-27,86.23999786376953
2019-01-22,86.25
2018-12-21,86.19000244140625
2019-09-03,87.68000030517578
2018-11-19,88.36000061035156
2019-08-02,88.02999877929688
2020-01-28,87.7699966430664
2020-04-16,87.08000183105469
2019-11-13,88.55000305175781
2020-01-31,88.05999755859375
2018-12-04,87.33999633789062
2018-11-02,86.69000244140625
2019-07-16,87.70999908447266
2018-08-30,87.48999786376953
2018-10-01,87.01000213623047
2019-06-14,87.48999786376953
2019-05-13,87.55999755859375
2019-04-11,87.72000122070312
2019-02-06,86.0999984741211
2019-09-18,88.37999725341797
2020-02-03,90.19999694824219
2020-04-22,89.7699966430664
2019-11-19,88.94000244140625
2020-02-06,87.48999786376953
2019-11-22,87.06999969482422
2019-03-25,86.88999938964844
2019-02-21,85.06999969482422
2018-12-19,85.80000305175781
2018-07-12,86.06999969482422
2018-09-14,86.91999816894531
2018-08-13,87.3499984741211
2018-10-16,87.79000091552734
2019-07-31,87.44999694824219
2019-05-28,87.0999984741211
2019-04-26,86.79000091552734
2020-04-28,84.0
2019-11-25,83.33000183105469
2020-02-12,82.02999877929688
