Dates,IQV
2018-06-20,105.54000091552734
2018-06-21,104.5999984741211
2018-06-25,103.23999786376953
2018-06-22,100.72000122070312
2018-06-26,99.97000122070312
2018-06-27,98.56999969482422
2018-06-28,97.6500015258789
2018-06-29,99.43000030517578
2018-07-02,98.16999816894531
2018-07-03,100.0
2018-07-05,99.6500015258789
2018-07-16,100.44999694824219
2018-09-18,101.94000244140625
2019-01-24,103.06999969482422
2019-09-05,103.25
2018-11-21,104.75
2020-01-13,106.04000091552734
2020-04-01,107.06999969482422
2020-06-19,107.37999725341797
2019-10-29,108.38999938964844
2020-01-16,109.18000030517578
2020-06-22,110.02999877929688
2018-10-03,111.12000274658203
2018-07-31,113.16999816894531
2019-03-12,118.97000122070312
2019-02-08,120.91999816894531
2019-01-07,119.63999938964844
2018-12-06,120.12000274658203
2019-08-19,121.25
2019-07-18,121.80000305175781
2019-05-15,121.93000030517578
2019-09-20,122.51000213623047
2019-11-01,121.73999786376953
2020-04-07,121.95999908447266
2020-06-25,121.91000366210938
2020-06-16,121.55999755859375
2019-11-04,120.41999816894531
2020-01-22,120.48999786376953
2019-11-07,120.0999984741211
2020-04-13,119.58999633789062
2019-07-01,119.87000274658203
2019-05-30,119.73999786376953
2018-08-15,119.52999877929688
2018-10-18,120.76000213623047
2019-03-27,121.69000244140625
2019-01-22,123.80999755859375
2018-12-21,124.4800033569336
2019-09-03,125.19999694824219
2018-11-19,126.08000183105469
2019-08-02,126.12999725341797
2020-01-28,125.30999755859375
2020-04-16,125.88999938964844
2019-11-13,125.95999908447266
2020-01-31,125.5
2018-12-04,125.31999969482422
2018-11-02,126.23999786376953
2019-07-16,126.75
2018-08-30,123.36000061035156
2018-10-01,122.27999877929688
2019-06-14,124.48999786376953
2019-05-13,125.73999786376953
2019-04-11,124.91999816894531
2019-02-06,124.63999938964844
2019-09-18,124.94000244140625
2020-02-03,125.31999969482422
2020-04-22,126.37999725341797
2019-11-19,126.9000015258789
2020-02-06,128.58999633789062
2019-11-22,129.83999633789062
2019-03-25,129.50999450683594
2019-02-21,129.47999572753906
2018-12-19,128.80999755859375
2018-07-12,129.0800018310547
2018-09-14,129.6699981689453
2018-08-13,126.7300033569336
2018-10-16,126.56999969482422
2019-07-31,125.43000030517578
2019-05-28,125.8499984741211
2019-04-26,122.5999984741211
2020-04-28,121.0
2019-11-25,123.5
2020-02-12,123.69999694824219
2020-05-01,125.16999816894531
2020-05-04,128.1199951171875
2019-06-12,126.76000213623047
2019-04-09,126.5
2019-03-08,124.43000030517578
2019-02-04,115.33000183105469
2018-07-27,115.0
2018-08-28,115.8499984741211
2019-01-03,117.58999633789062
2019-08-15,118.61000061035156
2018-10-31,118.54000091552734
2019-09-16,120.88999938964844
2020-02-18,121.44999694824219
2020-05-07,120.41999816894531
2018-08-17,120.80000305175781
2019-12-04,121.30999755859375
2020-02-21,123.44999694824219
2018-12-17,125.29000091552734
2019-08-30,122.7699966430664
2018-11-15,120.2699966430664
2019-07-29,119.54000091552734
2019-06-27,117.22000122070312
2019-04-24,115.38999938964844
2018-07-10,117.69000244140625
2018-09-12,114.86000061035156
2019-02-19,113.12000274658203
2019-01-18,116.05000305175781
2020-02-24,115.1500015258789
2020-05-13,118.13999938964844
2019-12-10,118.48999786376953
2020-02-27,120.02999877929688
2019-12-13,123.6500015258789
2020-05-19,121.81999969482422
2019-03-06,126.8499984741211
2018-11-30,123.04000091552734
2019-08-13,118.3499984741211
2019-07-12,117.05000305175781
2019-06-10,115.7300033569336
2019-05-09,120.11000061035156
2018-07-25,122.0999984741211
2018-09-27,119.61000061035156
2018-10-29,117.5999984741211
2019-10-16,114.91999816894531
2019-12-16,114.05999755859375
2020-03-04,111.62000274658203
2020-05-22,109.5199966430664
2019-10-01,107.58999633789062
2019-12-19,104.9000015258789
2018-09-10,105.5199966430664
2019-05-24,107.94999694824219
2018-08-09,111.94999694824219
2019-04-22,114.3499984741211
2019-03-21,112.37999725341797
2019-01-16,107.79000091552734
2019-08-28,110.52999877929688
2018-11-13,114.75
2018-10-12,116.95999908447266
2019-06-25,120.0
2020-03-10,120.30000305175781
2020-05-28,121.11000061035156
2019-10-07,121.16999816894531
2020-03-13,121.20999908447266
2019-10-10,123.51000213623047
2020-03-16,122.55000305175781
2020-06-03,124.91000366210938
2018-11-28,124.44999694824219
2018-09-25,123.69999694824219
2018-07-23,123.91000366210938
2018-08-24,125.1500015258789
2019-07-10,123.56999969482422
2019-05-07,123.87000274658203
2019-04-05,124.55000305175781
2019-03-04,126.5
2019-01-31,128.16000366210938
2019-09-12,128.47000122070312
2019-12-31,128.92999267578125
2020-03-19,129.5
2020-01-03,128.49000549316406
2020-06-09,128.22999572753906
2019-02-15,128.6999969482422
2019-01-14,128.89999389648438
2018-07-06,130.17999267578125
2018-08-07,135.0
2018-10-10,140.1699981689453
2018-12-13,140.6699981689453
2019-08-26,139.89999389648438
2019-07-25,140.8300018310547
2019-05-22,141.14999389648438
2019-03-19,141.6699981689453
2020-01-06,140.3800048828125
2020-03-25,140.25
2020-06-12,140.0500030517578
2019-10-22,140.89999389648438
2020-01-09,139.8000030517578
2020-06-15,141.2899932861328
2019-10-25,138.83999633789062
2020-03-31,137.13999938964844
2020-06-18,136.22000122070312
2019-04-03,137.35000610351562
2018-08-22,138.80999755859375
2018-10-25,140.7100067138672
2019-01-29,140.8300018310547
2018-12-28,140.66000366210938
2018-11-26,140.0500030517578
2019-08-09,143.30999755859375
2019-07-08,142.80999755859375
