Dates,IQV
2018-06-20,1278100.0
2018-06-21,984100.0
2018-06-25,4965900.0
2018-06-22,1757900.0
2018-06-26,1264900.0
2018-06-27,1139900.0
2018-06-28,1734500.0
2018-06-29,1833500.0
2018-07-02,1634600.0
2018-07-03,926100.0
2018-07-05,963100.0
2018-07-16,985600.0
2018-09-18,1053900.0
2019-01-24,887900.0
2019-09-05,1242900.0
2018-11-21,1188600.0
2020-01-13,1258800.0
2020-04-01,1482500.0
2020-06-19,1029500.0
2019-10-29,1384100.0
2020-01-16,1282000.0
2020-06-22,1363800.0
2018-10-03,1925600.0
2018-07-31,3575700.0
2019-03-12,3035000.0
2019-02-08,2457700.0
2019-01-07,807800.0
2018-12-06,1109100.0
2019-08-19,1221100.0
2019-07-18,861200.0
2019-05-15,1321000.0
2019-09-20,742500.0
2019-11-01,1299900.0
2020-04-07,650200.0
2020-06-25,437400.0
2020-06-16,588900.0
2019-11-04,482400.0
2020-01-22,589900.0
2019-11-07,837900.0
2020-04-13,1110900.0
2019-07-01,487100.0
2019-05-30,833900.0
2018-08-15,1405400.0
2018-10-18,1900000.0
2019-03-27,1122100.0
2019-01-22,884900.0
2018-12-21,1011300.0
2019-09-03,852700.0
2018-11-19,466100.0
2019-08-02,676100.0
2020-01-28,459000.0
2020-04-16,736700.0
2019-11-13,810700.0
2020-01-31,1301700.0
2018-12-04,1066200.0
2018-11-02,1014500.0
2019-07-16,529200.0
2018-08-30,2235900.0
2018-10-01,1268300.0
2019-06-14,1167700.0
2019-05-13,560200.0
2019-04-11,1272700.0
2019-02-06,1513400.0
2019-09-18,747600.0
2020-02-03,1254300.0
2020-04-22,2623400.0
2019-11-19,807100.0
2020-02-06,1150600.0
2019-11-22,1387100.0
2019-03-25,826700.0
2019-02-21,1106600.0
2018-12-19,1538700.0
2018-07-12,967900.0
2018-09-14,993700.0
2018-08-13,939400.0
2018-10-16,1072400.0
2019-07-31,821900.0
2019-05-28,945000.0
2019-04-26,879100.0
2020-04-28,1625300.0
2019-11-25,817800.0
2020-02-12,675900.0
2020-05-01,930400.0
2020-05-04,699900.0
2019-06-12,807500.0
2019-04-09,1574000.0
2019-03-08,2807000.0
2019-02-04,2968100.0
2018-07-27,1954600.0
2018-08-28,1809400.0
2019-01-03,2385800.0
2019-08-15,1969400.0
2018-10-31,1433800.0
2019-09-16,1391600.0
2020-02-18,1050600.0
2020-05-07,1135800.0
2018-08-17,1847700.0
2019-12-04,858900.0
2020-02-21,943700.0
2018-12-17,780100.0
2019-08-30,656500.0
2018-11-15,712500.0
2019-07-29,1230000.0
2019-06-27,1433500.0
2019-04-24,1325100.0
2018-07-10,1730700.0
2018-09-12,1407100.0
2019-02-19,1266200.0
2019-01-18,1174600.0
2020-02-24,286400.0
2020-05-13,1010100.0
2019-12-10,1164900.0
2020-02-27,1511000.0
2019-12-13,1029800.0
2020-05-19,2966400.0
2019-03-06,2208800.0
2018-11-30,2852200.0
2019-08-13,1716500.0
2019-07-12,1535200.0
2019-06-10,1402800.0
2019-05-09,1875400.0
2018-07-25,1517900.0
2018-09-27,978600.0
2018-10-29,1429300.0
2019-10-16,2106100.0
2019-12-16,1988900.0
2020-03-04,1714500.0
2020-05-22,2029100.0
2019-10-01,2710700.0
2019-12-19,876300.0
2018-09-10,1253000.0
2019-05-24,997700.0
2018-08-09,1280500.0
2019-04-22,991400.0
2019-03-21,1155700.0
2019-01-16,2178900.0
2019-08-28,1402400.0
2018-11-13,1170800.0
2018-10-12,1286800.0
2019-06-25,1609300.0
2020-03-10,1032400.0
2020-05-28,1136000.0
2019-10-07,919600.0
2020-03-13,1332500.0
2019-10-10,1491400.0
2020-03-16,1268500.0
2020-06-03,2140100.0
2018-11-28,1314300.0
2018-09-25,989700.0
2018-07-23,1363800.0
2018-08-24,1004400.0
2019-07-10,888200.0
2019-05-07,659800.0
2019-04-05,530500.0
2019-03-04,941500.0
2019-01-31,1076800.0
2019-09-12,1158100.0
2019-12-31,952500.0
2020-03-19,638200.0
2020-01-03,919500.0
2020-06-09,935400.0
2019-02-15,794900.0
2019-01-14,1647100.0
2018-07-06,1245500.0
2018-08-07,3219600.0
2018-10-10,1754500.0
2018-12-13,1080300.0
2019-08-26,1058400.0
2019-07-25,1550000.0
2019-05-22,1050600.0
2019-03-19,1362400.0
2020-01-06,1351900.0
2020-03-25,1051400.0
2020-06-12,1263300.0
2019-10-22,1375600.0
2020-01-09,973900.0
2020-06-15,1425400.0
2019-10-25,2776900.0
2020-03-31,2836400.0
2020-06-18,799500.0
2019-04-03,1423400.0
2018-08-22,1880500.0
2018-10-25,1093200.0
2019-01-29,712700.0
2018-12-28,1939000.0
2018-11-26,1435500.0
2019-08-09,1128200.0
2019-07-08,1432900.0
2019-06-06,1604500.0
2019-09-10,1016100.0
2020-01-15,1217800.0
2020-04-03,700800.0
2019-10-31,1102400.0
2020-04-06,760400.0
2020-06-24,1059500.0
2018-11-09,984900.0
2019-07-23,771600.0
2019-06-21,1865000.0
2019-05-20,1738000.0
2019-04-18,1398900.0
2018-09-06,757400.0
2018-10-08,973300.0
2019-02-13,1256100.0
2018-12-11,909400.0
2019-09-25,814300.0
2020-01-21,966500.0
2020-04-09,1243000.0
2019-11-06,2170300.0
2020-01-24,1190700.0
2020-01-27,1144800.0
2020-04-15,1195200.0
2018-12-26,1240800.0
2019-08-07,1212400.0
2019-06-04,930000.0
2018-09-21,844400.0
2018-07-19,1127300.0
2018-08-20,1773700.0
2018-10-23,1417100.0
2019-05-03,1597500.0
2019-04-01,1189400.0
2019-02-28,1124900.0
2019-11-12,1140400.0
2020-01-30,1337500.0
2019-11-15,1648600.0
2020-04-21,1446400.0
2019-04-16,1036400.0
2019-03-15,997300.0
2019-02-11,787200.0
2019-01-10,1372500.0
2019-08-22,1022200.0
2018-11-07,699900.0
2018-08-03,1246600.0
2018-09-04,1355000.0
2019-06-19,984100.0
2019-09-23,1418500.0
2019-11-18,924700.0
2020-02-05,546000.0
2020-04-24,972200.0
2019-03-29,2051600.0
2019-11-21,1838300.0
2020-04-27,1283500.0
2020-02-11,871500.0
2020-04-30,889900.0
2019-05-01,1270400.0
2019-02-26,1243100.0
2019-01-25,1142600.0
2018-12-24,1574500.0
2019-09-06,1090400.0
2018-07-17,942000.0
2018-09-19,2138700.0
2019-08-05,4014000.0
2019-10-08,1865800.0
2019-12-11,2799400.0
2019-11-27,1428500.0
2020-02-14,1623900.0
2020-05-06,1521000.0
