Dates,SYK
2018-06-20,170.25999450683594
2018-06-21,169.69000244140625
2018-06-25,170.41000366210938
2018-06-22,171.19000244140625
2018-06-26,170.36000061035156
2018-06-27,171.72000122070312
2018-06-28,168.5800018310547
2018-06-29,169.74000549316406
2018-07-02,167.55999755859375
2018-07-03,169.9600067138672
2018-07-05,171.02000427246094
2018-07-16,171.8800048828125
2018-09-18,173.42999267578125
2019-01-24,174.17999267578125
2019-09-05,173.52000427246094
2018-11-21,174.27999877929688
2020-01-13,174.52000427246094
2020-04-01,174.17999267578125
2020-06-19,173.66000366210938
2019-10-29,176.08999633789062
2020-01-16,173.22000122070312
2020-06-22,172.4199981689453
2018-10-03,173.80999755859375
2018-07-31,175.39999389648438
2019-03-12,168.5
2019-02-08,170.24000549316406
2019-01-07,171.4600067138672
2018-12-06,168.74000549316406
2019-08-19,165.83999633789062
2019-07-18,163.3800048828125
2019-05-15,164.55999755859375
2019-09-20,167.02000427246094
2019-11-01,165.2100067138672
2020-04-07,166.1300048828125
2020-06-25,165.5
2020-06-16,166.58999633789062
2019-11-04,166.4199981689453
2020-01-22,166.0500030517578
2019-11-07,166.08999633789062
2020-04-13,165.8300018310547
2019-07-01,168.0
2019-05-30,168.60000610351562
2018-08-15,170.30999755859375
2018-10-18,169.33999633789062
2019-03-27,167.75999450683594
2019-01-22,169.72999572753906
2018-12-21,169.39999389648438
2019-09-03,170.69000244140625
2018-11-19,170.75999450683594
2019-08-02,170.25
2020-01-28,170.55999755859375
2020-04-16,168.47999572753906
2019-11-13,169.5
2020-01-31,167.82000732421875
2018-12-04,168.0399932861328
2018-11-02,170.52000427246094
2019-07-16,170.4199981689453
2018-08-30,170.22000122070312
2018-10-01,171.58999633789062
2019-06-14,172.27999877929688
2019-05-13,173.49000549316406
2019-04-11,171.22000122070312
2019-02-06,169.75
2019-09-18,173.97000122070312
2020-02-03,174.0
2020-04-22,173.50999450683594
2019-11-19,173.94000244140625
2020-02-06,176.25999450683594
2019-11-22,175.88999938964844
2019-03-25,175.75999450683594
2019-02-21,175.0
2018-12-19,178.25
2018-07-12,178.6199951171875
2018-09-14,177.35000610351562
2018-08-13,174.85000610351562
2018-10-16,174.02000427246094
2019-07-31,174.16000366210938
2019-05-28,175.05999755859375
2019-04-26,176.0
2020-04-28,170.5399932861328
2019-11-25,171.05999755859375
2020-02-12,170.66000366210938
2020-05-01,171.16000366210938
2020-05-04,174.32000732421875
2019-06-12,176.4199981689453
2019-04-09,173.33999633789062
2019-03-08,169.25999450683594
2019-02-04,165.89999389648438
2018-07-27,166.35000610351562
2018-08-28,164.4199981689453
2019-01-03,164.0
2019-08-15,162.63999938964844
2018-10-31,162.19000244140625
2019-09-16,163.52999877929688
2020-02-18,163.1199951171875
2020-05-07,167.47000122070312
2018-08-17,165.92999267578125
2019-12-04,165.83999633789062
2020-02-21,168.08999633789062
2018-12-17,169.58999633789062
2019-08-30,171.0
2018-11-15,171.3800048828125
2019-07-29,170.1199951171875
2019-06-27,168.4499969482422
2019-04-24,164.94000244140625
2018-07-10,167.8699951171875
2018-09-12,171.97999572753906
2019-02-19,166.7100067138672
2019-01-18,165.97000122070312
2020-02-24,163.77000427246094
2020-05-13,165.07000732421875
2019-12-10,165.5399932861328
2020-02-27,167.1999969482422
2019-12-13,170.8000030517578
2020-05-19,171.36000061035156
