Dates,SYK
2018-06-20,169.5399932861328
2018-06-21,169.80999755859375
2018-06-25,172.0
2018-06-22,170.27999877929688
2018-06-26,172.25
2018-06-27,169.16000366210938
2018-06-28,168.97000122070312
2018-06-29,168.86000061035156
2018-07-02,169.9600067138672
2018-07-03,169.7899932861328
2018-07-05,171.3300018310547
2018-07-16,173.11000061035156
2018-09-18,173.61000061035156
2019-01-24,174.3800048828125
2019-09-05,173.4199981689453
2018-11-21,174.3300018310547
2020-01-13,174.3000030517578
2020-04-01,173.4199981689453
2020-06-19,176.11000061035156
2019-10-29,173.74000549316406
2020-01-16,172.86000061035156
2020-06-22,174.3000030517578
2018-10-03,174.67999267578125
2018-07-31,172.9199981689453
2019-03-12,169.97999572753906
2019-02-08,171.38999938964844
2019-01-07,169.0399932861328
2018-12-06,164.99000549316406
2019-08-19,163.25
2019-07-18,165.0
2019-05-15,166.4499969482422
2019-09-20,165.3000030517578
2019-11-01,166.1300048828125
2020-04-07,165.17999267578125
2020-06-25,166.16000366210938
2020-06-16,167.00999450683594
2019-11-04,165.8800048828125
2020-01-22,166.11000061035156
2019-11-07,166.2100067138672
2020-04-13,166.77999877929688
2019-07-01,168.69000244140625
2019-05-30,169.97999572753906
2018-08-15,168.89999389648438
2018-10-18,168.3000030517578
2019-03-27,169.5500030517578
2019-01-22,169.39999389648438
2018-12-21,169.97999572753906
2019-09-03,170.47999572753906
2018-11-19,169.88999938964844
2019-08-02,171.27000427246094
2020-01-28,169.02000427246094
2020-04-16,169.42999267578125
2019-11-13,168.60000610351562
2020-01-31,168.0399932861328
2018-12-04,171.25
2018-11-02,169.75
2019-07-16,170.38999938964844
2018-08-30,171.75999450683594
2018-10-01,173.2899932861328
2019-06-14,173.07000732421875
2019-05-13,170.5
2019-04-11,169.8800048828125
2019-02-06,174.10000610351562
2019-09-18,173.52999877929688
2020-02-03,173.49000549316406
2020-04-22,174.5
2019-11-19,176.0800018310547
2020-02-06,175.77000427246094
2019-11-22,175.77999877929688
2019-03-25,175.0399932861328
2019-02-21,177.67999267578125
2018-12-19,178.64999389648438
2018-07-12,177.3800048828125
2018-09-14,175.30999755859375
2018-08-13,173.57000732421875
2018-10-16,174.08999633789062
2019-07-31,175.0
2019-05-28,176.0800018310547
2019-04-26,171.14999389648438
2020-04-28,168.72000122070312
2019-11-25,171.0399932861328
2020-02-12,169.41000366210938
2020-05-01,175.10000610351562
2020-05-04,176.22999572753906
2019-06-12,173.10000610351562
2019-04-09,168.94000244140625
2019-03-08,167.75999450683594
2019-02-04,166.6300048828125
2018-07-27,163.1999969482422
2018-08-28,165.27000427246094
2019-01-03,160.3800048828125
2019-08-15,161.75
2018-10-31,162.0399932861328
2019-09-16,162.22000122070312
2020-02-18,166.57000732421875
2020-05-07,165.3699951171875
2018-08-17,166.3300018310547
2019-12-04,166.72999572753906
2020-02-21,169.75
2018-12-17,171.2899932861328
2019-08-30,171.25
2018-11-15,170.00999450683594
2019-07-29,167.82000732421875
2019-06-27,166.0
2019-04-24,168.72000122070312
2018-07-10,172.16000366210938
2018-09-12,167.72000122070312
2019-02-19,165.9499969482422
2019-01-18,164.33999633789062
2020-02-24,164.8000030517578
2020-05-13,165.91000366210938
2019-12-10,167.07000732421875
2020-02-27,171.67999267578125
2019-12-13,170.91000366210938
2020-05-19,175.4600067138672
2019-03-06,173.88999938964844
2018-11-30,172.25
2019-08-13,172.44000244140625
2019-07-12,168.85000610351562
2019-06-10,171.22000122070312
2019-05-09,171.66000366210938
2018-07-25,172.61000061035156
2018-09-27,172.86000061035156
2018-10-29,166.55999755859375
2019-10-16,160.11000061035156
2019-12-16,161.47999572753906
2020-03-04,158.0
2020-05-22,153.7899932861328
2019-10-01,150.72999572753906
2019-12-19,145.0
2018-09-10,150.8300018310547
2019-05-24,154.60000610351562
2018-08-09,154.8000030517578
2019-04-22,156.75
2019-03-21,154.5
2019-01-16,152.4600067138672
2019-08-28,157.05999755859375
2018-11-13,157.0
2018-10-12,158.89999389648438
2019-06-25,159.8000030517578
2020-03-10,161.33999633789062
2020-05-28,159.49000549316406
2019-10-07,157.66000366210938
2020-03-13,162.13999938964844
2019-10-10,163.39999389648438
2020-03-16,164.41000366210938
2020-06-03,167.5500030517578
2018-11-28,165.8800048828125
2018-09-25,165.77999877929688
2018-07-23,167.3000030517578
2018-08-24,165.75999450683594
2019-07-10,162.0
2019-05-07,161.07000732421875
2019-04-05,179.38999938964844
2019-03-04,177.57000732421875
2019-01-31,177.30999755859375
2019-09-12,177.13999938964844
2019-12-31,179.35000610351562
2020-03-19,180.6999969482422
2020-01-03,180.75
2020-06-09,182.66000366210938
2019-02-15,183.52999877929688
2019-01-14,185.66000366210938
2018-07-06,185.2899932861328
2018-08-07,185.5399932861328
2018-10-10,186.8300018310547
2018-12-13,186.11000061035156
