Dates,AEP
2018-06-20,66.97000122070312
2018-06-21,67.63999938964844
2018-06-25,67.81999969482422
2018-06-22,69.08000183105469
2018-06-26,69.7300033569336
2018-06-27,69.95999908447266
2018-06-28,70.30000305175781
2018-06-29,69.56999969482422
2018-07-02,70.0999984741211
2018-07-03,70.94999694824219
2018-07-05,71.16000366210938
2018-07-16,71.7300033569336
2018-09-18,71.44999694824219
2019-01-24,70.22000122070312
2019-09-05,70.91999816894531
2018-11-21,70.97000122070312
2020-01-13,70.76000213623047
2020-04-01,70.58000183105469
2020-06-19,70.75
2019-10-29,70.63999938964844
2020-01-16,71.16999816894531
2020-06-22,70.88999938964844
2018-10-03,70.45999908447266
2018-07-31,69.23999786376953
2019-03-12,69.8499984741211
2019-02-08,71.05000305175781
2019-01-07,71.88999938964844
2018-12-06,70.87000274658203
2019-08-19,71.20999908447266
2019-07-18,70.62999725341797
2019-05-15,70.69000244140625
2019-09-20,71.48999786376953
2019-11-01,71.69999694824219
2020-04-07,71.3499984741211
2020-06-25,71.18000030517578
2020-06-16,71.01000213623047
2019-11-04,71.79000091552734
2020-01-22,71.05999755859375
2019-11-07,71.30999755859375
2020-04-13,72.36000061035156
2019-07-01,72.41999816894531
2019-05-30,72.91000366210938
2018-08-15,72.63999938964844
2018-10-18,72.02999877929688
2019-03-27,71.81999969482422
2019-01-22,71.79000091552734
2018-12-21,71.61000061035156
2019-09-03,71.72000122070312
2018-11-19,71.37999725341797
2019-08-02,71.76000213623047
2020-01-28,72.27999877929688
2020-04-16,72.29000091552734
2019-11-13,72.5199966430664
2020-01-31,73.30000305175781
2018-12-04,73.6500015258789
2018-11-02,73.29000091552734
2019-07-16,73.62999725341797
2018-08-30,73.73999786376953
2018-10-01,73.19000244140625
2019-06-14,72.9800033569336
2019-05-13,72.7699966430664
2019-04-11,72.87000274658203
2019-02-06,72.8499984741211
2019-09-18,72.66999816894531
2020-02-03,71.12000274658203
2020-04-22,71.70999908447266
2019-11-19,71.44000244140625
2020-02-06,70.61000061035156
2019-11-22,70.06999969482422
2019-03-25,69.98999786376953
2019-02-21,70.94999694824219
2018-12-19,71.01000213623047
2018-07-12,71.8499984741211
2018-09-14,71.72000122070312
2018-08-13,70.7699966430664
2018-10-16,72.11000061035156
2019-07-31,73.19000244140625
2019-05-28,73.4800033569336
2019-04-26,73.88999938964844
2020-04-28,73.06999969482422
2019-11-25,71.31999969482422
2020-02-12,71.5999984741211
2020-05-01,72.18000030517578
2020-05-04,71.9800033569336
2019-06-12,72.08999633789062
2019-04-09,73.4000015258789
2019-03-08,73.5
2019-02-04,74.11000061035156
2018-07-27,76.05000305175781
2018-08-28,75.5
2019-01-03,74.58000183105469
2019-08-15,74.37000274658203
2018-10-31,74.87999725341797
2019-09-16,74.12999725341797
2020-02-18,73.54000091552734
2020-05-07,73.52999877929688
2018-08-17,73.87999725341797
2019-12-04,74.5199966430664
2020-02-21,75.22000122070312
2018-12-17,74.68000030517578
2019-08-30,75.48999786376953
2018-11-15,76.95999908447266
2019-07-29,76.69000244140625
2019-06-27,76.7699966430664
2019-04-24,76.81999969482422
2018-07-10,77.79000091552734
2018-09-12,77.66000366210938
2019-02-19,78.47000122070312
2019-01-18,77.66999816894531
2020-02-24,76.04000091552734
2020-05-13,76.16999816894531
2019-12-10,76.68000030517578
2020-02-27,76.7300033569336
2019-12-13,76.37000274658203
2020-05-19,77.80000305175781
2019-03-06,78.3499984741211
2018-11-30,79.30999755859375
2019-08-13,79.25
2019-07-12,79.7699966430664
2019-06-10,79.61000061035156
2019-05-09,80.1500015258789
2018-07-25,80.48999786376953
2018-09-27,80.66999816894531
2018-10-29,81.05000305175781
2019-10-16,80.43000030517578
2019-12-16,78.37000274658203
2020-03-04,77.79000091552734
2020-05-22,78.47000122070312
2019-10-01,79.25
2019-12-19,77.22000122070312
2018-09-10,74.37000274658203
2019-05-24,75.04000091552734
2018-08-09,75.72000122070312
2019-04-22,75.08999633789062
2019-03-21,74.61000061035156
2019-01-16,73.66000366210938
2019-08-28,73.44000244140625
2018-11-13,73.20999908447266
2018-10-12,74.05000305175781
2019-06-25,74.25
2020-03-10,74.80000305175781
2020-05-28,74.76000213623047
2019-10-07,74.02999877929688
2020-03-13,75.45999908447266
2019-10-10,75.76000213623047
2020-03-16,76.20999908447266
2020-06-03,76.5
2018-11-28,76.93000030517578
2018-09-25,77.08999633789062
2018-07-23,77.7699966430664
2018-08-24,78.0999984741211
2019-07-10,77.20999908447266
2019-05-07,77.41000366210938
2019-04-05,77.87000274658203
2019-03-04,79.61000061035156
2019-01-31,79.31999969482422
2019-09-12,79.5199966430664
2019-12-31,79.47000122070312
2020-03-19,79.47000122070312
2020-01-03,79.45999908447266
2020-06-09,80.08999633789062
2019-02-15,80.47000122070312
2019-01-14,80.8499984741211
2018-07-06,80.16999816894531
2018-08-07,79.94000244140625
2018-10-10,79.95999908447266
2018-12-13,80.22000122070312
2019-08-26,80.75
2019-07-25,81.31999969482422
2019-05-22,81.76000213623047
2019-03-19,81.72000122070312
2020-01-06,80.95999908447266
2020-03-25,80.69000244140625
2020-06-12,81.3499984741211
2019-10-22,81.47000122070312
2020-01-09,81.80999755859375
2020-06-15,81.38999938964844
2019-10-25,81.55000305175781
2020-03-31,82.19999694824219
2020-06-18,81.98999786376953
2019-04-03,82.5999984741211
2018-08-22,83.41999816894531
2018-10-25,83.4000015258789
2019-01-29,83.7300033569336
2018-12-28,84.2699966430664
2018-11-26,83.86000061035156
2019-08-09,83.44000244140625
2019-07-08,83.58000183105469
2019-06-06,84.33999633789062
2019-09-10,85.70999908447266
2020-01-15,85.63999938964844
2020-04-03,86.0
2019-10-31,86.0999984741211
2020-04-06,85.61000061035156
2020-06-24,83.9000015258789
2018-11-09,83.95999908447266
2019-07-23,83.27999877929688
2019-06-21,83.26000213623047
2019-05-20,83.26000213623047
2019-04-18,83.58999633789062
2018-09-06,83.61000061035156
2018-10-08,83.7699966430664
2019-02-13,84.48999786376953
2018-12-11,83.98999786376953
2019-09-25,84.2300033569336
2020-01-21,84.61000061035156
2020-04-09,84.52999877929688
2019-11-06,83.62999725341797
2020-01-24,83.56999969482422
2020-01-27,83.12999725341797
2020-04-15,83.69000244140625
2018-12-26,84.3499984741211
2019-08-07,85.16999816894531
2019-06-04,85.7699966430664
2018-09-21,84.66000366210938
2018-07-19,85.58000183105469
2018-08-20,85.5999984741211
2018-10-23,85.22000122070312
2019-05-03,85.51000213623047
2019-04-01,85.66999816894531
2019-02-28,85.01000213623047
2019-11-12,84.48999786376953
2020-01-30,83.4800033569336
2019-11-15,84.81999969482422
2020-04-21,86.54000091552734
2019-04-16,86.47000122070312
2019-03-15,85.9800033569336
2019-02-11,85.86000061035156
2019-01-10,86.37000274658203
2019-08-22,86.7699966430664
2018-11-07,87.13999938964844
2018-08-03,87.37000274658203
2018-09-04,88.26000213623047
2019-06-19,89.01000213623047
2019-09-23,88.51000213623047
2019-11-18,87.20999908447266
2020-02-05,86.11000061035156
2020-04-24,86.37999725341797
2019-03-29,87.41999816894531
2019-11-21,87.26000213623047
2020-04-27,89.79000091552734
2020-02-11,90.25
2020-04-30,91.06999969482422
2019-05-01,89.31999969482422
2019-02-26,89.11000061035156
2019-01-25,89.73999786376953
2018-12-24,89.86000061035156
2019-09-06,90.87999725341797
2018-07-17,90.93000030517578
2018-09-19,90.79000091552734
2019-08-05,91.19000244140625
2019-10-08,91.69999694824219
2019-12-11,91.66000366210938
2019-11-27,91.98999786376953
2020-02-14,91.19000244140625
2020-05-06,90.30999755859375
2019-01-08,88.86000061035156
2018-12-07,88.93000030517578
2019-08-20,88.2300033569336
2018-11-05,89.62999725341797
2019-07-19,90.69000244140625
2018-10-04,90.0999984741211
2019-06-17,90.27999877929688
2019-05-16,90.45999908447266
2018-08-01,91.33999633789062
2019-03-13,91.41999816894531
2019-12-03,91.13999938964844
2020-02-20,91.33999633789062
2019-12-06,91.16999816894531
2020-05-12,91.81999969482422
2019-12-09,91.81999969482422
2020-02-26,91.81999969482422
2020-05-15,90.56999969482422
2019-03-28,90.19999694824219
2018-09-17,89.87000274658203
2018-08-16,89.87000274658203
2018-10-19,89.45999908447266
2019-04-29,89.83000183105469
2019-01-23,89.87999725341797
2019-09-04,89.16999816894531
2018-11-20,89.33999633789062
2019-07-02,89.7699966430664
2019-05-31,89.4800033569336
2019-12-12,89.51000213623047
2020-05-18,90.31999969482422
2019-09-27,89.79000091552734
2020-03-03,90.38999938964844
2020-05-21,90.66000366210938
2019-05-14,90.68000030517578
2018-08-31,90.56999969482422
2018-07-30,90.62000274658203
2018-10-02,90.79000091552734
2019-04-12,91.22000122070312
2019-03-11,91.05000305175781
2019-02-07,91.36000061035156
2019-07-17,91.45999908447266
2019-09-19,91.43000030517578
2019-10-21,90.8499984741211
2019-12-18,91.4000015258789
2020-03-06,90.94000244140625
2019-10-03,90.75
2020-03-09,91.5
2020-05-27,92.87000274658203
2019-12-24,93.2300033569336
2020-03-12,92.66999816894531
2018-12-20,91.97000122070312
2019-08-01,91.75
2018-08-14,91.30999755859375
2018-07-13,92.08000183105469
2018-10-17,92.70999908447266
2019-05-29,92.05000305175781
2019-03-26,92.16000366210938
2019-02-22,92.79000091552734
2019-10-04,93.16000366210938
