Dates,LIN
2018-07-19,1404200.0
2018-08-20,1018300.0
2018-10-23,1691000.0
2019-05-03,1248900.0
2019-04-01,1407000.0
2019-02-28,2049600.0
2019-11-12,1264600.0
2020-01-30,1999500.0
2019-11-15,2511800.0
2020-04-21,2328500.0
2019-04-16,2029300.0
2019-03-15,1184200.0
2019-02-11,1866600.0
2019-01-10,1737900.0
2019-08-22,1383700.0
2018-11-07,1051500.0
2018-08-03,1334800.0
2018-09-04,1318500.0
2019-06-19,1025300.0
2019-09-23,1483100.0
2019-11-18,1405400.0
2020-02-05,1042000.0
2020-04-24,1757200.0
2019-03-29,2882600.0
2019-11-21,3115200.0
2020-04-27,3708800.0
2020-02-11,3468200.0
2020-04-30,3613300.0
2019-05-01,1197400.0
2019-02-26,1720000.0
2019-01-25,1956300.0
2018-12-24,2855100.0
2019-09-06,1524000.0
2018-07-17,1757200.0
2018-09-19,2006900.0
2019-08-05,1944700.0
2019-10-08,1703300.0
2019-12-11,3770300.0
2019-11-27,1092500.0
2020-02-14,1118800.0
2020-05-06,1369900.0
2019-01-08,1532100.0
2018-12-07,6440600.0
2019-08-20,1113300.0
2018-11-05,1722400.0
2019-07-19,939500.0
2018-10-04,1741300.0
2019-06-17,1277100.0
2019-05-16,1160700.0
2018-08-01,1062000.0
2019-03-13,1225200.0
2019-12-03,1027600.0
2020-02-20,869000.0
2019-12-06,1073700.0
2020-05-12,986700.0
2019-12-09,1067500.0
2020-02-26,1228300.0
2020-05-15,653400.0
2019-03-28,1064800.0
2018-09-17,1102800.0
2018-08-16,2084900.0
2018-10-19,1191200.0
2019-04-29,1468200.0
2019-01-23,2466300.0
2019-09-04,4160900.0
2018-11-20,3762800.0
2019-07-02,2556900.0
2019-05-31,3074800.0
2019-12-12,2352000.0
2020-05-18,2078900.0
2019-09-27,1927100.0
2020-03-03,1600200.0
2020-05-21,1621600.0
2019-05-14,1678700.0
2018-08-31,2441100.0
2018-07-30,1508300.0
2018-10-02,1198900.0
2019-04-12,1232100.0
2019-03-11,1364200.0
2019-02-07,1074700.0
2019-07-17,1446700.0
2019-09-19,2119700.0
2019-10-21,1226800.0
2019-12-18,1477100.0
2020-03-06,1122700.0
2019-10-03,1458900.0
2020-03-09,1686800.0
2020-05-27,1370200.0
2019-12-24,1210400.0
2020-03-12,1911200.0
2018-12-20,1066700.0
2019-08-01,2862300.0
2018-08-14,1788900.0
2018-07-13,1292100.0
2018-10-17,1640200.0
2019-05-29,1717100.0
2019-03-26,1263900.0
2019-02-22,1186700.0
2019-10-04,1694800.0
2019-11-05,1601500.0
2019-12-27,2475500.0
2020-06-02,859600.0
2019-12-30,1539800.0
2020-03-18,852100.0
2020-06-05,1345600.0
2019-07-15,873900.0
2018-12-03,1027200.0
2019-06-13,1127500.0
2019-01-04,1996200.0
2018-08-29,955600.0
2019-02-05,1498100.0
2018-11-01,2744100.0
2019-08-16,1526600.0
2019-04-10,1266600.0
2019-09-17,1486200.0
2019-10-15,1609600.0
2020-01-02,1213700.0
2020-06-08,1519300.0
2019-10-18,1570400.0
2020-03-24,958900.0
2020-06-11,1022800.0
2020-01-08,927900.0
2019-04-25,1429700.0
2019-07-30,1227900.0
2019-02-20,996600.0
2018-07-11,1025000.0
2018-09-13,1216700.0
2018-10-15,1080100.0
2019-06-28,1110400.0
2018-12-18,1303500.0
2018-11-16,812200.0
2019-10-02,1086100.0
2020-03-27,1132900.0
2020-01-10,1084500.0
2019-10-24,1098200.0
2020-03-30,966000.0
