Dates,LIN
2018-06-20,155.02000427246094
2018-06-21,155.8699951171875
2018-06-25,158.13999938964844
2018-06-22,154.8000030517578
2018-06-26,154.19000244140625
2018-06-27,155.5399932861328
2018-06-28,156.67999267578125
2018-06-29,158.14999389648438
2018-07-02,158.27999877929688
2018-07-03,157.17999267578125
2018-07-05,161.8800048828125
2018-07-16,164.0399932861328
2018-09-18,164.80999755859375
2019-01-24,166.47000122070312
2019-09-05,164.05999755859375
2018-11-21,165.88999938964844
2020-01-13,166.8000030517578
2020-04-01,167.0399932861328
2020-06-19,166.86000061035156
2019-10-29,165.02999877929688
2020-01-16,165.25999450683594
2020-06-22,165.5800018310547
2018-10-03,161.89999389648438
2018-07-31,163.33999633789062
2019-03-12,165.80999755859375
2019-02-08,166.4499969482422
2019-01-07,166.42999267578125
2018-12-06,165.33999633789062
2019-08-19,167.5
2019-07-18,165.47999572753906
2019-05-15,163.9199981689453
2019-09-20,164.2100067138672
2019-11-01,157.9600067138672
2020-04-07,157.02999877929688
2020-06-25,157.0500030517578
2020-06-16,157.14999389648438
2019-11-04,154.7899932861328
2020-01-22,154.32000732421875
2019-11-07,155.33999633789062
2020-04-13,154.6300048828125
2019-07-01,154.52999877929688
2019-05-30,156.0399932861328
2018-08-15,158.2899932861328
2018-10-18,158.32000732421875
2019-03-27,155.02000427246094
2019-01-22,154.89999389648438
2018-12-21,156.2100067138672
2019-09-03,158.0500030517578
2018-11-19,158.35000610351562
2019-08-02,159.5
2020-01-28,157.88999938964844
2020-04-16,158.19000244140625
2019-11-13,156.17999267578125
2020-01-31,156.13999938964844
2018-12-04,156.6699981689453
2018-11-02,155.02999877929688
2019-07-16,155.8699951171875
2018-08-30,157.0800018310547
2018-10-01,156.60000610351562
2019-06-14,159.19000244140625
2019-05-13,156.99000549316406
2019-04-11,158.02000427246094
2019-02-06,158.1699981689453
2019-09-18,164.3699951171875
2020-02-03,166.2100067138672
2020-04-22,166.5
2019-11-19,164.0
2020-02-06,163.05999755859375
2019-11-22,162.5800018310547
2019-03-25,162.3300018310547
2019-02-21,160.72999572753906
2018-12-19,168.8699951171875
2018-07-12,169.02999877929688
2018-09-14,167.57000732421875
