Dates,LIN
2018-06-20,155.50999450683594
2018-06-21,155.27999877929688
2018-06-25,156.82000732421875
2018-06-22,157.60000610351562
2018-06-26,155.00999450683594
2018-06-27,155.30999755859375
2018-06-28,155.8800048828125
2018-06-29,157.3300018310547
2018-07-02,157.0
2018-07-03,158.6999969482422
2018-07-05,162.0
2018-07-16,161.99000549316406
2018-09-18,165.0800018310547
2019-01-24,165.11000061035156
2019-09-05,163.17999267578125
2018-11-21,164.6699981689453
2020-01-13,165.14999389648438
2020-04-01,168.02999877929688
2020-06-19,167.0500030517578
2019-10-29,166.22999572753906
2020-01-16,163.9499969482422
2020-06-22,163.17999267578125
2018-10-03,164.4199981689453
2018-07-31,162.6199951171875
2019-03-12,164.8300018310547
2019-02-08,162.77000427246094
2019-01-07,166.52000427246094
2018-12-06,166.42999267578125
2019-08-19,165.77999877929688
2019-07-18,167.58999633789062
2019-05-15,164.10000610351562
2019-09-20,163.1300048828125
2019-11-01,154.25999450683594
2020-04-07,158.97000122070312
2020-06-25,157.41000366210938
2020-06-16,157.0
2019-11-04,155.8300018310547
2020-01-22,155.49000549316406
2019-11-07,155.3300018310547
2020-04-13,154.1300048828125
2019-07-01,155.6999969482422
2019-05-30,154.16000366210938
2018-08-15,156.63999938964844
2018-10-18,158.5399932861328
2019-03-27,157.91000366210938
2019-01-22,155.0
2018-12-21,155.41000366210938
2019-09-03,156.97000122070312
2018-11-19,158.5
2019-08-02,158.5399932861328
2020-01-28,159.07000732421875
2020-04-16,158.14999389648438
2019-11-13,157.8699951171875
2020-01-31,155.8699951171875
2018-12-04,156.52999877929688
2018-11-02,156.33999633789062
2019-07-16,155.8000030517578
2018-08-30,155.57000732421875
2018-10-01,156.9600067138672
2019-06-14,158.07000732421875
2019-05-13,159.67999267578125
2019-04-11,157.16000366210938
2019-02-06,158.5800018310547
2019-09-18,162.75
2020-02-03,165.3699951171875
2020-04-22,166.97000122070312
2019-11-19,165.99000549316406
2020-02-06,163.74000549316406
2019-11-22,162.7100067138672
2019-03-25,163.0
2019-02-21,160.6999969482422
2018-12-19,165.5800018310547
2018-07-12,166.25999450683594
2018-09-14,169.75
2018-08-13,166.82000732421875
2018-10-16,164.14999389648438
2019-07-31,163.49000549316406
2019-05-28,162.89999389648438
2019-04-26,161.2100067138672
2020-04-28,157.92999267578125
2019-11-25,156.82000732421875
2020-02-12,156.61000061035156
2020-05-01,157.72000122070312
2020-05-04,161.6999969482422
2019-06-12,167.0800018310547
2019-04-09,161.4600067138672
2019-03-08,165.22999572753906
2019-02-04,164.83999633789062
2018-07-27,161.74000549316406
2018-08-28,162.75999450683594
2019-01-03,163.7100067138672
2019-08-15,166.22000122070312
2018-10-31,166.11000061035156
2019-09-16,161.74000549316406
2020-02-18,164.66000366210938
2020-05-07,160.66000366210938
2018-08-17,157.64999389648438
2019-12-04,161.8300018310547
2020-02-21,164.5399932861328
2018-12-17,164.5
2019-08-30,162.99000549316406
2018-11-15,160.05999755859375
2019-07-29,160.22000122070312
2019-06-27,158.19000244140625
2019-04-24,156.08999633789062
2018-07-10,153.74000549316406
2018-09-12,158.61000061035156
2019-02-19,157.49000549316406
2019-01-18,159.24000549316406
2020-02-24,156.86000061035156
2020-05-13,157.0399932861328
2019-12-10,155.66000366210938
2020-02-27,153.52999877929688
2019-12-13,155.50999450683594
2020-05-19,157.02000427246094
2019-03-06,162.3000030517578
2018-11-30,163.9499969482422
2019-08-13,158.52999877929688
2019-07-12,156.22000122070312
2019-06-10,156.02999877929688
2019-05-09,161.16000366210938
2018-07-25,161.64999389648438
2018-09-27,160.39999389648438
2018-10-29,157.3800048828125
2019-10-16,157.19000244140625
2019-12-16,158.4199981689453
2020-03-04,157.39999389648438
2020-05-22,154.47999572753906
2019-10-01,156.00999450683594
2019-12-19,152.6999969482422
2018-09-10,148.75
2019-05-24,152.0500030517578
2018-08-09,157.10000610351562
2019-04-22,156.22999572753906
2019-03-21,153.52999877929688
2019-01-16,154.05999755859375
