Dates,PGR
2018-06-20,56.9185676574707
2018-06-21,56.57568359375
2018-06-25,56.32547378540039
2018-06-22,55.769447326660156
2018-06-26,55.370967864990234
2018-06-27,54.40718078613281
2018-06-28,55.16707992553711
2018-06-29,54.814937591552734
2018-07-02,55.3616943359375
2018-07-03,54.98174285888672
2018-07-05,54.731536865234375
2018-07-16,54.85200500488281
2018-09-18,55.20415496826172
2019-01-24,55.27829360961914
2019-09-05,54.889076232910156
2018-11-21,54.3608512878418
2020-01-13,54.1569709777832
2020-04-01,54.1384391784668
2020-06-19,55.04661560058594
2019-10-29,55.96406173706055
2020-01-16,55.1485481262207
2020-06-22,55.445098876953125
2018-10-03,55.21342468261719
2018-07-31,55.0373420715332
2019-03-12,55.15782165527344
2019-02-08,55.71384048461914
2019-01-07,55.4821662902832
2018-12-06,55.065147399902344
2019-08-19,55.61191177368164
2019-07-18,56.08453369140625
2019-05-15,57.15951156616211
2019-09-20,57.03904342651367
2019-11-01,56.92782974243164
2020-04-07,57.289249420166016
2020-06-25,57.37266159057617
2020-06-16,57.95648956298828
2019-11-04,57.86381530761719
2020-01-22,57.41899490356445
2019-11-07,57.72480773925781
2020-04-13,59.36508560180664
2019-07-01,60.282527923583984
2019-05-30,61.42238235473633
2018-08-15,61.9969482421875
2018-10-18,62.29348373413086
2019-03-27,61.830142974853516
2019-01-22,61.913536071777344
2018-12-21,62.015472412109375
2019-09-03,62.330562591552734
2018-11-19,62.22861862182617
2019-08-02,62.71051025390625
2020-01-28,62.247154235839844
2020-04-16,62.58076858520508
2019-11-13,63.377742767333984
2020-01-31,63.748435974121094
2018-12-04,63.7762336730957
2018-11-02,63.82257080078125
2019-07-16,62.82171630859375
2018-08-30,63.00706100463867
2018-10-01,63.349937438964844
2019-06-14,63.702083587646484
2019-05-13,63.23872756958008
2019-04-11,63.507484436035156
2019-02-06,64.57319641113281
2019-09-18,64.75852966308594
2020-02-03,65.59258270263672
2020-04-22,65.53697967529297
2019-11-19,65.21263885498047
2020-02-06,65.9817886352539
2019-11-22,65.68525695800781
2019-03-25,65.16629791259766
2019-02-21,65.83352661132812
2018-12-19,65.51844024658203
2018-07-12,65.75938415527344
2018-09-14,65.85205841064453
2018-08-13,65.89839172363281
2018-10-16,65.49063873291016
2019-07-31,65.82426452636719
2019-05-28,66.56564331054688
2019-04-26,63.49821472167969
2020-04-28,62.06181716918945
2019-11-25,61.95987319946289
2020-02-12,61.385311126708984
2020-05-01,65.11995697021484
2020-05-04,65.45356750488281
2019-06-12,66.53782653808594
2019-04-09,65.37944030761719
2019-03-08,65.11068725585938
2019-02-04,64.35079193115234
2018-07-27,62.7753791809082
2018-08-28,63.90596389770508
2019-01-03,63.11827087402344
2019-08-15,63.82257080078125
2018-10-31,64.67514038085938
2019-09-16,64.59173583984375
2020-02-18,63.980106353759766
2020-05-07,63.36847686767578
2018-08-17,64.6195297241211
2019-12-04,64.6658706665039
2020-02-21,67.76107788085938
2018-12-17,68.07616424560547
2019-08-30,67.82596588134766
2018-11-15,66.6304931640625
2019-07-29,66.34321594238281
2019-06-27,60.05085372924805
2019-04-24,61.44091796875
