Dates,PGR
2018-06-20,2579400.0
2018-06-21,1740900.0
2018-06-25,9044800.0
2018-06-22,4257000.0
2018-06-26,3434000.0
2018-06-27,3850800.0
2018-06-28,2824800.0
2018-06-29,3864800.0
2018-07-02,3414400.0
2018-07-03,1198900.0
2018-07-05,2880100.0
2018-07-16,1985700.0
2018-09-18,2632600.0
2019-01-24,3386900.0
2019-09-05,3175900.0
2018-11-21,3730800.0
2020-01-13,3363000.0
2020-04-01,4640700.0
2020-06-19,6385700.0
2019-10-29,8770400.0
2020-01-16,5577200.0
2020-06-22,3081600.0
2018-10-03,3027700.0
2018-07-31,3128200.0
2019-03-12,3190900.0
2019-02-08,3260200.0
2019-01-07,2013000.0
2018-12-06,2181200.0
2019-08-19,4230500.0
2019-07-18,3367200.0
2019-05-15,4257700.0
2019-09-20,3862300.0
2019-11-01,2317800.0
2020-04-07,3744700.0
2020-06-25,2091700.0
2020-06-16,2170200.0
2019-11-04,2446100.0
2020-01-22,2578500.0
2019-11-07,5674900.0
2020-04-13,3433800.0
2019-07-01,4532400.0
2019-05-30,5710900.0
2018-08-15,4511100.0
2018-10-18,4178500.0
2019-03-27,3542000.0
2019-01-22,1939200.0
2018-12-21,2092900.0
2019-09-03,1751100.0
2018-11-19,1836700.0
2019-08-02,2298500.0
2020-01-28,1948800.0
2020-04-16,2579000.0
2019-11-13,2068900.0
2020-01-31,2256900.0
2018-12-04,1778100.0
2018-11-02,2108000.0
2019-07-16,2471000.0
2018-08-30,2769100.0
2018-10-01,2870000.0
2019-06-14,2254600.0
2019-05-13,3930200.0
2019-04-11,1899200.0
2019-02-06,2379600.0
2019-09-18,3019100.0
2020-02-03,2293800.0
2020-04-22,4119400.0
2019-11-19,1649900.0
2020-02-06,3131100.0
2019-11-22,2836700.0
2019-03-25,1698800.0
2019-02-21,2437700.0
2018-12-19,2337800.0
2018-07-12,2620200.0
2018-09-14,2438200.0
2018-08-13,2691700.0
2018-10-16,2220800.0
2019-07-31,2551500.0
2019-05-28,3643300.0
2019-04-26,6340800.0
2020-04-28,5592800.0
2019-11-25,4845600.0
2020-02-12,2893300.0
2020-05-01,5629900.0
2020-05-04,3182500.0
2019-06-12,4935000.0
2019-04-09,4438100.0
2019-03-08,3509000.0
2019-02-04,4214700.0
2018-07-27,3564300.0
2018-08-28,2562200.0
2019-01-03,2597400.0
2019-08-15,2259400.0
2018-10-31,2701000.0
2019-09-16,3703300.0
2020-02-18,5145200.0
2020-05-07,3448500.0
