Dates,FMC
2018-06-20,75.14310455322266
2018-06-21,75.19514465332031
2018-06-25,75.62879180908203
2018-06-22,76.843017578125
2018-06-26,76.50476837158203
2018-06-27,77.3720703125
2018-06-28,76.75628662109375
2018-06-29,76.8083267211914
2018-07-02,76.79097747802734
2018-07-03,77.12922668457031
2018-07-05,77.52819061279297
2018-07-16,76.89505767822266
2018-09-18,78.2740707397461
2019-01-24,78.22203063964844
2019-09-05,77.95316314697266
2018-11-21,77.38941955566406
2020-01-13,77.0164794921875
2020-04-01,76.53079223632812
2020-06-19,74.63139343261719
2019-10-29,76.1058120727539
2020-01-16,75.06504821777344
2020-06-22,74.60537719726562
2018-10-03,75.02168273925781
2018-07-31,75.16045379638672
2019-03-12,74.47528076171875
2019-02-08,75.94102478027344
2019-01-07,77.0511703491211
2018-12-06,77.09453582763672
2019-08-19,77.67562866210938
2019-07-18,77.95316314697266
2019-05-15,73.7207260131836
2019-09-20,75.38594818115234
2019-11-01,75.73287200927734
2020-04-07,76.86036682128906
2020-06-25,75.88898468017578
2020-06-16,77.32003784179688
2019-11-04,77.3980941772461
2020-01-22,75.83694458007812
2019-11-07,74.63139343261719
2020-04-13,73.49523162841797
2019-07-01,73.32176971435547
2019-05-30,73.05290222167969
2018-08-15,73.33911895751953
2018-10-18,73.80745697021484
2019-03-27,74.37120819091797
2019-01-22,73.86817169189453
2018-12-21,73.8248062133789
2019-09-03,74.51864624023438
2018-11-19,75.07372283935547
2019-08-02,74.93495178222656
2020-01-28,74.70945739746094
2020-04-16,73.84214782714844
2019-11-13,73.21768951416016
2020-01-31,72.1075439453125
2018-12-04,72.40242767333984
2018-11-02,71.47441101074219
2019-07-16,71.5438003540039
2018-08-30,70.39895629882812
2018-10-01,71.52645111083984
2019-06-14,72.67996215820312
2019-05-13,73.61665344238281
2019-04-11,74.31916809082031
2019-02-06,75.04769897460938
2019-09-18,75.02168273925781
2020-02-03,77.11188507080078
2020-04-22,78.63833618164062
2019-11-19,77.93582153320312
2020-02-06,77.91847229003906
2019-11-22,77.4067611694336
2019-03-25,77.0164794921875
2019-02-21,75.84561920166016
2018-12-19,76.12315368652344
2018-07-12,75.97571563720703
2018-09-14,78.11795043945312
2018-08-13,79.75715637207031
2018-10-16,79.05464172363281
2019-07-31,78.2740707397461
2019-05-28,77.9271469116211
2019-04-26,75.34258270263672
2020-04-28,73.14830780029297
2019-11-25,73.42584228515625
2020-02-12,73.48655700683594
2020-05-01,73.70338439941406
2020-05-04,73.3651351928711
2019-06-12,72.22029113769531
2019-04-09,71.81266021728516
2019-03-08,71.14483642578125
2019-02-04,67.84041595458984
2018-07-27,67.8924560546875
2018-08-28,65.9323501586914
2019-01-03,64.92627716064453
2019-08-15,66.54813385009766
2018-10-31,66.19254302978516
2019-09-16,67.9271469116211
2020-02-18,68.71639251708984
2020-05-07,71.12749481201172
2018-08-17,70.0
2019-12-04,70.62445831298828
2020-02-21,72.81005859375
2018-12-17,72.40242767333984
2019-08-30,72.16825866699219
2018-11-15,72.4891586303711
2019-07-29,71.20555114746094
2019-06-27,71.06678009033203
2019-04-24,69.73980712890625
2018-07-10,71.60450744628906
2018-09-12,71.83000946044922
2019-02-19,69.8612289428711
2019-01-18,68.39549255371094
2020-02-24,67.87510681152344
2020-05-13,69.75715637207031
2019-12-10,69.94795989990234
2020-02-27,69.92194366455078
2019-12-13,71.70858764648438
2020-05-19,71.55247497558594
2019-03-06,73.63399505615234
2018-11-30,74.07632446289062
2019-08-13,70.64180755615234
2019-07-12,71.7172622680664
2019-06-10,68.83781433105469
2019-05-09,69.91326904296875
2018-07-25,69.5056381225586
2018-09-27,69.11534881591797
2018-10-29,67.12922668457031
2019-10-16,66.74761199951172
2019-12-16,66.38334655761719
2020-03-04,66.39202117919922
2020-05-22,65.03903198242188
2019-10-01,62.19427490234375
2019-12-19,61.12749481201172
2018-09-10,60.96270751953125
2019-05-24,62.402427673339844
2018-08-09,64.36253356933594
2019-04-22,63.69470977783203
2019-03-21,63.08759689331055
2019-01-16,65.01300811767578
2019-08-28,64.83087921142578
2018-11-13,66.67823028564453
2018-10-12,67.83174133300781
2019-06-25,69.18473815917969
2020-03-10,68.46487426757812
2020-05-28,69.2627944946289
2019-10-07,68.81179809570312
2020-03-13,69.09800720214844
2019-10-10,68.52558898925781
2020-03-16,68.02255249023438
2020-06-03,69.41023254394531
2018-11-28,69.39289093017578
2018-09-25,69.03729248046875
2018-07-23,67.5455322265625
2018-08-24,68.3868179321289
2019-07-10,67.98785400390625
2019-05-07,68.7337417602539
2019-04-05,69.80919647216797
2019-03-04,68.94189453125
2019-01-31,73.97224426269531
2019-09-12,74.13703155517578
2019-12-31,73.77276611328125
2020-03-19,73.23503875732422
2020-01-03,73.39982604980469
2020-06-09,72.4197769165039
2019-02-15,73.31309509277344
2019-01-14,69.92194366455078
2018-07-06,72.22029113769531
2018-08-07,72.47180938720703
2018-10-10,73.72940063476562
2018-12-13,73.44319152832031
2019-08-26,74.9436264038086
2019-07-25,75.9930648803711
2019-05-22,76.88638305664062
2019-03-19,77.14657592773438
2020-01-06,77.42411041259766
2020-03-25,76.67823028564453
2020-06-12,77.3373794555664
2019-10-22,77.62358856201172
2020-01-09,78.77999877929688
2020-06-15,78.83000183105469
