Dates,FMC
2018-06-20,75.25585174560547
2018-06-21,75.09973907470703
2018-06-25,77.13790130615234
2018-06-22,76.6695556640625
2018-06-26,76.62619018554688
2018-06-27,76.86036682128906
2018-06-28,76.59149932861328
2018-06-29,77.3720703125
2018-07-02,76.31396484375
2018-07-03,77.32870483398438
2018-07-05,77.11188507080078
2018-07-16,77.8664321899414
2018-09-18,78.22203063964844
2019-01-24,78.93321990966797
2019-09-05,76.82567596435547
2018-11-21,77.18126678466797
2020-01-13,76.61752319335938
2020-04-01,75.21248626708984
2020-06-19,76.1058120727539
2019-10-29,75.45533752441406
2020-01-16,75.1170883178711
2020-06-22,75.15177917480469
2018-10-03,74.48395538330078
2018-07-31,74.92627716064453
2019-03-12,75.95836639404297
2019-02-08,76.73894500732422
2019-01-07,76.91239929199219
2018-12-06,77.32003784179688
2019-08-19,77.95316314697266
2019-07-18,76.55680847167969
2019-05-15,75.0563735961914
2019-09-20,76.1405029296875
2019-11-01,76.40069580078125
2020-04-07,75.45533752441406
2020-06-25,77.29401397705078
2020-06-16,78.26539611816406
2019-11-04,76.11448669433594
2020-01-22,74.44058990478516
2019-11-07,74.26712799072266
2020-04-13,72.67129516601562
2019-07-01,73.3044204711914
2019-05-30,73.23503875732422
2018-08-15,73.81613159179688
2018-10-18,74.23243713378906
2019-03-27,74.09366607666016
2019-01-22,73.35646057128906
2018-12-21,74.18907165527344
2019-09-03,74.90026092529297
2018-11-19,74.908935546875
2019-08-02,75.09973907470703
2020-01-28,73.77276611328125
2020-04-16,74.11101531982422
2019-11-13,72.00347137451172
2020-01-31,72.40242767333984
2018-12-04,71.93408203125
2018-11-02,71.2662582397461
2019-07-16,71.20555114746094
2018-08-30,71.5438003540039
2018-10-01,72.22896575927734
2019-06-14,73.50390625
2019-05-13,74.08499908447266
2019-04-11,74.78751373291016
2019-02-06,74.64006805419922
2019-09-18,76.47875213623047
2020-02-03,77.66695404052734
2020-04-22,77.93582153320312
2019-11-19,77.84041595458984
