Dates,BAC
2020-01-02,35.65999984741211
2020-01-03,35.150001525878906
2020-01-08,34.900001525878906
2020-01-06,34.91999816894531
2020-01-07,35.189998626708984
2020-01-09,35.33000183105469
2020-01-10,35.06999969482422
2020-01-13,35.06999969482422
2020-01-14,35.66999816894531
2020-01-15,34.790000915527344
2020-01-16,34.9900016784668
2020-01-27,34.95000076293945
2020-02-20,34.52000045776367
2020-02-12,34.45000076293945
2020-04-16,34.2599983215332
2020-02-04,34.13999938964844
2020-05-28,33.130001068115234
2020-07-08,33.4900016784668
2020-06-19,33.439998626708984
2020-05-12,33.52000045776367
2020-06-22,33.16999816894531
2020-06-03,33.400001525878906
2020-05-15,33.900001525878906
2020-03-06,34.810001373291016
2020-02-27,35.0099983215332
2020-04-15,34.65999984741211
2020-02-03,34.689998626708984
2020-02-11,35.040000915527344
2020-02-19,35.45000076293945
2020-04-07,35.029998779296875
2020-03-30,34.959999084472656
2020-04-23,34.83000183105469
2020-05-01,34.849998474121094
2020-07-14,35.08000183105469
2020-06-25,34.63999938964844
2020-06-16,33.209999084472656
2020-05-18,32.7599983215332
2020-06-09,31.600000381469727
2020-05-21,30.299999237060547
2020-01-17,28.75
2020-03-13,29.3799991607666
2020-03-05,29.75
2020-02-26,28.420000076293945
2020-02-18,27.350000381469727
2020-04-22,26.209999084472656
2020-02-10,23.489999771118164
2020-04-14,23.68000030517578
2020-04-06,23.959999084472656
2020-04-30,22.8700008392334
2020-06-12,24.25
2020-06-15,21.729999542236328
2020-05-27,22.690000534057617
2020-05-08,20.969999313354492
2020-07-07,21.75
2020-03-31,21.84000015258789
2020-06-18,19.670000076293945
2020-04-13,21.149999618530273
2020-03-20,22.100000381469727
2020-03-12,22.950000762939453
2020-01-24,22.200000762939453
2020-03-04,22.350000381469727
2020-02-25,22.489999771118164
2020-04-21,20.350000381469727
2020-04-29,20.790000915527344
2020-05-07,20.739999771118164
2020-05-11,21.600000381469727
2020-07-10,22.8799991607666
2020-06-02,23.600000381469727
2020-05-14,25.31999969482422
2020-07-13,24.850000381469727
2020-06-24,24.649999618530273
2020-06-05,22.649999618530273
2020-02-28,22.209999084472656
2020-01-23,23.399999618530273
2020-04-20,23.1299991607666
2020-02-24,22.3700008392334
2020-01-31,22.229999542236328
2020-03-19,22.389999389648438
2020-03-27,22.299999237060547
2020-03-11,23.649999618530273
2020-03-03,24.809999465942383
2020-04-28,25.110000610351562
2020-05-06,24.3799991607666
2020-06-08,23.459999084472656
2020-05-20,22.989999771118164
2020-07-01,23.520000457763672
2020-06-30,23.079999923706055
2020-06-11,23.3700008392334
2020-03-10,23.6200008392334
2020-03-02,23.1200008392334
2020-01-22,22.81999969482422
2020-01-30,21.75
2020-02-07,21.790000915527344
2020-04-03,21.700000762939453
2020-03-26,23.059999465942383
2020-03-18,23.0
2020-04-27,23.0
2020-05-05,23.270000457763672
2020-05-26,22.950000762939453
2020-07-06,24.600000381469727
2020-06-17,26.170000076293945
2020-05-29,26.139999389648438
2020-07-09,24.90999984741211
2020-06-01,24.8700008392334
2020-01-21,25.389999389648438
2020-01-29,26.139999389648438
2020-03-25,26.829999923706055
2020-03-17,29.010000228881836
2020-03-09,28.899999618530273
2020-02-14,28.540000915527344
2020-02-06,28.100000381469727
2020-04-02,25.690000534057617
2020-05-04,25.049999237060547
2020-04-24,25.170000076293945
2020-05-13,26.239999771118164
2020-06-23,25.899999618530273
2020-06-04,25.489999771118164
2020-07-15,25.489999771118164
2020-04-08,25.030000686645508
2020-06-26,25.40999984741211
2020-05-19,24.540000915527344
2020-04-09,24.770000457763672
2020-04-01,24.110000610351562
2020-03-24,23.84000015258789
2020-03-16,23.90999984741211
2020-01-28,24.06999969482422
2020-02-05,23.989999771118164
2020-02-13,24.079999923706055
2020-02-21,23.389999389648438
2020-04-17,23.190000534057617
2020-03-23,23.15999984741211
2020-06-29,24.049999237060547
2020-06-10,24.510000228881836
2020-05-22,24.149999618530273
2020-07-02,24.8700008392334
