Dates,TXN
2018-06-20,3454800.0
2018-06-21,3480100.0
2018-06-25,3822600.0
2018-06-22,5331200.0
2018-06-26,4001900.0
2018-06-27,4364600.0
2018-06-28,4198800.0
2018-06-29,5343300.0
2018-07-02,3392500.0
2018-07-03,2201500.0
2018-07-05,4097700.0
2018-07-16,3419700.0
2018-09-18,3658000.0
2019-01-24,4512800.0
2019-09-05,5000200.0
2018-11-21,5818700.0
2020-01-13,2715800.0
2020-04-01,3013700.0
2020-06-19,3915100.0
2019-10-29,5491900.0
2020-01-16,5013900.0
2020-06-22,4358000.0
2018-10-03,3052800.0
2018-07-31,4286700.0
2019-03-12,8218400.0
2019-02-08,5520400.0
2019-01-07,4343900.0
2018-12-06,4422500.0
2019-08-19,5206300.0
2019-07-18,5303000.0
2019-05-15,4516700.0
2019-09-20,3337900.0
2019-11-01,2970800.0
2020-04-07,5234500.0
2020-06-25,2890800.0
2020-06-16,3505200.0
2019-11-04,7652600.0
2020-01-22,3989800.0
2019-11-07,3109600.0
2020-04-13,3532600.0
2019-07-01,2916300.0
2019-05-30,3744800.0
2018-08-15,3238200.0
2018-10-18,4714300.0
2019-03-27,3999200.0
2019-01-22,3038700.0
2018-12-21,3191900.0
2019-09-03,3686200.0
2018-11-19,3214400.0
2019-08-02,5113900.0
2020-01-28,5688600.0
2020-04-16,6550300.0
2019-11-13,6160300.0
2020-01-31,5369300.0
2018-12-04,4813100.0
2018-11-02,5349300.0
2019-07-16,5138900.0
2018-08-30,8165600.0
2018-10-01,10182300.0
2019-06-14,6311100.0
2019-05-13,6485000.0
2019-04-11,5598300.0
2019-02-06,5654900.0
2019-09-18,6588900.0
2020-02-03,5562500.0
2020-04-22,10923900.0
2019-11-19,3531200.0
2020-02-06,6523800.0
2019-11-22,6478600.0
2019-03-25,4704200.0
2019-02-21,4556400.0
2018-12-19,3661800.0
2018-07-12,4718400.0
2018-09-14,5353400.0
2018-08-13,5846500.0
2018-10-16,8778800.0
2019-07-31,7458500.0
2019-05-28,6041500.0
2019-04-26,11243700.0
2020-04-28,10100300.0
2019-11-25,6889100.0
2020-02-12,6637400.0
2020-05-01,5894100.0
2020-05-04,5061400.0
2019-06-12,9668300.0
2019-04-09,10492500.0
2019-03-08,6881500.0
2019-02-04,13925900.0
2018-07-27,25121700.0
2018-08-28,21038900.0
2019-01-03,15855200.0
2019-08-15,9869400.0
2018-10-31,8734300.0
2019-09-16,10301100.0
2020-02-18,10972500.0
2020-05-07,10088000.0
2018-08-17,6189400.0
2019-12-04,5413100.0
2020-02-21,5525700.0
2018-12-17,5948300.0
2019-08-30,6256400.0
2018-11-15,8688700.0
2019-07-29,5930800.0
2019-06-27,4975200.0
2019-04-24,7689000.0
2018-07-10,6767000.0
2018-09-12,8265300.0
2019-02-19,8230200.0
2019-01-18,6437700.0
2020-02-24,2066200.0
2020-05-13,4687400.0
2019-12-10,5044700.0
2020-02-27,5659300.0
2019-12-13,5938000.0
2020-05-19,8685900.0
2019-03-06,7828500.0
2018-11-30,7487100.0
2019-08-13,7329300.0
2019-07-12,8837800.0
2019-06-10,7549500.0
2019-05-09,9942500.0
2018-07-25,4945000.0
2018-09-27,3647500.0
2018-10-29,6318300.0
2019-10-16,8260200.0
2019-12-16,7675500.0
2020-03-04,9854500.0
2020-05-22,9235000.0
2019-10-01,14349200.0
2019-12-19,5621600.0
2018-09-10,8075200.0
2019-05-24,5882300.0
2018-08-09,5022200.0
2019-04-22,4113200.0
2019-03-21,6478800.0
2019-01-16,11667500.0
2019-08-28,7707600.0
2018-11-13,5023900.0
2018-10-12,5863500.0
2019-06-25,6909400.0
2020-03-10,6748500.0
2020-05-28,4738800.0
2019-10-07,5060100.0
2020-03-13,4690800.0
2019-10-10,4559500.0
2020-03-16,6872300.0
2020-06-03,6677500.0
2018-11-28,11068600.0
2018-09-25,10298700.0
2018-07-23,14260300.0
2018-08-24,11041700.0
2019-07-10,7292700.0
2019-05-07,6153100.0
2019-04-05,6430200.0
2019-03-04,8272300.0
2019-01-31,5615000.0
2019-09-12,5761200.0
2019-12-31,6372200.0
2020-03-19,9907800.0
2020-01-03,7045700.0
2020-06-09,5392400.0
2019-02-15,4553000.0
2019-01-14,5316800.0
2018-07-06,5965200.0
2018-08-07,3438800.0
2018-10-10,3604300.0
2018-12-13,3188000.0
2019-08-26,3692800.0
2019-07-25,3933500.0
2019-05-22,4392900.0
2019-03-19,5750200.0
2020-01-06,3740100.0
2020-03-25,4395800.0
2020-06-12,5465800.0
2019-10-22,4164200.0
2020-01-09,3278500.0
2020-06-15,4008600.0
2019-10-25,3568000.0
2020-03-31,5431000.0
2020-06-18,5180800.0
