Dates,TXN
2018-06-20,114.41000366210938
2018-06-21,114.37999725341797
2018-06-25,112.75
2018-06-22,110.95999908447266
2018-06-26,110.62999725341797
2018-06-27,112.18000030517578
2018-06-28,108.2300033569336
2018-06-29,109.79000091552734
2018-07-02,108.94000244140625
2018-07-03,110.61000061035156
2018-07-05,109.83999633789062
2018-07-16,111.55999755859375
2018-09-18,113.4000015258789
2019-01-24,112.62999725341797
2019-09-05,113.29000091552734
2018-11-21,113.23999786376953
2020-01-13,115.52999877929688
2020-04-01,114.91000366210938
2020-06-19,113.66999816894531
2019-10-29,115.5
2020-01-16,115.52999877929688
2020-06-22,114.97000122070312
2018-10-03,114.3499984741211
2018-07-31,115.05999755859375
2019-03-12,113.4000015258789
2019-02-08,113.94999694824219
2019-01-07,113.30000305175781
2018-12-06,111.98999786376953
2019-08-19,111.98999786376953
2019-07-18,111.16000366210938
2019-05-15,110.1500015258789
2019-09-20,112.33000183105469
2019-11-01,112.27999877929688
2020-04-07,113.7699966430664
2020-06-25,115.66000366210938
2020-06-16,116.0
2019-11-04,111.73999786376953
2020-01-22,110.55999755859375
2019-11-07,110.66999816894531
2020-04-13,109.23999786376953
2019-07-01,110.12000274658203
2019-05-30,108.87000274658203
2018-08-15,109.75
2018-10-18,109.5
2019-03-27,110.63999938964844
2019-01-22,112.18000030517578
2018-12-21,112.95999908447266
2019-09-03,114.6500015258789
2018-11-19,115.73999786376953
2019-08-02,115.41000366210938
2020-01-28,114.91999816894531
2020-04-16,112.62999725341797
2019-11-13,111.0199966430664
2020-01-31,112.37999725341797
2018-12-04,110.98999786376953
2018-11-02,110.44999694824219
2019-07-16,109.16999816894531
2018-08-30,108.05999755859375
2018-10-01,105.0
2019-06-14,105.1500015258789
2019-05-13,105.95999908447266
2019-04-11,105.29000091552734
2019-02-06,104.02999877929688
2019-09-18,105.12000274658203
2020-02-03,107.87999725341797
2020-04-22,110.5
2019-11-19,109.01000213623047
2020-02-06,109.25
2019-11-22,107.4800033569336
2019-03-25,106.44000244140625
2019-02-21,107.22000122070312
2018-12-19,107.66999816894531
2018-07-12,107.25
2018-09-14,109.02999877929688
2018-08-13,107.31999969482422
2018-10-16,105.55000305175781
2019-07-31,102.22000122070312
2019-05-28,101.93000030517578
2019-04-26,100.55999755859375
2020-04-28,100.5
2019-11-25,102.44999694824219
2020-02-12,99.69999694824219
2020-05-01,100.31999969482422
2020-05-04,102.9000015258789
2019-06-12,101.5
2019-04-09,99.1500015258789
2019-03-08,98.6500015258789
2019-02-04,97.18000030517578
2018-07-27,93.25
2018-08-28,92.26000213623047
2019-01-03,89.69000244140625
2019-08-15,93.08000183105469
2018-10-31,90.08999633789062
2019-09-16,94.0
2020-02-18,93.37999725341797
2020-05-07,97.76000213623047
2018-08-17,94.91000366210938
2019-12-04,95.47000122070312
2020-02-21,97.80000305175781
2018-12-17,96.26000213623047
2019-08-30,98.11000061035156
2018-11-15,95.04000091552734
2019-07-29,94.11000061035156
2019-06-27,95.81999969482422
2019-04-24,94.51000213623047
2018-07-10,96.62999725341797
2018-09-12,97.5
2019-02-19,92.91000366210938
2019-01-18,97.75
2020-02-24,95.37000274658203
2020-05-13,96.41000366210938
2019-12-10,95.48999786376953
2020-02-27,96.69999694824219
2019-12-13,97.98999786376953
2020-05-19,97.77999877929688
2019-03-06,102.5
2018-11-30,100.76000213623047
2019-08-13,94.11000061035156
2019-07-12,96.66999816894531
2019-06-10,92.44000244140625
2019-05-09,95.76000213623047
2018-07-25,96.79000091552734
2018-09-27,96.23999786376953
2018-10-29,94.66000366210938
2019-10-16,94.27999877929688
2019-12-16,92.8499984741211
2020-03-04,94.33999633789062
2020-05-22,90.7699966430664
2019-10-01,90.44999694824219
2019-12-19,90.0
2018-09-10,88.80000305175781
2019-05-24,91.36000061035156
2018-08-09,94.05999755859375
2019-04-22,94.51000213623047
2019-03-21,92.76000213623047
2019-01-16,91.83000183105469
2019-08-28,89.93000030517578
2018-11-13,92.80000305175781
2018-10-12,95.26000213623047
2019-06-25,95.05000305175781
2020-03-10,95.76000213623047
2020-05-28,97.02999877929688
2019-10-07,97.30999755859375
2020-03-13,96.98999786376953
2019-10-10,97.68000030517578
2020-03-16,96.12000274658203
2020-06-03,98.44000244140625
2018-11-28,98.43000030517578
2018-09-25,96.87000274658203
2018-07-23,97.95999908447266
2018-08-24,102.81999969482422
2019-07-10,101.87999725341797
2019-05-07,102.86000061035156
2019-04-05,101.68000030517578
2019-03-04,101.0199966430664
2019-01-31,100.55000305175781
2019-09-12,101.9800033569336
2019-12-31,102.20999908447266
2020-03-19,104.26000213623047
2020-01-03,105.0999984741211
2020-06-09,102.44999694824219
2019-02-15,104.70999908447266
2019-01-14,105.93000030517578
2018-07-06,106.79000091552734
2018-08-07,106.77999877929688
2018-10-10,107.83000183105469
2018-12-13,107.11000061035156
2019-08-26,107.72000122070312
2019-07-25,106.97000122070312
2019-05-22,107.9000015258789
2019-03-19,109.0
2020-01-06,108.1500015258789
2020-03-25,106.41999816894531
2020-06-12,105.18000030517578
2019-10-22,106.86000061035156
2020-01-09,107.45999908447266
2020-06-15,107.66999816894531
2019-10-25,106.5999984741211
2020-03-31,104.8499984741211
2020-06-18,103.69000244140625
2019-04-03,105.16000366210938
2018-08-22,106.8499984741211
