Dates,TXN
2018-06-20,113.56999969482422
2018-06-21,111.61000061035156
2018-06-25,111.41000366210938
2018-06-22,108.61000061035156
2018-06-26,110.12999725341797
2018-06-27,108.7699966430664
2018-06-28,107.44999694824219
2018-06-29,109.62000274658203
2018-07-02,108.37999725341797
2018-07-03,108.73999786376953
2018-07-05,109.41000366210938
2018-07-16,110.83000183105469
2018-09-18,110.83999633789062
2019-01-24,112.37999725341797
2019-09-05,111.5199966430664
2018-11-21,113.05999755859375
2020-01-13,114.83000183105469
2020-04-01,114.41999816894531
2020-06-19,113.19999694824219
2019-10-29,114.13999938964844
2020-01-16,114.2300033569336
2020-06-22,114.23999786376953
2018-10-03,113.04000091552734
2018-07-31,113.3499984741211
2019-03-12,110.02999877929688
2019-02-08,112.94000244140625
2019-01-07,112.0199966430664
2018-12-06,110.69999694824219
2019-08-19,110.91999816894531
2019-07-18,110.33000183105469
2019-05-15,110.0
2019-09-20,111.93000030517578
2019-11-01,112.12000274658203
2020-04-07,113.33999633789062
2020-06-25,115.16000366210938
2020-06-16,114.02999877929688
2019-11-04,109.3499984741211
2020-01-22,109.83999633789062
2019-11-07,109.87000274658203
2020-04-13,108.3499984741211
2019-07-01,109.08000183105469
2019-05-30,107.01000213623047
2018-08-15,108.54000091552734
2018-10-18,109.33999633789062
2019-03-27,109.2699966430664
2019-01-22,112.16000366210938
2018-12-21,112.33999633789062
2019-09-03,114.1500015258789
2018-11-19,114.66000366210938
2019-08-02,114.86000061035156
2020-01-28,112.48999786376953
2020-04-16,111.86000061035156
2019-11-13,110.6500015258789
2020-01-31,110.8499984741211
2018-12-04,110.33999633789062
2018-11-02,108.25
2019-07-16,107.48999786376953
2018-08-30,105.91000366210938
2018-10-01,102.25
2019-06-14,104.5999984741211
2019-05-13,105.12999725341797
2019-04-11,103.3499984741211
2019-02-06,103.95999908447266
2019-09-18,105.0999984741211
2020-02-03,107.80000305175781
2020-04-22,109.54000091552734
2019-11-19,108.36000061035156
2020-02-06,106.80999755859375
2019-11-22,105.9800033569336
2019-03-25,106.12000274658203
2019-02-21,106.05999755859375
2018-12-19,107.43000030517578
2018-07-12,107.25
2018-09-14,107.41000366210938
2018-08-13,104.86000061035156
2018-10-16,101.76000213623047
2019-07-31,101.16999816894531
2019-05-28,101.55000305175781
2019-04-26,98.80999755859375
2020-04-28,99.01000213623047
2019-11-25,99.62999725341797
2020-02-12,98.62999725341797
2020-05-01,99.69000244140625
2020-05-04,100.9800033569336
2019-06-12,98.75
2019-04-09,97.30000305175781
2019-03-08,98.41000366210938
2019-02-04,95.20999908447266
2018-07-27,91.5
2018-08-28,90.80000305175781
2019-01-03,87.9000015258789
2019-08-15,88.5199966430664
2018-10-31,89.72000122070312
2019-09-16,92.76000213623047
2020-02-18,93.0
2020-05-07,93.8499984741211
2018-08-17,94.25
2019-12-04,95.0
2020-02-21,96.3499984741211
2018-12-17,96.23999786376953
2019-08-30,95.83999633789062
