Dates,FDX
2018-12-24,2239600.0
2019-09-06,1590200.0
2018-07-17,1313400.0
2018-09-19,2184300.0
2019-08-05,1608500.0
2019-10-08,2087400.0
2019-12-11,2527500.0
2019-11-27,3563700.0
2020-02-14,4793100.0
2020-05-06,6247600.0
2019-01-08,3460900.0
2018-12-07,5311700.0
2019-08-20,2346800.0
2018-11-05,1860200.0
2019-07-19,1180600.0
2018-10-04,1125300.0
2019-06-17,1586300.0
2019-05-16,1218000.0
2018-08-01,2077600.0
2019-03-13,2499000.0
2019-12-03,3310800.0
2020-02-20,2021800.0
2019-12-06,2744100.0
2020-05-12,3074900.0
2019-12-09,1681600.0
2020-02-26,2067200.0
2020-05-15,2130700.0
2019-03-28,2866400.0
2018-09-17,2679100.0
2018-08-16,1985700.0
2018-10-19,2003200.0
2019-04-29,1389100.0
2019-01-23,1226300.0
2019-09-04,1485400.0
2018-11-20,3039200.0
2019-07-02,1959100.0
2019-05-31,3200700.0
2019-12-12,2802100.0
2020-05-18,2398700.0
2019-09-27,1793300.0
2020-03-03,1270200.0
2020-05-21,829700.0
2019-05-14,1835000.0
2018-08-31,1688400.0
2018-07-30,1874000.0
2018-10-02,1560400.0
2019-04-12,1458300.0
2019-03-11,1089100.0
2019-02-07,1044400.0
2019-07-17,1156300.0
2019-09-19,2806500.0
2019-10-21,1270800.0
2019-12-18,1809600.0
2020-03-06,2064900.0
2019-10-03,1684600.0
2020-03-09,1151500.0
2020-05-27,1270600.0
2019-12-24,1260400.0
2020-03-12,2119200.0
2018-12-20,1413400.0
2019-08-01,2271600.0
2018-08-14,2407300.0
2018-07-13,1642700.0
2018-10-17,1520500.0
2019-05-29,1456400.0
2019-03-26,1546400.0
2019-02-22,4053400.0
2019-10-04,22812400.0
2019-11-05,5557800.0
2019-12-27,5606500.0
2020-06-02,4084500.0
2019-12-30,5502600.0
2020-03-18,3551200.0
2020-06-05,2033200.0
2019-07-15,1967700.0
2018-12-03,1693400.0
2019-06-13,3434800.0
2019-01-04,2740800.0
2018-08-29,2300900.0
2019-02-05,2166100.0
