Dates,FDX
2018-06-20,257.30999755859375
2018-06-21,251.50999450683594
2018-06-25,247.89999389648438
2018-06-22,239.72999572753906
2018-06-26,235.60000610351562
2018-06-27,236.85000610351562
2018-06-28,226.1699981689453
2018-06-29,228.1699981689453
2018-07-02,225.3699951171875
2018-07-03,230.58999633789062
2018-07-05,228.33999633789062
2018-07-16,228.5800018310547
2018-09-18,229.2100067138672
2019-01-24,235.39999389648438
2019-09-05,233.24000549316406
2018-11-21,231.77999877929688
2020-01-13,232.0
2020-04-01,232.32000732421875
2020-06-19,229.72999572753906
2019-10-29,231.58999633789062
2020-01-16,235.1199951171875
2020-06-22,235.4499969482422
2018-10-03,234.86000061035156
2018-07-31,237.69000244140625
2019-03-12,237.17999267578125
2019-02-08,241.1999969482422
2019-01-07,241.97999572753906
2018-12-06,240.77000427246094
2019-08-19,242.52000427246094
2019-07-18,245.6999969482422
2019-05-15,240.0
2019-09-20,240.6300048828125
2019-11-01,242.36000061035156
2020-04-07,245.85000610351562
2020-06-25,247.8000030517578
2020-06-16,246.0
2019-11-04,244.19000244140625
2020-01-22,242.0
2019-11-07,241.5500030517578
2020-04-13,243.07000732421875
2019-07-01,245.02000427246094
2019-05-30,246.0399932861328
2018-08-15,247.33999633789062
2018-10-18,248.7899932861328
2019-03-27,250.13999938964844
2019-01-22,246.86000061035156
2018-12-21,245.66000366210938
2019-09-03,246.33999633789062
2018-11-19,249.4600067138672
2019-08-02,248.1199951171875
2020-01-28,247.4600067138672
2020-04-16,246.4199981689453
2019-11-13,243.89999389648438
2020-01-31,241.05999755859375
2018-12-04,244.13999938964844
2018-11-02,245.0
2019-07-16,246.0800018310547
2018-08-30,248.88999938964844
2018-10-01,249.36000061035156
2019-06-14,254.47999572753906
2019-05-13,253.39999389648438
2019-04-11,257.2699890136719
2019-02-06,249.74000549316406
2019-09-18,241.3000030517578
2020-02-03,244.64999389648438
2020-04-22,249.22999572753906
2019-11-19,246.5399932861328
2020-02-06,244.32000732421875
2019-11-22,239.57000732421875
2019-03-25,241.44000244140625
2019-02-21,239.9199981689453
2018-12-19,242.47999572753906
2018-07-12,239.47999572753906
2018-09-14,239.33999633789062
2018-08-13,240.80999755859375
2018-10-16,239.00999450683594
2019-07-31,234.9199981689453
2019-05-28,234.39999389648438
2019-04-26,229.14999389648438
2020-04-28,220.50999450683594
2019-11-25,224.13999938964844
2020-02-12,220.92999267578125
2020-05-01,222.9199981689453
2020-05-04,226.0
2019-06-12,222.5
2019-04-09,217.64999389648438
2019-03-08,219.75
2019-02-04,215.0500030517578
2018-07-27,216.6199951171875
2018-08-28,211.3300018310547
2019-01-03,210.8800048828125
2019-08-15,213.55999755859375
2018-10-31,211.0800018310547
2019-09-16,219.0800018310547
2020-02-18,221.0
2020-05-07,226.6699981689453
2018-08-17,222.10000610351562
2019-12-04,222.5399932861328
2020-02-21,228.3699951171875
2018-12-17,230.35000610351562
2019-08-30,229.0
2018-11-15,224.58999633789062
2019-07-29,220.7899932861328
2019-06-27,224.5399932861328
2019-04-24,223.22999572753906
2018-07-10,226.8800048828125
2018-09-12,226.4600067138672
2019-02-19,222.72000122070312
2019-01-18,222.35000610351562
2020-02-24,221.4199981689453
2020-05-13,225.8800048828125
2019-12-10,223.77999877929688
2020-02-27,226.55999755859375
2019-12-13,230.9199981689453
2020-05-19,227.1999969482422
2019-03-06,232.66000366210938
2018-11-30,227.0
2019-08-13,212.0
2019-07-12,214.6999969482422
2019-06-10,198.7100067138672
2019-05-09,195.3699951171875
2018-07-25,192.38999938964844
2018-09-27,189.02999877929688
2018-10-29,185.14999389648438
2019-10-16,183.11000061035156
2019-12-16,183.52999877929688
2020-03-04,169.22000122070312
2020-05-22,161.99000549316406
2019-10-01,158.00999450683594
2019-12-19,156.9499969482422
2018-09-10,154.0
2019-05-24,158.5
2018-08-09,162.25999450683594
2019-04-22,159.55999755859375
2019-03-21,158.52000427246094
2019-01-16,161.7899932861328
2019-08-28,160.1999969482422
2018-11-13,164.88999938964844
2018-10-12,168.6999969482422
2019-06-25,167.64999389648438
2020-03-10,169.07000732421875
2020-05-28,169.49000549316406
2019-10-07,169.8699951171875
2020-03-13,171.47000122070312
2019-10-10,171.19000244140625
2020-03-16,170.9600067138672
2020-06-03,175.17999267578125
2018-11-28,176.30999755859375
2018-09-25,176.83999633789062
2018-07-23,173.3699951171875
2018-08-24,175.88999938964844
2019-07-10,173.5
2019-05-07,174.0
2019-04-05,175.1199951171875
2019-03-04,178.7100067138672
2019-01-31,178.3000030517578
2019-09-12,179.19000244140625
2019-12-31,183.0
2020-03-19,183.38999938964844
