Dates,AMZN,AAPL,BA,WFC
2019-01-02,1460.9300537109375,154.22999572753906,313.7099914550781,45.40999984741211
2019-01-03,1497.1099853515625,142.0,309.3999938964844,46.369998931884766
2019-01-07,1518.31005859375,143.8000030517578,316.0799865722656,47.20000076293945
2019-01-04,1589.18994140625,145.89999389648438,323.3500061035156,47.540000915527344
2019-01-08,1616.6099853515625,148.52000427246094,332.6499938964844,46.91999816894531
2019-01-09,1641.4000244140625,149.6300048828125,340.8699951171875,47.08000183105469
2019-01-10,1621.6199951171875,150.86000061035156,343.0,47.310001373291016
2019-01-11,1636.219970703125,151.50999450683594,348.0899963378906,47.18000030517578
2019-01-14,1595.1500244140625,149.22000122070312,347.010009765625,47.400001525878906
2019-01-15,1626.010009765625,150.0500030517578,347.9800109863281,47.0099983215332
2019-01-16,1675.8800048828125,153.0,351.55999755859375,47.9900016784668
2019-01-18,1677.5,153.25999450683594,350.7300109863281,48.400001525878906
2019-01-22,1691.5400390625,155.97999572753906,361.32000732421875,48.86000061035156
2019-01-24,1610.199951171875,152.6199951171875,354.2300109863281,49.630001068115234
2019-01-28,1612.0,151.6999969482422,353.6700134277344,49.5
2019-01-30,1631.780029296875,151.74000549316406,356.8999938964844,49.650001525878906
2019-02-01,1661.6099853515625,154.32000732421875,360.3299865722656,49.959999084472656
2019-02-20,1614.0899658203125,153.66000366210938,357.5,49.20000076293945
2019-02-27,1590.719970703125,154.11000061035156,362.4100036621094,49.720001220703125
2019-02-19,1619.6800537109375,160.22999572753906,380.5,49.59000015258789
2019-02-15,1679.0799560546875,164.55999755859375,382.0799865722656,48.65999984741211
2019-02-11,1622.010009765625,165.92999267578125,384.7300109863281,48.790000915527344
2019-02-26,1613.5,167.27999877929688,388.1199951171875,48.709999084472656
2019-02-05,1642.5,172.35000610351562,399.54998779296875,48.75
2019-02-07,1633.3399658203125,172.85000610351562,405.6600036621094,49.06999969482422
2019-02-22,1592.9100341796875,170.33999633789062,402.2900085449219,47.709999084472656
2019-01-17,1566.760009765625,168.4199981689453,397.79998779296875,47.060001373291016
2019-01-23,1586.0,169.25,402.69000244140625,47.380001068115234
2019-01-29,1598.8800048828125,169.6999969482422,405.3999938964844,48.0099983215332
2019-01-25,1637.1099853515625,169.9199981689453,407.6700134277344,48.88999938964844
2019-01-31,1606.06005859375,169.3800048828125,407.79998779296875,48.029998779296875
2019-02-04,1604.5,169.75,411.42999267578125,48.4900016784668
2019-02-06,1600.56005859375,169.49000549316406,414.5400085449219,48.81999969482422
2019-02-08,1610.1199951171875,170.99000549316406,417.1099853515625,49.29999923706055
2019-02-12,1600.9100341796875,170.3000030517578,415.67999267578125,49.369998931884766
2019-02-14,1621.1700439453125,171.3800048828125,419.1400146484375,48.95000076293945
2019-03-01,1630.3900146484375,173.9499969482422,426.5199890136719,49.25
2019-02-25,1616.1300048828125,173.1699981689453,424.25,49.34000015258789
2019-02-21,1615.0999755859375,172.72999572753906,427.1499938964844,49.36000061035156
2019-02-13,1633.8299560546875,172.9199981689453,437.0799865722656,49.72999954223633
2019-02-28,1651.0,172.88999938964844,440.19000244140625,49.869998931884766
