Dates,AMZN,AAPL,BA,WFC
2019-01-02,1465.199951171875,154.88999938964844,316.19000244140625,45.529998779296875
2019-01-03,1520.010009765625,143.97999572753906,319.489990234375,46.650001525878906
2019-01-07,1530.0,144.52999877929688,316.69000244140625,47.41999816894531
2019-01-04,1602.31005859375,148.6999969482422,330.5199890136719,47.779998779296875
2019-01-08,1664.68994140625,149.55999755859375,334.1099853515625,47.900001525878906
2019-01-09,1652.97998046875,151.2899932861328,342.9599914550781,47.5099983215332
2019-01-10,1641.010009765625,152.5,346.510009765625,47.5
2019-01-11,1640.550048828125,152.8800048828125,348.55999755859375,47.5
2019-01-14,1615.0,150.85000610351562,348.20001220703125,47.5099983215332
2019-01-15,1632.0,150.27000427246094,352.0,47.599998474121094
2019-01-16,1684.219970703125,153.0800018310547,352.5,48.150001525878906
2019-01-18,1680.0,154.1999969482422,350.75,48.63999938964844
2019-01-22,1712.0,157.5,363.8800048828125,49.099998474121094
2019-01-24,1681.0,156.41000366210938,362.8599853515625,49.77000045776367
2019-01-28,1656.0,154.14999389648438,361.9100036621094,50.0
2019-01-30,1641.0699462890625,154.11000061035156,358.9100036621094,49.790000915527344
2019-02-01,1670.5,155.47999572753906,362.489990234375,50.400001525878906
2019-02-20,1643.5899658203125,155.7899932861328,360.6499938964844,49.77000045776367
2019-02-27,1631.27001953125,156.25,363.07000732421875,49.779998779296875
2019-02-19,1623.0,163.25,387.3999938964844,49.84000015258789
2019-02-15,1692.8499755859375,166.11000061035156,387.1600036621094,49.279998779296875
2019-02-11,1638.8800048828125,166.9600067138672,386.1099853515625,49.0
2019-02-26,1623.0,167.41000366210938,388.9700012207031,48.849998474121094
2019-02-05,1643.3399658203125,172.86000061035156,400.75,49.27000045776367
2019-02-07,1670.75,174.64999389648438,411.510009765625,49.09000015258789
2019-02-22,1625.0,172.39999389648438,407.92999267578125,49.09000015258789
2019-01-17,1586.0,168.99000549316406,400.0,47.939998626708984
2019-01-23,1600.97998046875,171.0500030517578,408.1000061035156,47.869998931884766
2019-01-29,1604.0,170.10000610351562,407.0,48.0099983215332
2019-01-25,1647.0,171.38999938964844,412.5199890136719,49.2400016784668
2019-01-31,1624.5,169.7100067138672,408.92999267578125,48.630001068115234
2019-02-04,1627.8599853515625,171.25,412.4800109863281,49.09000015258789
2019-02-06,1601.0,169.7100067138672,415.5,49.029998779296875
2019-02-08,1630.0,171.19000244140625,417.1400146484375,49.43000030517578
2019-02-12,1619.8499755859375,171.8000030517578,421.5799865722656,49.7599983215332
2019-02-14,1623.5,171.5800018310547,419.70001220703125,49.599998474121094
2019-03-01,1641.449951171875,174.16000366210938,427.489990234375,49.2599983215332
2019-02-25,1625.97998046875,173.7100067138672,426.0,49.4900016784668
2019-02-21,1628.1800537109375,173.2100067138672,427.1700134277344,49.59000015258789
2019-02-13,1635.25,174.32000732421875,438.70001220703125,49.97999954223633
2019-02-28,1655.1300048828125,174.27999877929688,446.010009765625,50.22999954223633
