Dates,STE
2018-06-20,107.58000183105469
2018-06-21,106.91999816894531
2018-06-25,107.30000305175781
2018-06-22,106.37999725341797
2018-06-26,105.11000061035156
2018-06-27,104.80999755859375
2018-06-28,103.11000061035156
2018-06-29,103.6500015258789
2018-07-02,104.87999725341797
2018-07-03,107.0199966430664
2018-07-05,106.81999969482422
2018-07-16,106.94999694824219
2018-09-18,108.77999877929688
2019-01-24,109.76000213623047
2019-09-05,109.08000183105469
2018-11-21,109.98999786376953
2020-01-13,110.06999969482422
2020-04-01,111.19000244140625
2020-06-19,109.72000122070312
2019-10-29,110.12999725341797
2020-01-16,110.62000274658203
2020-06-22,111.27999877929688
2018-10-03,111.72000122070312
2018-07-31,113.05999755859375
2019-03-12,112.81999969482422
2019-02-08,113.37999725341797
2019-01-07,113.4000015258789
2018-12-06,112.87999725341797
2019-08-19,112.62000274658203
2019-07-18,114.36000061035156
2019-05-15,114.51000213623047
2019-09-20,115.69999694824219
2019-11-01,117.0
2020-04-07,116.54000091552734
2020-06-25,112.75
2020-06-16,116.1500015258789
2019-11-04,113.91000366210938
2020-01-22,114.5999984741211
2019-11-07,114.38999938964844
2020-04-13,114.16999816894531
2019-07-01,113.37999725341797
2019-05-30,113.43000030517578
2018-08-15,114.48999786376953
2018-10-18,114.98999786376953
2019-03-27,114.5999984741211
2019-01-22,115.4000015258789
2018-12-21,115.19999694824219
2019-09-03,115.44999694824219
2018-11-19,114.9800033569336
2019-08-02,115.20999908447266
2020-01-28,114.75
2020-04-16,114.08999633789062
2019-11-13,114.38999938964844
2020-01-31,113.12000274658203
2018-12-04,112.97000122070312
2018-11-02,113.08999633789062
2019-07-16,113.6500015258789
2018-08-30,112.87999725341797
2018-10-01,114.0199966430664
2019-06-14,113.69000244140625
2019-05-13,113.12999725341797
2019-04-11,115.20999908447266
2019-02-06,112.83000183105469
2019-09-18,114.68000030517578
2020-02-03,114.08999633789062
2020-04-22,114.20999908447266
2019-11-19,113.88999938964844
2020-02-06,114.08999633789062
2019-11-22,114.68000030517578
2019-03-25,113.73999786376953
2019-02-21,113.44000244140625
2018-12-19,115.0199966430664
2018-07-12,113.97000122070312
2018-09-14,113.0199966430664
2018-08-13,110.88999938964844
2018-10-16,109.4800033569336
2019-07-31,108.72000122070312
2019-05-28,107.7300033569336
2019-04-26,107.6500015258789
2020-04-28,104.66000366210938
2019-11-25,106.45999908447266
2020-02-12,105.69000244140625
2020-05-01,107.31999969482422
2020-05-04,110.12000274658203
2019-06-12,109.94999694824219
2019-04-09,109.06999969482422
2019-03-08,106.93000030517578
2019-02-04,104.58999633789062
2018-07-27,105.27999877929688
2018-08-28,106.94000244140625
2019-01-03,107.0
2019-08-15,107.20999908447266
2018-10-31,107.94999694824219
2019-09-16,108.97000122070312
2020-02-18,109.62999725341797
2020-05-07,112.45999908447266
2018-08-17,111.87000274658203
2019-12-04,111.55000305175781
2020-02-21,118.0
2018-12-17,119.83000183105469
2019-08-30,120.66999816894531
