Dates,DAL
2018-06-20,51.382118225097656
2018-06-21,51.277137756347656
2018-06-25,50.31324768066406
2018-06-22,48.967620849609375
2018-06-26,48.73857116699219
2018-06-27,47.61244201660156
2018-06-28,47.52655029296875
2018-06-29,47.27842330932617
2018-07-02,47.64107131958008
2018-07-03,46.55311584472656
2018-07-05,47.01120376586914
2018-07-16,47.31659698486328
2018-09-18,48.20413589477539
2019-01-24,48.2900276184082
2019-09-05,47.56472396850586
2018-11-21,48.414100646972656
2020-01-13,48.4522705078125
2020-04-01,48.35683059692383
2020-06-19,48.80538558959961
2019-10-29,50.38959503173828
2020-01-16,50.58045959472656
2020-06-22,49.6165771484375
2018-10-03,49.855159759521484
2018-07-31,49.32072448730469
2019-03-12,49.63780975341797
2019-02-08,51.86699295043945
2019-01-07,52.32820129394531
2018-12-06,51.68443298339844
2019-08-19,52.28976821899414
2019-07-18,51.49226379394531
2019-05-15,51.79973602294922
2019-09-20,52.13603210449219
2019-11-01,52.28976821899414
2020-04-07,52.55881118774414
2020-06-25,53.06806182861328
2020-06-16,53.173763275146484
2019-11-04,52.568416595458984
2020-01-22,52.097599029541016
2019-11-07,52.61646270751953
2020-04-13,53.06806182861328
2019-07-01,53.27945327758789
2019-05-30,53.471622467041016
2018-08-15,55.17233657836914
2018-10-18,55.34528732299805
2019-03-27,54.68230056762695
2019-01-22,54.71112823486328
2018-12-21,54.941734313964844
2019-09-03,55.489418029785156
2018-11-19,56.48870849609375
2019-08-02,56.229278564453125
2020-01-28,56.152408599853516
2020-04-16,56.19084930419922
2019-11-13,56.57518768310547
2020-01-31,54.97056198120117
2018-12-04,54.23069763183594
2018-11-02,54.6342658996582
2019-07-16,55.306861877441406
2018-08-30,55.98906707763672
2018-10-01,55.14351272583008
2019-06-14,55.556678771972656
2019-05-13,55.66237258911133
2019-04-11,55.69119644165039
2019-02-06,55.5662956237793
2019-09-18,55.633548736572266
2020-02-03,55.85454559326172
2020-04-22,57.276611328125
2019-11-19,55.1627311706543
2020-02-06,54.864864349365234
2019-11-22,55.25881576538086
2019-03-25,55.72963333129883
2019-02-21,55.5662956237793
2018-12-19,54.38443374633789
2018-07-12,52.54920196533203
2018-09-14,52.193687438964844
2018-08-13,51.463436126708984
2018-10-16,50.63710021972656
2019-07-31,50.09901809692383
2019-05-28,48.86912536621094
2019-04-26,47.76414108276367
2020-04-28,49.4648551940918
2019-11-25,50.012542724609375
2020-02-12,49.81076431274414
2020-05-01,51.03104782104492
2020-05-04,52.17446517944336
2019-06-12,51.050270080566406
2019-04-09,51.30009078979492
2019-03-08,52.116817474365234
2019-02-04,51.35774612426758
2018-07-27,49.49367904663086
2018-08-28,51.60755920410156
2019-01-03,51.194393157958984
2019-08-15,51.32891845703125
2018-10-31,52.962371826171875
2019-09-16,52.58763122558594
2020-02-18,53.84635543823242
2020-05-07,53.92322540283203
2018-08-17,53.8559684753418
2019-12-04,53.633583068847656
2020-02-21,54.90987777709961
2018-12-17,54.851863861083984
2019-08-30,54.77451705932617
2018-11-15,54.82285690307617
2019-07-29,54.93888854980469
2019-06-27,54.561798095703125
2019-04-24,54.24271774291992
2018-07-10,54.04935073852539
2018-09-12,54.329742431640625
2019-02-19,53.575565338134766
2019-01-18,54.11703109741211
2020-02-24,55.267635345458984
2020-05-13,54.83252716064453
2019-12-10,56.37955856323242
2020-02-27,56.92101287841797
2019-12-13,56.91135025024414
2020-05-19,58.70009994506836
2019-03-06,58.12963104248047
2018-11-30,55.05491256713867
2019-08-13,56.15717315673828
2019-07-12,54.21371078491211
2019-06-10,54.455440521240234
2019-05-09,54.039676666259766
2018-07-25,54.40709686279297
2018-09-27,51.77714157104492
2018-10-29,51.73846435546875
2019-10-16,50.65554428100586
2019-12-16,51.19700622558594
2020-03-04,50.210777282714844
2020-05-22,49.22454833984375
2019-10-01,47.81288528442383
2019-12-19,46.37221145629883
2018-09-10,48.7411003112793
2019-05-24,48.828121185302734
2018-08-09,48.518714904785156
2019-04-22,48.247982025146484
2019-03-21,48.431697845458984
2019-01-16,44.100013732910156
2019-08-28,46.20783996582031
2018-11-13,46.26585388183594
2018-10-12,45.898433685302734
2019-06-25,46.86532211303711
2020-03-10,47.11671829223633
2020-05-28,46.95234680175781
2019-10-07,46.16916275024414
2020-03-13,46.24651336669922
2019-10-10,45.92744064331055
2020-03-16,46.62360763549805
2020-06-03,46.517242431640625
2018-11-28,45.54068374633789
2018-09-25,45.73406219482422
2018-07-23,45.946773529052734
2018-08-24,46.111148834228516
2019-07-10,46.42055130004883
2019-05-07,46.62360763549805
2019-04-05,48.605735778808594
2019-03-04,47.79354476928711
2019-01-31,48.2673225402832
2019-09-12,48.67341613769531
2019-12-31,48.86679458618164
2020-03-19,48.84746170043945
2020-01-03,48.7411003112793
2020-06-09,48.79911422729492
2019-02-15,48.934478759765625
2019-01-14,48.23831558227539
2018-07-06,48.7411003112793
2018-08-07,48.80878448486328
2018-10-10,49.388919830322266
2018-12-13,50.10441970825195
2019-08-26,49.543617248535156
2019-07-25,49.775672912597656
2019-05-22,49.81435012817383
2019-03-19,49.70799255371094
2020-01-06,49.42759323120117
2020-03-25,48.76043701171875
2020-06-12,48.273616790771484
2019-10-22,47.669944763183594
2020-01-09,47.50442886352539
2020-06-15,48.4099235534668
2019-10-25,48.400184631347656
2020-03-31,48.283348083496094
2020-06-18,48.283348083496094
2019-04-03,49.773033142089844
2018-08-22,49.33488464355469
2018-10-25,49.6756706237793
2019-01-29,49.597774505615234
