Dates,DAL
2018-06-20,4541300.0
2018-06-21,4806800.0
2018-06-25,10311600.0
2018-06-22,7547800.0
2018-06-26,4810300.0
2018-06-27,9035800.0
2018-06-28,6871800.0
2018-06-29,6703900.0
2018-07-02,8300000.0
2018-07-03,6449500.0
2018-07-05,6335900.0
2018-07-16,4903000.0
2018-09-18,7895600.0
2019-01-24,7366600.0
2019-09-05,10426500.0
2018-11-21,12625600.0
2020-01-13,6835900.0
2020-04-01,8603200.0
2020-06-19,5299000.0
2019-10-29,10212300.0
2020-01-16,6391400.0
2020-06-22,6697500.0
2018-10-03,4509200.0
2018-07-31,4652700.0
2019-03-12,4727600.0
2019-02-08,10322100.0
2019-01-07,6561000.0
2018-12-06,5676700.0
2019-08-19,6048100.0
2019-07-18,4203400.0
2019-05-15,4483600.0
2019-09-20,3147300.0
2019-11-01,3122300.0
2020-04-07,4425300.0
2020-06-25,3562200.0
2020-06-16,2890400.0
2019-11-04,4204400.0
2020-01-22,3896600.0
2019-11-07,3459900.0
2020-04-13,4896500.0
2019-07-01,3366100.0
2019-05-30,3266500.0
2018-08-15,7005800.0
2018-10-18,4732300.0
2019-03-27,4246100.0
2019-01-22,3051900.0
2018-12-21,3149600.0
2019-09-03,4278900.0
2018-11-19,7035300.0
2019-08-02,4543300.0
2020-01-28,3020300.0
2020-04-16,6076700.0
2019-11-13,5017400.0
2020-01-31,9495500.0
2018-12-04,7618100.0
2018-11-02,6307600.0
2019-07-16,3894900.0
2018-08-30,4717500.0
2018-10-01,5116100.0
2019-06-14,3568400.0
2019-05-13,3449300.0
2019-04-11,3944600.0
2019-02-06,3746900.0
2019-09-18,3423000.0
2020-02-03,3448100.0
2020-04-22,11936300.0
2019-11-19,6640000.0
2020-02-06,4635500.0
2019-11-22,5306700.0
2019-03-25,3897600.0
2019-02-21,4642500.0
2018-12-19,5839900.0
2018-07-12,8604600.0
2018-09-14,6966700.0
2018-08-13,7681100.0
2018-10-16,5621700.0
2019-07-31,5495700.0
2019-05-28,8284700.0
2019-04-26,13082900.0
2020-04-28,15887500.0
2019-11-25,9677300.0
2020-02-12,6494400.0
2020-05-01,6684000.0
2020-05-04,9184200.0
2019-06-12,5871200.0
2019-04-09,4989800.0
2019-03-08,6174200.0
2019-02-04,7679800.0
2018-07-27,6759100.0
2018-08-28,9174400.0
2019-01-03,9573000.0
2019-08-15,10819700.0
2018-10-31,7526200.0
2019-09-16,8699500.0
2020-02-18,6401100.0
2020-05-07,6488600.0
2018-08-17,5206000.0
2019-12-04,5983100.0
2020-02-21,7204600.0
2018-12-17,4150400.0
2019-08-30,6061600.0
2018-11-15,4553900.0
2019-07-29,6004400.0
2019-06-27,5543300.0
2019-04-24,6969000.0
2018-07-10,6719500.0
2018-09-12,5640400.0
2019-02-19,5623600.0
2019-01-18,6509100.0
2020-02-24,3778200.0
2020-05-13,5927100.0
2019-12-10,8879800.0
2020-02-27,6204000.0
2019-12-13,6793700.0
2020-05-19,10846900.0
2019-03-06,6759400.0
2018-11-30,14429000.0
2019-08-13,9052500.0
2019-07-12,8193600.0
2019-06-10,5698400.0
2019-05-09,7319200.0
2018-07-25,6175700.0
2018-09-27,10174900.0
2018-10-29,5551600.0
2019-10-16,5792700.0
2019-12-16,6099500.0
2020-03-04,8003600.0
2020-05-22,8428800.0
2019-10-01,11680200.0
2019-12-19,5381300.0
2018-09-10,7452700.0
2019-05-24,7136300.0
2018-08-09,5854800.0
2019-04-22,6231700.0
2019-03-21,5270700.0
2019-01-16,18694100.0
2019-08-28,11037000.0
2018-11-13,9375500.0
2018-10-12,8231400.0
2019-06-25,8095300.0
2020-03-10,11880200.0
2020-05-28,6577900.0
2019-10-07,10095100.0
2020-03-13,11569500.0
2019-10-10,9823000.0
2020-03-16,7312700.0
2020-06-03,7850200.0
2018-11-28,8144400.0
2018-09-25,8099900.0
2018-07-23,9057200.0
2018-08-24,11839200.0
2019-07-10,8212100.0
2019-05-07,7476500.0
2019-04-05,13005200.0
2019-03-04,8287100.0
2019-01-31,6172900.0
2019-09-12,5356200.0
2019-12-31,8727600.0
2020-03-19,6228100.0
2020-01-03,5673900.0
2020-06-09,4456600.0
2019-02-15,6963900.0
2019-01-14,8301700.0
2018-07-06,5754900.0
2018-08-07,5780000.0
2018-10-10,6492000.0
2018-12-13,7904800.0
2019-08-26,7497300.0
2019-07-25,6615000.0
2019-05-22,5413200.0
2019-03-19,6180400.0
2020-01-06,6826800.0
2020-03-25,9041600.0
2020-06-12,9483800.0
2019-10-22,11393900.0
2020-01-09,10194100.0
2020-06-15,9800700.0
2019-10-25,8702600.0
2020-03-31,8183600.0
2020-06-18,8570100.0
2019-04-03,8868100.0
2018-08-22,8073900.0
2018-10-25,10536300.0
2019-01-29,8048800.0
2018-12-28,8192400.0
2018-11-26,6415200.0
2019-08-09,5606600.0
2019-07-08,7753000.0
2019-06-06,5128700.0
2019-09-10,5896200.0
2020-01-15,6454000.0
2020-04-03,5321500.0
2019-10-31,7907200.0
2020-04-06,6600100.0
2020-06-24,9162100.0
2018-11-09,8501400.0
2019-07-23,15920700.0
2019-06-21,13299500.0
2019-05-20,8998000.0
2019-04-18,6918300.0
2018-09-06,7921600.0
2018-10-08,9581600.0
2019-02-13,14398200.0
2018-12-11,8452400.0
2019-09-25,7693900.0
2020-01-21,5327000.0
2020-04-09,3970200.0
2019-11-06,4987600.0
2020-01-24,4108100.0
2020-01-27,4043900.0
2020-04-15,4593000.0
2018-12-26,3275200.0
2019-08-07,5557400.0
2019-06-04,3714100.0
2018-09-21,3215500.0
2018-07-19,4030300.0
2018-08-20,5629800.0
2018-10-23,3426100.0
2019-05-03,4673000.0
2019-04-01,4105400.0
2019-02-28,4784800.0
2019-11-12,3641400.0
2020-01-30,5003500.0
2019-11-15,3737800.0
2020-04-21,5223700.0
2019-04-16,2463400.0
2019-03-15,2998900.0
2019-02-11,2731400.0
2019-01-10,3969900.0
2019-08-22,3722800.0
2018-11-07,2816800.0
2018-08-03,3616700.0
2018-09-04,5278900.0
2019-06-19,2502800.0
2019-09-23,3454100.0
2019-11-18,3929600.0
2020-02-05,3775200.0
2020-04-24,5615100.0
2019-03-29,7244600.0
2019-11-21,7619300.0
2020-04-27,6379100.0
2020-02-11,6192000.0
2020-04-30,4234800.0
2019-05-01,3312900.0
2019-02-26,2833700.0
2019-01-25,3856200.0
2018-12-24,6300400.0
2019-09-06,4382500.0
2018-07-17,4057300.0
2018-09-19,3642500.0
2019-08-05,3196800.0
2019-10-08,5055700.0
2019-12-11,8573500.0
2019-11-27,2896000.0
2020-02-14,3579600.0
2020-05-06,4437700.0
2019-01-08,4375400.0
2018-12-07,8034800.0
2019-08-20,5020600.0
2018-11-05,6837100.0
2019-07-19,3303900.0
2018-10-04,5896900.0
2019-06-17,7800600.0
2019-05-16,7870200.0
2018-08-01,7781300.0
2019-03-13,12695600.0
2019-12-03,10045700.0
2020-02-20,5889000.0
2019-12-06,10319700.0
2020-05-12,7532000.0
2019-12-09,4482200.0
2020-02-26,7902700.0
2020-05-15,4786300.0
2019-03-28,7452200.0
2018-09-17,5718800.0
2018-08-16,5351700.0
2018-10-19,3857900.0
2019-04-29,4972200.0
2019-01-23,2910000.0
2019-09-04,7229600.0
2018-11-20,5838000.0
2019-07-02,3739500.0
2019-05-31,8855700.0
2019-12-12,4704500.0
2020-05-18,7648800.0
2019-09-27,5414000.0
2020-03-03,5606400.0
2020-05-21,4788300.0
2019-05-14,6156200.0
2018-08-31,7662800.0
2018-07-30,4360400.0
2018-10-02,4226100.0
2019-04-12,3503500.0
2019-03-11,2513700.0
2019-02-07,3014900.0
2019-07-17,3436400.0
2019-09-19,5921400.0
2019-10-21,3414500.0
2019-12-18,7702800.0
2020-03-06,5264100.0
2019-10-03,4101400.0
2020-03-09,4268300.0
2020-05-27,6601700.0
2019-12-24,4939600.0
2020-03-12,4461600.0
2018-12-20,5741100.0
2019-08-01,5740500.0
2018-08-14,4409600.0
2018-07-13,4163700.0
2018-10-17,5188700.0
2019-05-29,7548400.0
2019-03-26,9556400.0
2019-02-22,8176700.0
2019-10-04,4075600.0
2019-11-05,3569900.0
2019-12-27,6139400.0
2020-06-02,4387100.0
2019-12-30,5047700.0
2020-03-18,3193100.0
2020-06-05,3795400.0
2019-07-15,4395800.0
2018-12-03,5208200.0
2019-06-13,7102200.0
2019-01-04,13770400.0
2018-08-29,14346800.0
2019-02-05,6620900.0
2018-11-01,8659800.0
2019-08-16,8039400.0
2019-04-10,7615300.0
2019-09-17,22703500.0
2019-10-15,10935000.0
2020-01-02,6631900.0
2020-06-08,8413300.0
2019-10-18,5532800.0
2020-03-24,4402000.0
2020-06-11,6966400.0
2020-01-08,6699600.0
2019-04-25,5646900.0
2019-07-30,4876100.0
2019-02-20,4825300.0
2018-07-11,4412800.0
2018-09-13,3966400.0
2018-10-15,4480100.0
2019-06-28,3813800.0
2018-12-18,7024000.0
2018-11-16,5389600.0
2019-10-02,6164400.0
2020-03-27,6915300.0
2020-01-10,5120200.0
2019-10-24,7754400.0
2020-03-30,4821000.0
2020-06-17,3811600.0
2020-01-14,4424700.0
2020-04-02,4110600.0
2019-01-02,3763900.0
2019-08-14,4350100.0
2018-10-30,3788400.0
2019-06-11,4704900.0
2019-05-10,7383600.0
2019-04-08,5021000.0
2018-08-27,9648200.0
2018-07-26,6822400.0
2018-09-28,4888100.0
2019-03-07,4062500.0
2019-10-30,2653600.0
2020-01-17,5628200.0
2020-06-23,6871700.0
2020-04-08,4760100.0
2020-06-26,3899900.0
2019-03-22,4568200.0
2019-01-17,4057000.0
2019-08-29,4871900.0
2018-11-14,5544300.0
2019-06-26,8868000.0
2018-09-11,4440400.0
2018-07-09,7460700.0
2018-08-10,6663200.0
2019-04-23,5026900.0
2019-09-30,4455700.0
2020-01-23,6025700.0
2019-11-08,3648100.0
2020-04-14,1076000.0
2019-11-11,2464400.0
2020-01-29,3538600.0
2020-04-17,3779300.0
2018-07-24,2917300.0
2018-09-26,4459200.0
2019-05-08,9078100.0
2019-03-05,5504300.0
2019-02-01,5563000.0
2018-12-31,8519000.0
2018-11-29,5336700.0
2019-08-12,8279700.0
2019-07-11,8414200.0
2019-09-13,16454100.0
2019-11-14,7953400.0
2020-04-20,4950300.0
2020-02-04,5770000.0
2020-04-23,16592000.0
2018-12-14,7096400.0
