Dates,BAC,AAPL,NFLX,AMZN,GOLD,WFC
2020-05-07,68293500.0,32470000.0,4860800.0,3609900.0,14226600.0,32735800.0
2020-05-11,97766200.0,50455100.0,8183900.0,5773200.0,17449100.0,36056100.0
2020-07-10,94560300.0,50721800.0,7046400.0,5114000.0,16499800.0,39229900.0
2020-06-02,81212300.0,42223800.0,6908900.0,3977300.0,11599500.0,42213700.0
2020-05-14,125414800.0,40529100.0,7711300.0,4655600.0,31777400.0,62520600.0
2020-07-13,83164700.0,32755700.0,11692900.0,6716700.0,32986800.0,36068900.0
2020-06-24,88991100.0,48748700.0,11581000.0,8087200.0,33199200.0,64267100.0
2020-06-05,99082200.0,32788600.0,13561200.0,6866600.0,20342200.0,41883900.0
2020-02-28,89213300.0,39281300.0,16128700.0,12038200.0,19300400.0,52962100.0
2020-01-23,92800300.0,53812500.0,12616300.0,7930000.0,28513300.0,46985000.0
2020-04-20,74446300.0,32503800.0,12655800.0,5770700.0,18048000.0,45441600.0
2020-02-24,78871300.0,45247900.0,23177600.0,7476700.0,17345500.0,41918700.0
2020-01-31,49759100.0,29264300.0,21123800.0,4218300.0,21034500.0,28078400.0
2020-03-19,50614800.0,31203600.0,13952300.0,5066600.0,30865400.0,38331500.0
2020-03-27,47675700.0,31627200.0,8670400.0,3831800.0,27633700.0,35172700.0
2020-03-11,66916700.0,29271900.0,6277500.0,5645600.0,15222800.0,39606100.0
2020-03-03,65504900.0,28001200.0,10101200.0,5269400.0,17129300.0,35188000.0
2020-04-28,73493900.0,34320200.0,9693100.0,4591600.0,20809600.0,38515200.0
2020-05-06,55132400.0,45457600.0,7939400.0,9415000.0,17773000.0,29393100.0
2020-06-08,51772600.0,60154200.0,8299900.0,9772600.0,19597900.0,35197600.0
2020-05-20,45886100.0,33392000.0,7799100.0,4865900.0,16474300.0,34343900.0
2020-07-01,45691900.0,36937800.0,6286300.0,3242500.0,16835400.0,56753400.0
2020-06-30,53874600.0,35583400.0,6660700.0,3117800.0,17043600.0,57732900.0
2020-06-11,51884300.0,28803800.0,5641900.0,3396400.0,16302200.0,52387000.0
2020-03-10,45250000.0,33512000.0,5054300.0,3211200.0,12740800.0,53768800.0
2020-03-02,68718200.0,36405900.0,5480300.0,3253700.0,19128100.0,51372600.0
2020-01-22,69588700.0,40575300.0,4598200.0,3074900.0,13108900.0,53560500.0
2020-01-30,112113400.0,50155600.0,7014600.0,4782900.0,12920900.0,90209900.0
2020-02-07,88359100.0,39732300.0,9007500.0,3648100.0,17395100.0,87965500.0
2020-04-03,64484000.0,41587100.0,7244000.0,4235000.0,19240600.0,51616700.0
2020-03-26,86699200.0,33843100.0,7780300.0,4366600.0,17293500.0,55751400.0
2020-03-18,62179000.0,25432400.0,4810500.0,4320500.0,17810600.0,48234300.0
2020-04-27,59789500.0,27876200.0,5607300.0,3998100.0,16291200.0,45297100.0
2020-05-05,57726000.0,25672200.0,9117300.0,5114400.0,22018800.0,28376500.0
2020-05-26,48107000.0,20450800.0,5422300.0,2867100.0,11271100.0,30415300.0
2020-07-06,119485500.0,31380500.0,7881100.0,3568200.0,30232600.0,57720300.0
2020-06-17,117672700.0,28236300.0,10446300.0,5056900.0,37015100.0,61963000.0
2020-05-29,84340800.0,33390200.0,5655100.0,3190200.0,19102000.0,51490200.0
2020-07-09,113923800.0,38399500.0,5270500.0,3529300.0,20339200.0,51382800.0
2020-06-01,58375500.0,20197800.0,3743700.0,2928900.0,16352500.0,34201700.0
2020-01-21,71118100.0,21910700.0,3494800.0,2529900.0,16069500.0,39058000.0
2020-01-29,86744600.0,26122800.0,4316000.0,2671000.0,23448500.0,50814000.0
2020-03-25,94545300.0,21890100.0,5410500.0,2948700.0,21961100.0,61839200.0
2020-03-17,118767900.0,34312600.0,5099600.0,3306400.0,28169100.0,107651200.0
2020-03-09,79598500.0,23913600.0,5851500.0,3970700.0,15541600.0,69051300.0
2020-02-14,77773400.0,36928100.0,6797000.0,5176000.0,21508000.0,51480400.0
2020-02-06,90415300.0,41662900.0,4896900.0,4946000.0,21908200.0,82090000.0
2020-04-02,149875500.0,50415600.0,7462900.0,5800100.0,30986200.0,75621300.0
2020-05-04,73678900.0,50001500.0,6457400.0,5429600.0,15303700.0,51272600.0
2020-04-24,76538900.0,34702200.0,4467900.0,3865100.0,15853500.0,48311400.0
2020-05-13,96796500.0,41357200.0,5507900.0,3585600.0,16296600.0,52985600.0
2020-06-23,58209900.0,28532000.0,6522400.0,2951100.0,9226300.0,38568000.0
2020-06-04,53419000.0,24205100.0,4277600.0,2487800.0,12574700.0,33670200.0
2020-07-15,127563600.0,66119000.0,5934500.0,5777000.0,19198700.0,71903000.0
2020-04-08,55484300.0,33861300.0,6272100.0,3208800.0,17414300.0,32808300.0
2020-06-26,46108300.0,53038900.0,5948400.0,4231700.0,16212000.0,47279100.0
2020-05-19,75437100.0,48155800.0,4826200.0,4526600.0,19762900.0,57380900.0
2020-04-09,65031900.0,34380600.0,4134500.0,2968700.0,10068700.0,45102200.0
2020-04-01,118139200.0,51314200.0,6804700.0,6500800.0,12116300.0,81172300.0
2020-03-24,66269200.0,32661500.0,4844000.0,4223400.0,10296300.0,43769200.0
2020-03-16,61716200.0,35055800.0,4198500.0,3769700.0,15373000.0,46610000.0
2020-01-28,57379900.0,27684300.0,9705900.0,6363400.0,15634500.0,37509300.0
2020-02-05,56000200.0,28510400.0,6351500.0,6593400.0,12824100.0,37013300.0
2020-02-13,59589000.0,29663900.0,7839000.0,6880600.0,11302100.0,46983100.0
2020-02-21,60645800.0,28106100.0,5669900.0,5257500.0,12200500.0,36920500.0
2020-04-17,52922600.0,29273000.0,5691700.0,5037600.0,17430100.0,38413400.0
2020-03-23,79385900.0,31410700.0,5840500.0,6388700.0,13002700.0,38118900.0
2020-06-29,81142900.0,22564300.0,21605600.0,5486000.0,11545900.0,56483300.0
2020-06-10,73598100.0,47912300.0,18399000.0,7720400.0,15524700.0,51038800.0
2020-05-22,67423100.0,42747300.0,15083300.0,7231900.0,12752400.0,118952600.0
2020-07-02,57249000.0,38189300.0,10036400.0,5771900.0,13993700.0,61665600.0
