Dates,CSX
2018-06-20,3337000.0
2018-06-21,4697100.0
2018-06-25,8645700.0
2018-06-22,4684400.0
2018-06-26,3653000.0
2018-06-27,5115200.0
2018-06-28,5293700.0
2018-06-29,5002200.0
2018-07-02,3186200.0
2018-07-03,1738800.0
2018-07-05,3685300.0
2018-07-16,2786600.0
2018-09-18,4535200.0
2019-01-24,3748400.0
2019-09-05,4162000.0
2018-11-21,6348000.0
2020-01-13,4937000.0
2020-04-01,8317600.0
2020-06-19,8707600.0
2019-10-29,16578000.0
2020-01-16,10896600.0
2020-06-22,8664400.0
2018-10-03,6201400.0
2018-07-31,9236200.0
2019-03-12,6654800.0
2019-02-08,4526900.0
2019-01-07,5912100.0
2018-12-06,6677200.0
2019-08-19,8092100.0
2019-07-18,4262500.0
2019-05-15,4901900.0
2019-09-20,4266000.0
2019-11-01,5091600.0
2020-04-07,3086600.0
2020-06-25,3136800.0
2020-06-16,3390500.0
2019-11-04,3357600.0
2020-01-22,3884700.0
2019-11-07,5311900.0
2020-04-13,4729000.0
2019-07-01,5267000.0
2019-05-30,3553300.0
2018-08-15,6092400.0
2018-10-18,4936800.0
2019-03-27,3094800.0
2019-01-22,4415800.0
2018-12-21,4292000.0
2019-09-03,3631000.0
2018-11-19,3135400.0
2019-08-02,3392100.0
2020-01-28,4229200.0
2020-04-16,4924700.0
2019-11-13,5915300.0
2020-01-31,4759300.0
2018-12-04,4587100.0
2018-11-02,5258200.0
2019-07-16,5135500.0
2018-08-30,5182600.0
2018-10-01,3529000.0
2019-06-14,5175800.0
2019-05-13,4109900.0
2019-04-11,4427100.0
2019-02-06,5146000.0
2019-09-18,5525900.0
2020-02-03,5317000.0
2020-04-22,18291700.0
2019-11-19,4770100.0
2020-02-06,3955000.0
2019-11-22,4066000.0
2019-03-25,2775800.0
2019-02-21,3124400.0
2018-12-19,4154300.0
2018-07-12,4824700.0
2018-09-14,4045700.0
2018-08-13,4523400.0
2018-10-16,4338400.0
2019-07-31,3907200.0
2019-05-28,5806800.0
2019-04-26,10835400.0
2020-04-28,11471400.0
2019-11-25,7780000.0
2020-02-12,5489700.0
2020-05-01,9077800.0
2020-05-04,10764500.0
2019-06-12,10882700.0
2019-04-09,9908400.0
2019-03-08,6781700.0
2019-02-04,7858500.0
2018-07-27,7937700.0
2018-08-28,7085100.0
2019-01-03,6332800.0
2019-08-15,7825400.0
2018-10-31,8156700.0
2019-09-16,7714200.0
2020-02-18,5907500.0
2020-05-07,5254700.0
2018-08-17,5463100.0
2019-12-04,4391000.0
2020-02-21,5340300.0
2018-12-17,3898000.0
2019-08-30,5616100.0
2018-11-15,4040000.0
2019-07-29,4569200.0
2019-06-27,5576300.0
2019-04-24,5219900.0
2018-07-10,4661000.0
2018-09-12,7472700.0
2019-02-19,6883600.0
2019-01-18,3601400.0
2020-02-24,2195900.0
2020-05-13,3603200.0
2019-12-10,4050200.0
2020-02-27,5109000.0
2019-12-13,3922000.0
2020-05-19,6820600.0
2019-03-06,8515600.0
2018-11-30,6819600.0
2019-08-13,9115100.0
2019-07-12,8215600.0
2019-06-10,5261900.0
2019-05-09,3720500.0
2018-07-25,5538100.0
2018-09-27,4522000.0
2018-10-29,5722200.0
2019-10-16,8842400.0
2019-12-16,6468800.0
2020-03-04,7321900.0
2020-05-22,8490900.0
2019-10-01,10004300.0
2019-12-19,3037300.0
2018-09-10,5067800.0
2019-05-24,4170500.0
2018-08-09,3416100.0
2019-04-22,3445000.0
2019-03-21,5012900.0
2019-01-16,7842400.0
2019-08-28,6181200.0
2018-11-13,6262300.0
2018-10-12,5079300.0
2019-06-25,4430700.0
2020-03-10,5404100.0
2020-05-28,3836200.0
2019-10-07,4477200.0
2020-03-13,4178100.0
2019-10-10,5792500.0
2020-03-16,11251100.0
2020-06-03,7687600.0
2018-11-28,6280300.0
2018-09-25,5275500.0
2018-07-23,7096700.0
2018-08-24,8043000.0
2019-07-10,4275600.0
2019-05-07,4408300.0
2019-04-05,6250300.0
2019-03-04,5938400.0
2019-01-31,4347300.0
2019-09-12,5189700.0
2019-12-31,6025900.0
2020-03-19,5384300.0
2020-01-03,4844400.0
2020-06-09,4336700.0
2019-02-15,6234700.0
2019-01-14,5484000.0
2018-07-06,4644300.0
2018-08-07,3246800.0
2018-10-10,5807200.0
2018-12-13,4707900.0
2019-08-26,3863600.0
2019-07-25,3255300.0
2019-05-22,2756400.0
2019-03-19,5131300.0
2020-01-06,6866800.0
2020-03-25,3600900.0
2020-06-12,5183100.0
2019-10-22,4905500.0
2020-01-09,4144500.0
2020-06-15,3800400.0
2019-10-25,5379100.0
2020-03-31,5960500.0
2020-06-18,5604600.0
2019-04-03,4423500.0
2018-08-22,5575800.0
2018-10-25,4749800.0
2019-01-29,4276200.0
2018-12-28,13639300.0
2018-11-26,3996400.0
2019-08-09,4504800.0
2019-07-08,4782600.0
2019-06-06,2180300.0
2019-09-10,3324000.0
2020-01-15,2867800.0
2020-04-03,2864900.0
2019-10-31,1988900.0
2020-04-06,3220500.0
2020-06-24,3910400.0
2018-11-09,4763600.0
2019-07-23,3603600.0
2019-06-21,7191900.0
2019-05-20,7786300.0
