Dates,CSX
2018-06-20,64.87000274658203
2018-06-21,64.05000305175781
2018-06-25,64.77999877929688
2018-06-22,64.08000183105469
2018-06-26,64.18000030517578
2018-06-27,63.779998779296875
2018-06-28,63.59000015258789
2018-06-29,63.779998779296875
2018-07-02,64.26000213623047
2018-07-03,63.849998474121094
2018-07-05,64.36000061035156
2018-07-16,65.0
2018-09-18,66.5
2019-01-24,66.05000305175781
2019-09-05,64.80999755859375
2018-11-21,64.68000030517578
2020-01-13,64.70999908447266
2020-04-01,64.0
2020-06-19,64.44000244140625
2019-10-29,69.0
2020-01-16,69.1500015258789
2020-06-22,69.45999908447266
2018-10-03,70.27999877929688
2018-07-31,69.1500015258789
2019-03-12,70.94999694824219
2019-02-08,70.88999938964844
2019-01-07,70.2699966430664
2018-12-06,70.29000091552734
2019-08-19,70.68000030517578
2019-07-18,70.62000274658203
2019-05-15,71.08999633789062
2019-09-20,71.26000213623047
2019-11-01,72.1500015258789
2020-04-07,72.58999633789062
2020-06-25,72.54000091552734
2020-06-16,72.16999816894531
2019-11-04,72.38999938964844
2020-01-22,72.61000061035156
2019-11-07,73.69999694824219
2020-04-13,73.16000366210938
2019-07-01,73.44000244140625
2019-05-30,73.69000244140625
2018-08-15,73.7699966430664
2018-10-18,74.69000244140625
2019-03-27,73.7300033569336
2019-01-22,73.94999694824219
2018-12-21,74.6500015258789
2019-09-03,75.5
2018-11-19,75.20999908447266
2019-08-02,74.81999969482422
2020-01-28,74.20999908447266
2020-04-16,74.16000366210938
2019-11-13,74.83999633789062
2020-01-31,74.30000305175781
2018-12-04,74.05999755859375
2018-11-02,73.62999725341797
2019-07-16,74.31999969482422
2018-08-30,74.11000061035156
2018-10-01,74.13999938964844
2019-06-14,73.18000030517578
2019-05-13,73.4800033569336
2019-04-11,73.33999633789062
2019-02-06,74.11000061035156
2019-09-18,73.98999786376953
2020-02-03,73.05000305175781
2020-04-22,73.98999786376953
2019-11-19,73.30000305175781
2020-02-06,73.31999969482422
2019-11-22,73.9000015258789
2019-03-25,74.20999908447266
2019-02-21,74.05000305175781
2018-12-19,75.02999877929688
2018-07-12,74.33000183105469
2018-09-14,74.98999786376953
2018-08-13,74.66999816894531
2018-10-16,74.55000305175781
2019-07-31,74.76000213623047
2019-05-28,74.61000061035156
2019-04-26,69.55999755859375
2020-04-28,68.7699966430664
2019-11-25,70.19999694824219
2020-02-12,70.86000061035156
