Dates,MSFT
2018-06-20,101.37000274658203
2018-06-21,102.08000183105469
2018-06-25,100.41000366210938
2018-06-22,100.0
2018-06-26,98.81999969482422
2018-06-27,99.58000183105469
2018-06-28,97.37999725341797
2018-06-29,98.93000030517578
2018-07-02,98.0999984741211
2018-07-03,100.4800033569336
2018-07-05,99.5
2018-07-16,99.88999938964844
2018-09-18,101.6500015258789
2019-01-24,102.0
2019-09-05,101.1500015258789
2018-11-21,102.7699966430664
2020-01-13,104.37000274658203
2020-04-01,105.4000015258789
2020-06-19,104.61000061035156
2019-10-29,105.94000244140625
2020-01-16,104.93000030517578
2020-06-22,108.08000183105469
2018-10-03,106.30000305175781
2018-07-31,108.56999969482422
2019-03-12,107.95999908447266
2019-02-08,110.73999786376953
2019-01-07,110.18000030517578
2018-12-06,107.19000244140625
2019-08-19,106.48999786376953
2019-07-18,106.02999877929688
2019-05-15,105.4000015258789
2019-09-20,107.80000305175781
2019-11-01,108.12000274658203
2020-04-07,108.55999755859375
2020-06-25,109.33000183105469
2020-06-16,109.70999908447266
2019-11-04,109.41999816894531
2020-01-22,109.23999786376953
2019-11-07,108.55999755859375
2020-04-13,108.48999786376953
2019-07-01,108.30000305175781
2019-05-30,107.36000061035156
2018-08-15,107.51000213623047
2018-10-18,106.91999816894531
2019-03-27,105.8499984741211
2019-01-22,107.1500015258789
2018-12-21,107.66999816894531
2019-09-03,109.2699966430664
2018-11-19,109.94000244140625
2019-08-02,110.44999694824219
2020-01-28,111.66999816894531
2020-04-16,111.69000244140625
2019-11-13,110.8499984741211
2020-01-31,111.01000213623047
2018-12-04,108.25
2018-11-02,108.2300033569336
2019-07-16,108.83999633789062
2018-08-30,108.9000015258789
2018-10-01,111.43000030517578
2019-06-14,112.12000274658203
2019-05-13,113.36000061035156
2019-04-11,113.69000244140625
2019-02-06,112.19000244140625
2019-09-18,113.05000305175781
2020-02-03,112.27999877929688
2020-04-22,114.0
2019-11-19,113.02999877929688
2020-02-06,114.80000305175781
2019-11-22,114.47000122070312
2019-03-25,114.77999877929688
2019-02-21,114.19000244140625
2018-12-19,114.75
2018-07-12,115.30000305175781
2018-09-14,115.41999816894531
2018-08-13,114.61000061035156
2018-10-16,112.62999725341797
2019-07-31,111.66000366210938
2019-05-28,111.13999938964844
2019-04-26,111.23999786376953
2020-04-28,105.3499984741211
2019-11-25,109.01000213623047
2020-02-12,108.91000366210938
2020-05-01,109.54000091552734
2020-05-04,111.68000030517578
2019-06-12,110.0999984741211
2019-04-09,108.93000030517578
2019-03-08,109.31999969482422
2019-02-04,107.7699966430664
2018-07-27,108.41000366210938
2018-08-28,106.55000305175781
2019-01-03,105.69000244140625
2019-08-15,108.11000061035156
2018-10-31,103.66000366210938
2019-09-16,105.44000244140625
2020-02-18,107.05000305175781
2020-05-07,106.4800033569336
2018-08-17,106.37000274658203
2019-12-04,107.37999725341797
2020-02-21,109.44000244140625
2018-12-17,111.80000305175781
2019-08-30,110.8499984741211
2018-11-15,109.41999816894531
2019-07-29,107.55000305175781
2019-06-27,108.0999984741211
2019-04-24,104.98999786376953
2018-07-10,107.08000183105469
2018-09-12,108.2699966430664
2019-02-19,101.80000305175781
2019-01-18,103.5999984741211
2020-02-24,102.16999816894531
2020-05-13,104.79000091552734
2019-12-10,106.2699966430664
2020-02-27,107.88999938964844
2019-12-13,110.33000183105469
2020-05-19,110.69999694824219
2019-03-06,113.0
2018-11-30,111.94000244140625
2019-08-13,105.81999969482422
2019-07-12,108.37999725341797
2019-06-10,104.80000305175781
2019-05-09,109.80000305175781
2018-07-25,110.88999938964844
2018-09-27,109.58000183105469
2018-10-29,108.25
2019-10-16,105.41000366210938
2019-12-16,103.75
2020-03-04,103.6500015258789
2020-05-22,103.05000305175781
2019-10-01,101.62999725341797
2019-12-19,97.68000030517578
2018-09-10,95.13999938964844
2019-05-24,99.30000305175781
2018-08-09,102.08999633789062
2019-04-22,101.29000091552734
2019-03-21,99.55000305175781
2019-01-16,100.0999984741211
2019-08-28,99.72000122070312
2018-11-13,101.63999938964844
2018-10-12,103.04000091552734
2019-06-25,103.86000061035156
2020-03-10,103.22000122070312
2020-05-28,103.19000244140625
2019-10-07,101.9000015258789
2020-03-13,102.51000213623047
2019-10-10,105.26000213623047
2020-03-16,105.0
2020-06-03,107.45999908447266
2018-11-28,106.75
2018-09-25,106.12000274658203
2018-07-23,106.86000061035156
2018-08-24,107.23999786376953
2019-07-10,106.26000213623047
2019-05-07,104.87999725341797
2019-04-05,104.62000274658203
2019-03-04,103.80000305175781
2019-01-31,103.77999877929688
2019-09-12,102.87000274658203
2019-12-31,106.05999755859375
2020-03-19,107.0
2020-01-03,105.19000244140625
2020-06-09,104.38999938964844
2019-02-15,106.19999694824219
2019-01-14,106.13999938964844
2018-07-06,107.5
2018-08-07,106.30999755859375
2018-10-10,107.91000366210938
2018-12-13,107.79000091552734
2019-08-26,107.86000061035156
2019-07-25,106.9000015258789
2019-05-22,110.05000305175781
2019-03-19,111.76000213623047
2020-01-06,111.26000213623047
2020-03-25,111.69000244140625
2020-06-12,112.04000091552734
2019-10-22,112.88999938964844
2020-01-09,113.0199966430664
2020-06-15,112.25
2019-10-25,111.87000274658203
2020-03-31,111.4000015258789
2020-06-18,109.16000366210938
2019-04-03,110.98999786376953
2018-08-22,112.81999969482422
2018-10-25,114.12999725341797
2019-01-29,114.54000091552734
2018-12-28,115.33999633789062
2018-11-26,116.16999816894531
