Dates,MSFT
2018-06-20,26180800.0
2018-06-21,23198200.0
2018-06-25,38923100.0
2018-06-22,35433300.0
2018-06-26,26897200.0
2018-06-27,31298400.0
2018-06-28,26650700.0
2018-06-29,28053200.0
2018-07-02,19564500.0
2018-07-03,14670300.0
2018-07-05,18977400.0
2018-07-16,19234600.0
2018-09-18,18212000.0
2019-01-24,19293100.0
2019-09-05,19644600.0
2018-11-21,24335900.0
2020-01-13,24635200.0
2020-04-01,21786900.0
2020-06-19,25901700.0
2019-10-29,29493900.0
2020-01-16,40171600.0
2020-06-22,56004000.0
2018-10-03,29707000.0
2018-07-31,26316600.0
2019-03-12,30702100.0
2019-02-08,31372100.0
2019-01-07,37005300.0
2018-12-06,34668300.0
2019-08-19,27655200.0
2019-07-18,23628700.0
2019-05-15,26104300.0
2019-09-20,18659600.0
2019-11-01,20265900.0
2020-04-07,16080200.0
2020-06-25,15487500.0
2020-06-16,13677200.0
2019-11-04,18183700.0
2020-01-22,18472500.0
2019-11-07,16788300.0
2020-04-13,29982800.0
2019-07-01,21384300.0
2019-05-30,18061500.0
2018-08-15,17914200.0
2018-10-18,22881900.0
2019-03-27,18000600.0
2019-01-22,18167700.0
2018-12-21,17234000.0
2019-09-03,19662300.0
2018-11-19,19151500.0
2019-08-02,20818000.0
2020-01-28,22798700.0
2020-04-16,23222700.0
2019-11-13,22634600.0
2020-01-31,32872400.0
2018-12-04,23477600.0
2018-11-02,22498600.0
2019-07-16,20727900.0
2018-08-30,24301800.0
2018-10-01,18891100.0
2019-06-14,26055600.0
2019-05-13,19122300.0
2019-04-11,20736500.0
2019-02-06,22170900.0
2019-09-18,21728400.0
2020-02-03,23714500.0
2020-04-22,71229700.0
2019-11-19,27334500.0
2020-02-06,22668000.0
2019-11-22,19352000.0
2019-03-25,19091300.0
2019-02-21,21647800.0
2018-12-19,18883100.0
2018-07-12,20787200.0
2018-09-14,16648000.0
2018-08-13,34821700.0
2018-10-16,29068900.0
2019-07-31,29640600.0
2019-05-28,26198600.0
2019-04-26,61376300.0
2020-04-28,63904300.0
2019-11-25,47742100.0
2020-02-12,32068100.0
2020-05-01,31610200.0
2020-05-04,26548200.0
2019-06-12,32506200.0
2019-04-09,32785500.0
2019-03-08,26545600.0
2019-02-04,43770400.0
2018-07-27,63897800.0
2018-08-28,61646800.0
2019-01-03,55523100.0
2019-08-15,55162000.0
2018-10-31,65350900.0
2019-09-16,51062400.0
2020-02-18,33384200.0
2020-05-07,37680200.0
2018-08-17,27922100.0
2019-12-04,24340200.0
2020-02-21,37901700.0
2018-12-17,25644100.0
2019-08-30,32039200.0
2018-11-15,33621800.0
2019-07-29,35374600.0
2019-06-27,39495100.0
2019-04-24,38505200.0
2018-07-10,33502100.0
2018-09-12,44773900.0
2019-02-19,64052500.0
2019-01-18,28130600.0
2020-02-24,13823100.0
2020-05-13,32336200.0
2019-12-10,29124500.0
2020-02-27,46788500.0
2019-12-13,28123200.0
2020-05-19,33665600.0
2019-03-06,34732800.0
2018-11-30,45197000.0
2019-08-13,49107400.0
2019-07-12,45044900.0
2019-06-10,40801500.0
2019-05-09,42381900.0
2018-07-25,36183000.0
2018-09-27,31333400.0
2018-10-29,47043100.0
2019-10-16,56957300.0
2019-12-16,49319200.0
2020-03-04,68198200.0
2020-05-22,70334200.0
2019-10-01,111242100.0
2019-12-19,43935200.0
2018-09-10,51634800.0
2019-05-24,49498500.0
2018-08-09,38196300.0
2019-04-22,33173800.0
2019-03-21,35329300.0
2019-01-16,42579100.0
2019-08-28,44060600.0
2018-11-13,35656100.0
2018-10-12,31514400.0
2019-06-25,32280800.0
2020-03-10,30067600.0
2020-05-28,28314200.0
2019-10-07,28437100.0
2020-03-13,31587600.0
2019-10-10,29853900.0
2020-03-16,28393000.0
2020-06-03,37427600.0
2018-11-28,32371300.0
2018-09-25,25874300.0
2018-07-23,23164800.0
2018-08-24,31225600.0
2019-07-10,29476700.0
2019-05-07,31490500.0
2019-04-05,49471900.0
2019-03-04,55636400.0
2019-01-31,35535700.0
2019-09-12,31315100.0
2019-12-31,27325400.0
2020-03-19,20609800.0
2020-01-03,29760700.0
2020-06-09,21461100.0
2019-02-15,18914100.0
2019-01-14,25056600.0
2018-07-06,18394900.0
2018-08-07,21784700.0
2018-10-10,26606900.0
2018-12-13,18038500.0
2019-08-26,21607700.0
2019-07-25,29063200.0
2019-05-22,27763200.0
2019-03-19,23750600.0
2020-01-06,21536700.0
2020-03-25,21487100.0
2020-06-12,29083900.0
2019-10-22,23501200.0
2020-01-09,26608000.0
2020-06-15,19538300.0
2019-10-25,17687000.0
2020-03-31,25339000.0
2020-06-18,22818400.0
2019-04-03,26491600.0
2018-08-22,26132700.0
2018-10-25,35513800.0
2019-01-29,30763400.0
2018-12-28,54681100.0
2018-11-26,31207600.0
2019-08-09,37588700.0
2019-07-08,28113300.0
2019-06-06,29854400.0
2019-09-10,33624500.0
2020-01-15,27067100.0
2020-04-03,26097700.0
2019-10-31,22733400.0
2020-04-06,18334800.0
2020-06-24,25399800.0
2018-11-09,22789100.0
2019-07-23,18142300.0
2019-06-21,22860700.0
2019-05-20,20112800.0
2019-04-18,15826200.0
2018-09-06,15116200.0
2018-10-08,17612000.0
2019-02-13,16477200.0
2018-12-11,14209100.0
2019-09-25,19745100.0
2020-01-21,15792600.0
2020-04-09,14071800.0
2019-11-06,19300900.0
2020-01-24,27991000.0
2020-01-27,15648700.0
2020-04-15,24025500.0
2018-12-26,31257000.0
2019-08-07,38033900.0
2019-06-04,23654900.0
2018-09-21,16324200.0
2018-07-19,24166500.0
2018-08-20,26821700.0
2018-10-23,27350200.0
2019-05-03,24911100.0
2019-04-01,24239800.0
2019-02-28,36017700.0
2019-11-12,28419000.0
2020-01-30,27235800.0
2019-11-15,30915100.0
2020-04-21,33944900.0
2019-04-16,25266300.0
2019-03-15,24722700.0
2019-02-11,30112200.0
2019-01-10,25770500.0
2019-08-22,23706900.0
2018-11-07,15293300.0
2018-08-03,15396500.0
2018-09-04,23603800.0
2019-06-19,14123400.0
2019-09-23,23128400.0
2019-11-18,22763100.0
2020-02-05,16829600.0
2020-04-24,26646800.0
2019-03-29,37983600.0
2019-11-21,29382600.0
2020-04-27,24926100.0
2020-02-11,21459000.0
2020-04-30,33885600.0
2019-05-01,26477100.0
2019-02-26,23913700.0
2019-01-25,17084700.0
2018-12-24,17200800.0
2019-09-06,17821700.0
2018-07-17,14517800.0
2018-09-19,25934500.0
2019-08-05,23744400.0
2019-10-08,33042600.0
2019-12-11,36727900.0
2019-11-27,20628800.0
2020-02-14,33327400.0
2020-05-06,23657700.0
2019-01-08,16557500.0
2018-12-07,30043000.0
2019-08-20,22654200.0
2018-11-05,15237800.0
2019-07-19,13629300.0
2018-10-04,18141100.0
2019-06-17,16779700.0
2019-05-16,19953100.0
2018-08-01,24204400.0
2019-03-13,22327900.0
2019-12-03,18936800.0
2020-02-20,16651500.0
2019-12-06,22726100.0
2020-05-12,20211000.0
2019-12-09,30808700.0
2020-02-26,48992400.0
2020-05-15,25074900.0
2019-03-28,18034600.0
2018-09-17,20738300.0
2018-08-16,18356900.0
2018-10-19,19037600.0
2019-04-29,16605900.0
2019-01-23,16846500.0
2019-09-04,38598800.0
2018-11-20,40557500.0
2019-07-02,30791600.0
2019-05-31,42749600.0
2019-12-12,32696700.0
2020-05-18,33414500.0
2019-09-27,27496500.0
2020-03-03,23466700.0
2020-05-21,20476600.0
2019-05-14,25154600.0
2018-08-31,32527300.0
2018-07-30,28074400.0
2018-10-02,24449100.0
2019-04-12,24355700.0
2019-03-11,21170800.0
2019-02-07,14970300.0
2019-07-17,18697000.0
2019-09-19,38508600.0
2019-10-21,20312600.0
2019-12-18,23102100.0
2020-03-06,17393300.0
2019-10-03,20168700.0
2020-03-09,23940100.0
2020-05-27,18869300.0
2019-12-24,17995900.0
2020-03-12,26101800.0
2018-12-20,20824500.0
2019-08-01,25773900.0
2018-08-14,28903400.0
2018-07-13,24726100.0
2018-10-17,27010000.0
2019-05-29,23363100.0
2019-03-26,16731400.0
2019-02-22,17814200.0
2019-10-04,23982100.0
2019-11-05,35772100.0
2019-12-27,39167300.0
2020-06-02,17139300.0
2019-12-30,29773200.0
2020-03-18,21382000.0
2020-06-05,17456600.0
2019-07-15,22477700.0
2018-12-03,17280900.0
2019-06-13,21466600.0
2019-01-04,30521700.0
2018-08-29,24132900.0
2019-02-05,22897700.0
2018-11-01,15303700.0
2019-08-16,25550500.0
2019-04-10,19749900.0
2019-09-17,17654600.0
2019-10-15,25446000.0
2020-01-02,13304300.0
2020-06-08,19695700.0
2019-10-18,20751600.0
2020-03-24,21460600.0
2020-06-11,32273500.0
2020-01-08,20078200.0
2019-04-25,27431000.0
2019-07-30,29844600.0
2019-02-20,37029300.0
2018-07-11,25959700.0
2018-09-13,35280100.0
2018-10-15,20589500.0
2019-06-28,18496600.0
2018-12-18,24605100.0
2018-11-16,33128400.0
2019-10-02,16912000.0
2020-03-27,18250200.0
2020-01-10,16575800.0
2019-10-24,17786700.0
2020-03-30,16732700.0
2020-06-17,14362600.0
2020-01-14,18641600.0
2020-04-02,16919200.0
2019-01-02,19729800.0
2019-08-14,23485700.0
2018-10-30,21534000.0
2019-06-11,23935700.0
2019-05-10,25696800.0
2019-04-08,18576100.0
2018-08-27,15901800.0
2018-07-26,22420900.0
2018-09-28,24620100.0
2019-03-07,15184400.0
2019-10-30,11977300.0
2020-01-17,27418400.0
2020-06-23,24066000.0
2020-04-08,17574700.0
2020-06-26,17869100.0
2019-03-22,16403500.0
