Dates,MSFT
2018-06-20,101.87000274658203
2018-06-21,101.13999938964844
2018-06-25,100.41000366210938
2018-06-22,98.38999938964844
2018-06-26,99.08000183105469
2018-06-27,97.54000091552734
2018-06-28,98.62999725341797
2018-06-29,98.61000061035156
2018-07-02,100.01000213623047
2018-07-03,99.05000305175781
2018-07-05,99.76000213623047
2018-07-16,101.16000366210938
2018-09-18,101.8499984741211
2019-01-24,102.12000274658203
2019-09-05,101.9800033569336
2018-11-21,104.19000244140625
2020-01-13,105.43000030517578
2020-04-01,104.91000366210938
2020-06-19,105.94999694824219
2019-10-29,105.12000274658203
2020-01-16,104.4000015258789
2020-06-22,106.2699966430664
2018-10-03,107.97000122070312
2018-07-31,107.66000366210938
2019-03-12,110.83000183105469
2019-02-08,109.62000274658203
2019-01-07,107.68000030517578
2018-12-06,105.37000274658203
2019-08-19,106.08000183105469
2019-07-18,106.27999877929688
2019-05-15,107.56999969482422
2019-09-20,108.04000091552734
2019-11-01,108.12999725341797
2020-04-07,108.87999725341797
2020-06-25,109.48999786376953
2020-06-16,109.66999816894531
2019-11-04,109.0
2020-01-22,108.20999908447266
2019-11-07,109.55999755859375
2020-04-13,107.66000366210938
2019-07-01,107.63999938964844
2019-05-30,107.58000183105469
2018-08-15,106.87000274658203
2018-10-18,105.9800033569336
2019-03-27,107.05999755859375
2019-01-22,107.55999755859375
2018-12-21,108.4000015258789
2019-09-03,109.5999984741211
2018-11-19,110.26000213623047
2019-08-02,112.0199966430664
2020-01-28,111.94999694824219
2020-04-16,112.33000183105469
2019-11-13,111.70999908447266
2020-01-31,108.48999786376953
2018-12-04,108.73999786376953
2018-11-02,108.20999908447266
2019-07-16,109.37999725341797
2018-08-30,111.23999786376953
2018-10-01,111.70999908447266
2019-06-14,112.91000366210938
2019-05-13,113.37000274658203
2019-04-11,112.13999938964844
2019-02-06,113.20999908447266
2019-09-18,111.69999694824219
2020-02-03,113.56999969482422
2020-04-22,114.26000213623047
2019-11-19,114.66999816894531
2020-02-06,114.44999694824219
2019-11-22,113.9800033569336
2019-03-25,114.41000366210938
2019-02-21,114.37000274658203
2018-12-19,115.61000061035156
2018-07-12,115.1500015258789
2018-09-14,115.16999816894531
2018-08-13,112.79000091552734
2018-10-16,112.12999725341797
2019-07-31,110.8499984741211
2019-05-28,112.26000213623047
2019-04-26,106.16000366210938
2020-04-28,105.91000366210938
2019-11-25,109.56999969482422
2020-02-12,107.5999984741211
2020-05-01,111.0
2020-05-04,110.70999908447266
2019-06-12,108.5
2019-04-09,108.66000366210938
2019-03-08,109.62999725341797
2019-02-04,108.0999984741211
2018-07-27,102.31999969482422
2018-08-28,108.30000305175781
2019-01-03,106.95999908447266
2019-08-15,103.8499984741211
2018-10-31,103.7300033569336
2019-09-16,106.80999755859375
2020-02-18,105.91999816894531
2020-05-07,106.16000366210938
2018-08-17,107.51000213623047
2019-12-04,107.72000122070312
2020-02-21,111.95999908447266
2018-12-17,111.75
2019-08-30,109.56999969482422
2018-11-15,106.87000274658203
2019-07-29,106.94000244140625
2019-06-27,104.97000122070312
2019-04-24,107.27999877929688
2018-07-10,108.29000091552734
2018-09-12,104.62000274658203
2019-02-19,101.70999908447266
2019-01-18,103.11000061035156
2020-02-24,103.06999969482422
2020-05-13,106.47000122070312
2019-12-10,107.13999938964844
2020-02-27,111.12000274658203
2019-12-13,110.19000244140625
2020-05-19,110.88999938964844
2019-03-06,112.08999633789062
2018-11-30,108.5199966430664
2019-08-13,109.19000244140625
2019-07-12,104.81999969482422
2019-06-10,107.58999633789062
2019-05-09,108.58999633789062
2018-07-25,109.08000183105469
2018-09-27,109.44999694824219
2018-10-29,106.02999877929688
2019-10-16,102.88999938964844
2019-12-16,103.97000122070312
2020-03-04,103.69000244140625
2020-05-22,101.51000213623047
2019-10-01,98.2300033569336
2019-12-19,94.12999725341797
2018-09-10,100.55999755859375
2019-05-24,101.18000030517578
2018-08-09,100.38999938964844
2019-04-22,101.56999969482422
2019-03-21,101.12000274658203
2019-01-16,97.4000015258789
2019-08-28,101.93000030517578
2018-11-13,102.05999755859375
2018-10-12,102.80000305175781
2019-06-25,104.2699966430664
2020-03-10,103.5999984741211
2020-05-28,102.80000305175781
2019-10-07,102.05000305175781
2020-03-13,105.01000213623047
2019-10-10,105.37999725341797
2020-03-16,106.12000274658203
2020-06-03,107.70999908447266
2018-11-28,105.68000030517578
2018-09-25,106.70999908447266
2018-07-23,106.19999694824219
2018-08-24,107.16999816894531
2019-07-10,105.08000183105469
2019-05-07,102.94000244140625
2019-04-05,106.37999725341797
2019-03-04,104.43000030517578
2019-01-31,102.77999877929688
2019-09-12,105.73999786376953
2019-12-31,107.22000122070312
2020-03-19,106.02999877929688
2020-01-03,105.2699966430664
2020-06-09,105.66999816894531
2019-02-15,105.25
2019-01-14,106.88999938964844
2018-07-06,106.80999755859375
2018-08-07,106.9000015258789
2018-10-10,108.22000122070312
2018-12-13,108.16999816894531
2019-08-26,107.1500015258789
2019-07-25,109.41000366210938
2019-05-22,110.97000122070312
2019-03-19,111.58999633789062
2020-01-06,112.36000061035156
2020-03-25,112.16999816894531
2020-06-12,112.02999877929688
2019-10-22,112.52999877929688
2020-01-09,112.26000213623047
