Dates,ABMD
2018-06-20,441.1000061035156
2018-06-21,450.05999755859375
2018-06-25,443.1499938964844
2018-06-22,420.739990234375
2018-06-26,419.2300109863281
2018-06-27,429.20001220703125
2018-06-28,409.0899963378906
2018-06-29,419.1400146484375
2018-07-02,407.0
2018-07-03,414.9100036621094
2018-07-05,410.20001220703125
2018-07-16,400.7200012207031
2018-09-18,407.8800048828125
2019-01-24,413.0899963378906
2019-09-05,402.6700134277344
2018-11-21,408.19000244140625
2020-01-13,416.2300109863281
2020-04-01,419.3299865722656
2020-06-19,417.6099853515625
2019-10-29,430.19000244140625
2020-01-16,431.94000244140625
2020-06-22,427.0
2018-10-03,423.5
2018-07-31,434.0
2019-03-12,423.79998779296875
2019-02-08,414.8699951171875
2019-01-07,390.5299987792969
2018-12-06,365.9100036621094
2019-08-19,358.3999938964844
2019-07-18,353.1000061035156
2019-05-15,361.0199890136719
2019-09-20,393.7200012207031
2019-11-01,376.1600036621094
2020-04-07,378.94000244140625
2020-06-25,376.4200134277344
2020-06-16,377.0
2019-11-04,379.4599914550781
2020-01-22,377.6700134277344
2019-11-07,368.4200134277344
2020-04-13,367.3599853515625
2019-07-01,364.9200134277344
2019-05-30,369.1600036621094
2018-08-15,358.2699890136719
2018-10-18,364.07000732421875
2019-03-27,362.1099853515625
2019-01-22,368.57000732421875
2018-12-21,378.07000732421875
2019-09-03,384.0
2018-11-19,381.260009765625
2019-08-02,388.2300109863281
2020-01-28,399.8900146484375
2020-04-16,406.7799987792969
2019-11-13,402.05999755859375
2020-01-31,410.70001220703125
2018-12-04,385.1000061035156
2018-11-02,378.44000244140625
2019-07-16,381.2699890136719
2018-08-30,388.1000061035156
2018-10-01,397.0
2019-06-14,396.17999267578125
2019-05-13,392.32000732421875
2019-04-11,395.6000061035156
2019-02-06,369.05999755859375
2019-09-18,377.0
2020-02-03,377.75
2020-04-22,381.3299865722656
2019-11-19,381.0299987792969
2020-02-06,420.0
2019-11-22,443.489990234375
2019-03-25,445.5
2019-02-21,441.2900085449219
2018-12-19,452.8999938964844
2018-07-12,442.9200134277344
2018-09-14,429.5899963378906
2018-08-13,424.80999755859375
2018-10-16,418.989990234375
2019-07-31,414.1700134277344
2019-05-28,397.3500061035156
2019-04-26,394.6400146484375
2020-04-28,372.0
2019-11-25,381.57000732421875
2020-02-12,383.7799987792969
2020-05-01,376.2799987792969
2020-05-04,391.57000732421875
2019-06-12,389.4700012207031
2019-04-09,388.4100036621094
2019-03-08,363.0199890136719
2019-02-04,358.8900146484375
2018-07-27,369.4800109863281
2018-08-28,352.0
2019-01-03,320.1000061035156
2019-08-15,331.3900146484375
2018-10-31,320.1499938964844
2019-09-16,338.0
2020-02-18,357.0
2020-05-07,390.0
2018-08-17,385.8500061035156
2019-12-04,392.7799987792969
2020-02-21,410.0
2018-12-17,409.79998779296875
2019-08-30,413.32000732421875
2018-11-15,388.989990234375
2019-07-29,342.3999938964844
2019-06-27,333.29998779296875
2019-04-24,310.5799865722656
2018-07-10,318.0400085449219
2018-09-12,316.0299987792969
2019-02-19,288.9200134277344
2019-01-18,306.6199951171875
2020-02-24,299.8800048828125
2020-05-13,301.3999938964844
2019-12-10,309.29998779296875
2020-02-27,316.6400146484375
2019-12-13,331.6499938964844
2020-05-19,334.3599853515625
2019-03-06,339.6199951171875
2018-11-30,340.8299865722656
2019-08-13,318.0
2019-07-12,331.55999755859375
2019-06-10,317.8999938964844
2019-05-09,330.0
2018-07-25,335.0
2018-09-27,332.4200134277344
2018-10-29,313.6300048828125
2019-10-16,312.57000732421875
2019-12-16,305.1099853515625
2020-03-04,305.0
2020-05-22,296.1400146484375
2019-10-01,283.7900085449219
2019-12-19,286.0400085449219
2018-09-10,282.0
2019-05-24,302.9200134277344
2018-08-09,317.4700012207031
2019-04-22,320.29998779296875
2019-03-21,315.94000244140625
2019-01-16,307.25
2019-08-28,305.30999755859375
2018-11-13,313.5
2018-10-12,318.45001220703125
2019-06-25,324.739990234375
2020-03-10,334.1000061035156
2020-05-28,332.7699890136719
2019-10-07,321.8999938964844
2020-03-13,316.6199951171875
2019-10-10,326.05999755859375
2020-03-16,324.05999755859375
2020-06-03,335.20001220703125
2018-11-28,333.54998779296875
2018-09-25,339.1400146484375
2018-07-23,337.5
2018-08-24,349.989990234375
