Dates,ARE
2018-06-20,126.5999984741211
2018-06-21,126.41000366210938
2018-06-25,127.08000183105469
2018-06-22,125.94000244140625
2018-06-26,125.5999984741211
2018-06-27,124.81999969482422
2018-06-28,126.33999633789062
2018-06-29,126.16999816894531
2018-07-02,125.68000030517578
2018-07-03,126.6500015258789
2018-07-05,127.6500015258789
2018-07-16,127.66999816894531
2018-09-18,128.1999969482422
2019-01-24,127.37999725341797
2019-09-05,128.02999877929688
2018-11-21,127.93000030517578
2020-01-13,127.91000366210938
2020-04-01,126.95999908447266
2020-06-19,125.7699966430664
2019-10-29,125.63999938964844
2020-01-16,126.91999816894531
2020-06-22,124.69000244140625
2018-10-03,123.55000305175781
2018-07-31,122.87000274658203
2019-03-12,123.33999633789062
2019-02-08,123.30000305175781
2019-01-07,122.55000305175781
2018-12-06,122.81999969482422
2019-08-19,127.44000244140625
2019-07-18,128.1699981689453
2019-05-15,126.05000305175781
2019-09-20,127.45999908447266
2019-11-01,128.2100067138672
2020-04-07,127.4800033569336
2020-06-25,126.83999633789062
2020-06-16,126.47000122070312
2019-11-04,125.20999908447266
2020-01-22,124.18000030517578
2019-11-07,124.5
2020-04-13,126.73999786376953
2019-07-01,128.6199951171875
2019-05-30,129.75999450683594
2018-08-15,128.41000366210938
2018-10-18,127.29000091552734
2019-03-27,126.5199966430664
2019-01-22,126.5199966430664
2018-12-21,126.62999725341797
2019-09-03,126.3499984741211
2018-11-19,128.35000610351562
2019-08-02,128.0800018310547
2020-01-28,127.3499984741211
2020-04-16,128.35000610351562
2019-11-13,125.9800033569336
2020-01-31,127.51000213623047
2018-12-04,128.61000061035156
2018-11-02,126.6500015258789
2019-07-16,127.38999938964844
2018-08-30,127.95999908447266
2018-10-01,127.63999938964844
2019-06-14,128.02000427246094
2019-05-13,126.98999786376953
2019-04-11,127.58000183105469
2019-02-06,126.5999984741211
2019-09-18,125.44000244140625
2020-02-03,126.23999786376953
2020-04-22,126.80000305175781
2019-11-19,124.3499984741211
2020-02-06,123.23999786376953
2019-11-22,122.43000030517578
2019-03-25,122.7300033569336
2019-02-21,125.79000091552734
2018-12-19,123.36000061035156
2018-07-12,123.4000015258789
2018-09-14,122.9800033569336
2018-08-13,122.66000366210938
2018-10-16,122.87999725341797
2019-07-31,125.3499984741211
2019-05-28,125.95999908447266
2019-04-26,124.70999908447266
2020-04-28,119.79000091552734
2019-11-25,120.04000091552734
2020-02-12,121.05999755859375
2020-05-01,123.44999694824219
2020-05-04,122.56999969482422
2019-06-12,121.79000091552734
2019-04-09,122.41999816894531
2019-03-08,120.55999755859375
2019-02-04,122.5
2018-07-27,123.23999786376953
2018-08-28,124.66000366210938
2019-01-03,121.08999633789062
2019-08-15,123.19000244140625
2018-10-31,123.94999694824219
2019-09-16,122.2300033569336
2020-02-18,122.29000091552734
2020-05-07,120.12000274658203
