Dates,ARE
2018-06-20,715700.0
2018-06-21,682100.0
2018-06-25,1155900.0
2018-06-22,885700.0
2018-06-26,585500.0
2018-06-27,714900.0
2018-06-28,692700.0
2018-06-29,945800.0
2018-07-02,542700.0
2018-07-03,319600.0
2018-07-05,825000.0
2018-07-16,480300.0
2018-09-18,769000.0
2019-01-24,556200.0
2019-09-05,734800.0
2018-11-21,1079300.0
2020-01-13,495600.0
2020-04-01,495900.0
2020-06-19,497800.0
2019-10-29,499500.0
2020-01-16,378400.0
2020-06-22,439600.0
2018-10-03,561100.0
2018-07-31,487000.0
2019-03-12,314600.0
2019-02-08,346600.0
2019-01-07,566200.0
2018-12-06,615000.0
2019-08-19,1437500.0
2019-07-18,679000.0
2019-05-15,662700.0
2019-09-20,429100.0
2019-11-01,567400.0
2020-04-07,398200.0
2020-06-25,261800.0
2020-06-16,328000.0
2019-11-04,411900.0
2020-01-22,499900.0
2019-11-07,592100.0
2020-04-13,464000.0
2019-07-01,587400.0
2019-05-30,433500.0
2018-08-15,441400.0
2018-10-18,516900.0
2019-03-27,523100.0
2019-01-22,347700.0
2018-12-21,392800.0
2019-09-03,439300.0
2018-11-19,420900.0
2019-08-02,459500.0
2020-01-28,712100.0
2020-04-16,537300.0
2019-11-13,455700.0
2020-01-31,882800.0
2018-12-04,1152800.0
2018-11-02,530000.0
2019-07-16,365700.0
2018-08-30,435700.0
2018-10-01,303700.0
2019-06-14,555300.0
2019-05-13,395400.0
2019-04-11,704500.0
2019-02-06,352900.0
2019-09-18,451000.0
2020-02-03,464800.0
2020-04-22,1484500.0
2019-11-19,397200.0
2020-02-06,608900.0
2019-11-22,711900.0
2019-03-25,599900.0
2019-02-21,792800.0
2018-12-19,675100.0
2018-07-12,359900.0
2018-09-14,510500.0
2018-08-13,403900.0
2018-10-16,502800.0
2019-07-31,852700.0
2019-05-28,811500.0
2019-04-26,724700.0
2020-04-28,1062900.0
2019-11-25,872000.0
2020-02-12,642900.0
2020-05-01,586300.0
2020-05-04,625600.0
2019-06-12,436500.0
2019-04-09,644400.0
2019-03-08,580900.0
2019-02-04,603800.0
2018-07-27,463300.0
2018-08-28,406000.0
2019-01-03,447800.0
2019-08-15,443400.0
2018-10-31,864500.0
2019-09-16,922500.0
2020-02-18,754800.0
2020-05-07,656700.0
2018-08-17,756200.0
2019-12-04,468500.0
2020-02-21,432600.0
2018-12-17,290500.0
2019-08-30,574000.0
2018-11-15,375100.0
2019-07-29,583700.0
2019-06-27,503800.0
2019-04-24,425700.0
2018-07-10,685100.0
2018-09-12,699700.0
2019-02-19,795100.0
2019-01-18,514500.0
2020-02-24,125600.0
2020-05-13,405800.0
2019-12-10,517600.0
2020-02-27,513100.0
2019-12-13,684300.0
2020-05-19,1376900.0
2019-03-06,816400.0
2018-11-30,765800.0
2019-08-13,1264800.0
2019-07-12,816800.0
2019-06-10,798400.0
2019-05-09,938800.0
2018-07-25,784800.0
2018-09-27,735600.0
2018-10-29,792700.0
2019-10-16,1210200.0
2019-12-16,773300.0
2020-03-04,1082100.0
2020-05-22,914200.0
2019-10-01,1795700.0
2019-12-19,449300.0
2018-09-10,637100.0
2019-05-24,657700.0
2018-08-09,932100.0
2019-04-22,675900.0
2019-03-21,544700.0
2019-01-16,809700.0
2019-08-28,685900.0
2018-11-13,636700.0
2018-10-12,974000.0
2019-06-25,788400.0
2020-03-10,620700.0
2020-05-28,702000.0
2019-10-07,685100.0
2020-03-13,357600.0
2019-10-10,726900.0
2020-03-16,1019800.0
2020-06-03,772400.0
2018-11-28,764600.0
2018-09-25,737700.0
2018-07-23,429000.0
2018-08-24,508900.0
2019-07-10,653700.0
2019-05-07,693800.0
2019-04-05,697700.0
2019-03-04,869700.0
2019-01-31,811200.0
2019-09-12,841300.0
2019-12-31,885300.0
2020-03-19,762600.0
2020-01-03,974300.0
2020-06-09,561200.0
2019-02-15,730200.0
2019-01-14,785200.0
2018-07-06,573900.0
2018-08-07,527100.0
2018-10-10,628700.0
2018-12-13,486400.0
2019-08-26,540600.0
2019-07-25,561900.0
2019-05-22,583200.0
2019-03-19,458600.0
2020-01-06,607000.0
2020-03-25,659700.0
2020-06-12,1150300.0
2019-10-22,742400.0
2020-01-09,670900.0
2020-06-15,697700.0
2019-10-25,671500.0
2020-03-31,705400.0
2020-06-18,731000.0
2019-04-03,783900.0
2018-08-22,832500.0
2018-10-25,793200.0
2019-01-29,765200.0
2018-12-28,2373900.0
2018-11-26,734300.0
2019-08-09,627900.0
2019-07-08,748800.0
2019-06-06,594600.0
2019-09-10,436400.0
2020-01-15,363000.0
2020-04-03,416800.0
2019-10-31,412100.0
2020-04-06,432100.0
2020-06-24,755400.0
2018-11-09,845200.0
2019-07-23,651900.0
2019-06-21,714500.0
2019-05-20,373900.0
2019-04-18,378800.0
2018-09-06,417100.0
2018-10-08,347400.0
2019-02-13,616500.0
2018-12-11,508000.0
2019-09-25,515400.0
2020-01-21,351100.0
2020-04-09,874800.0
2019-11-06,1122700.0
2020-01-24,747400.0
2020-01-27,670200.0
2020-04-15,681700.0
2018-12-26,406700.0
2019-08-07,399300.0
2019-06-04,290700.0
2018-09-21,554300.0
2018-07-19,891400.0
2018-08-20,555900.0
2018-10-23,624000.0
2019-05-03,532500.0
2019-04-01,325600.0
2019-02-28,432500.0
2019-11-12,557800.0
2020-01-30,543600.0
2019-11-15,538400.0
2020-04-21,657800.0
2019-04-16,611800.0
2019-03-15,3376600.0
2019-02-11,1376400.0
2019-01-10,516600.0
2019-08-22,597100.0
2018-11-07,864300.0
2018-08-03,467300.0
2018-09-04,1115300.0
2019-06-19,978200.0
2019-09-23,1279300.0
2019-11-18,740100.0
2020-02-05,534800.0
2020-04-24,555000.0
2019-03-29,813100.0
2019-11-21,810000.0
2020-04-27,673200.0
2020-02-11,456900.0
2020-04-30,402700.0
2019-05-01,341500.0
2019-02-26,545100.0
2019-01-25,364500.0
2018-12-24,353100.0
2019-09-06,644600.0
2018-07-17,1490500.0
2018-09-19,1126700.0
2019-08-05,978800.0
2019-10-08,1056400.0
2019-12-11,6812200.0
2019-11-27,1250200.0
2020-02-14,1279300.0
2020-05-06,1687800.0
