Dates,AMAT
2018-06-20,46.88719177246094
2018-06-21,47.28289794921875
2018-06-25,46.288787841796875
2018-06-22,45.08234786987305
2018-06-26,45.043739318847656
2018-06-27,43.67322540283203
2018-06-28,43.711830139160156
2018-06-29,44.58047103881836
2018-07-02,44.08824157714844
2018-07-03,43.2389030456543
2018-07-05,43.856597900390625
2018-07-16,44.52256393432617
2018-09-18,44.89896774291992
2019-01-24,45.111305236816406
2019-09-05,43.624969482421875
2018-11-21,44.08824157714844
2020-01-13,44.52256393432617
2020-04-01,44.696285247802734
2020-06-19,45.65178680419922
2019-10-29,46.59764099121094
2020-01-16,45.043739318847656
2020-06-22,45.1306037902832
2018-10-03,44.812103271484375
2018-07-31,44.31022644042969
2019-03-12,44.35847854614258
2019-02-08,45.52631378173828
2019-01-07,46.616939544677734
2018-12-06,46.24052810668945
2019-08-19,46.935447692871094
2019-07-18,46.29844665527344
2019-05-15,46.433563232421875
2019-09-20,47.138126373291016
2019-11-01,47.75582504272461
2020-04-07,47.900596618652344
2020-06-25,48.43143844604492
2020-06-16,47.44697189331055
2019-11-04,46.45286560058594
2020-01-22,46.56868362426758
2019-11-07,46.694156646728516
2020-04-13,45.854469299316406
2019-07-01,45.77725601196289
2019-05-30,42.24479675292969
2018-08-15,42.013153076171875
2018-10-18,42.23514175415039
2019-03-27,41.6824836730957
2019-01-22,41.488563537597656
2018-12-21,41.430389404296875
2019-09-03,42.41936492919922
2018-11-19,42.080013275146484
2019-08-02,41.789127349853516
2020-01-28,41.82791519165039
2020-04-16,41.711570739746094
2019-11-13,41.323726654052734
2020-01-31,41.20737838745117
2018-12-04,39.04520034790039
2018-11-02,38.63798141479492
2019-07-16,38.39558410644531
2018-08-30,37.98835754394531
2018-10-01,37.22238540649414
2019-06-14,37.707176208496094
2019-05-13,37.910789489746094
2019-04-11,37.5229606628418
2019-02-06,37.99805450439453
2019-09-18,37.85261535644531
2020-02-03,38.19197082519531
2020-04-22,38.42467498779297
2019-11-19,37.910789489746094
2020-02-06,37.40660858154297
2019-11-22,37.096336364746094
2019-03-25,37.1836051940918
2019-02-21,37.47447204589844
2018-12-19,37.17390823364258
2018-07-12,37.71687698364258
2018-09-14,37.73625946044922
2018-08-13,36.73759078979492
2018-10-16,36.107364654541016
2019-07-31,35.47713088989258
2019-05-28,34.63359069824219
2019-04-26,33.38282775878906
2020-04-28,31.792707443237305
2019-11-25,32.66532897949219
2020-02-12,32.413238525390625
2020-05-01,33.70278549194336
2020-05-04,33.89670944213867
2019-06-12,32.888336181640625
2019-04-09,33.24708557128906
2019-03-08,32.510196685791016
2019-02-04,32.50050735473633
2018-07-27,30.842512130737305
2018-08-28,31.647266387939453
2019-01-03,31.375789642333984
2019-08-15,30.173500061035156
2018-10-31,31.433961868286133
2019-09-16,31.879966735839844
2020-02-18,34.274845123291016
2020-05-07,34.19728088378906
2018-08-17,33.27617263793945
2019-12-04,33.809444427490234
2020-02-21,34.177886962890625
2018-12-17,33.877315521240234
2019-08-30,33.23738479614258
2018-11-15,31.627880096435547
2019-07-29,32.47141647338867
2019-06-27,32.558677673339844
2019-04-24,33.95488357543945
2018-07-10,34.323326110839844
2018-09-12,33.37312698364258
2019-02-19,34.682071685791016
2019-01-18,34.311553955078125
2020-02-24,34.175048828125
2020-05-13,35.111083984375
2019-12-10,35.10133743286133
2020-02-27,36.18363571166992
2019-12-13,35.62785720825195
2020-05-19,36.34938430786133
2019-03-06,37.38292694091797
2018-11-30,34.54555892944336
2019-08-13,33.82403564453125
2019-07-12,32.80024719238281
2019-06-10,33.317020416259766
2019-05-09,33.1707649230957
2018-07-25,33.34627151489258
2018-09-27,32.86850357055664
2018-10-29,31.8349666595459
2019-10-16,31.854461669921875
2019-12-16,32.44923782348633
2020-03-04,30.742919921875
2020-05-22,30.128646850585938
2019-10-01,29.553377151489258
2019-12-19,28.266328811645508
2018-09-10,29.875139236450195
2019-05-24,30.76242446899414
2018-08-09,31.571706771850586
2019-04-22,31.922718048095703
2019-03-21,32.64424514770508
2019-01-16,30.75267219543457
2019-08-28,32.85874938964844
2018-11-13,33.44377136230469
2018-10-12,32.088470458984375
2019-06-25,33.44377136230469
2020-03-10,33.89228820800781
2020-05-28,33.91178894042969
2019-10-07,33.01475524902344
2020-03-13,32.90749740600586
2019-10-10,32.80024719238281
2020-03-16,33.67778015136719
2020-06-03,34.81857681274414
2018-11-28,33.58028030395508
2018-09-25,33.45352554321289
2018-07-23,36.87590408325195
2018-08-24,38.211708068847656
2019-07-10,37.73394012451172
2019-05-07,37.24641799926758
2019-04-05,38.611473083496094
2019-03-04,38.104454040527344
2019-01-31,38.328712463378906
2019-09-12,37.92894744873047
2019-12-31,38.143455505371094
2020-03-19,39.27449417114258
2020-01-03,38.923484802246094
2020-06-09,38.7869758605957
2019-02-15,38.90398406982422
2019-01-14,39.67426300048828
2018-07-06,39.83026885986328
2018-08-07,39.69375991821289
2018-10-10,38.12395095825195
2018-12-13,38.3189582824707
2019-08-26,38.22096252441406
2019-07-25,38.05435562133789
2019-05-22,38.64236831665039
2019-03-19,38.86777114868164
2020-01-06,38.78937530517578
2020-03-25,38.005348205566406
2020-06-12,37.57413864135742
2019-10-22,37.78974914550781
2020-01-09,38.29935836791992
2020-06-15,38.15235900878906
2019-10-25,37.309532165527344
2020-03-31,36.819522857666016
2020-06-18,36.98612976074219
2019-04-03,37.74074172973633
2018-08-22,37.93675231933594
2018-10-25,37.82894515991211
2019-01-29,38.15235900878906
2018-12-28,39.58319091796875
2018-11-26,39.20098114013672
2019-08-09,39.56358337402344
2019-07-08,38.779571533203125
2019-06-06,40.504417419433594
2019-09-10,39.063777923583984
2020-01-15,38.612972259521484
2020-04-03,38.83837127685547
2019-10-31,38.15235900878906
2020-04-06,37.74074172973633
2020-06-24,38.86777114868164
2018-11-09,40.30841064453125
2019-07-23,40.17121124267578
2019-06-21,41.58244323730469
2019-05-20,41.768646240234375
2019-04-18,42.18025588989258
2018-09-06,42.06264877319336
2018-10-08,41.170833587646484
2019-02-13,41.327632904052734
2018-12-11,41.62164306640625
2019-09-25,42.13125228881836
2020-01-21,41.856849670410156
2020-04-09,42.84667205810547
2019-11-06,43.01327896118164
2020-01-24,43.072078704833984
2020-01-27,42.91527557373047
2020-04-15,42.95447540283203
2018-12-26,43.5718879699707
2019-08-07,43.56209182739258
2019-06-04,43.76789855957031
2018-09-21,43.35628890991211
2018-07-19,43.18967819213867
2018-08-20,42.513465881347656
2018-10-23,42.82707595825195
2019-05-03,43.08187484741211
2019-04-01,42.24885559082031
2019-02-28,41.21002960205078
2019-11-12,40.749427795410156
2020-01-30,40.1222038269043
2019-11-15,39.985008239746094
2020-04-21,38.30916213989258
2019-04-16,39.21078109741211
2019-03-15,40.671016693115234
2019-02-11,40.827823638916016
2019-01-10,41.8470458984375
