Dates,AMAT
2018-06-20,9735900.0
2018-06-21,13209300.0
2018-06-25,13200500.0
2018-06-22,14442800.0
2018-06-26,14748300.0
2018-06-27,14900200.0
2018-06-28,13760400.0
2018-06-29,15112200.0
2018-07-02,11042900.0
2018-07-03,7538500.0
2018-07-05,8950700.0
2018-07-16,11467600.0
2018-09-18,9727700.0
2019-01-24,8802000.0
2019-09-05,13333000.0
2018-11-21,9735400.0
2020-01-13,6349000.0
2020-04-01,7228500.0
2020-06-19,9692800.0
2019-10-29,15309300.0
2020-01-16,11481100.0
2020-06-22,7792500.0
2018-10-03,7364300.0
2018-07-31,10903300.0
2019-03-12,9276400.0
2019-02-08,11637500.0
2019-01-07,17601100.0
2018-12-06,9305400.0
2019-08-19,10816400.0
2019-07-18,8326600.0
2019-05-15,9371700.0
2019-09-20,7032700.0
2019-11-01,8555000.0
2020-04-07,7530600.0
2020-06-25,8458800.0
2020-06-16,9514900.0
2019-11-04,8088800.0
2020-01-22,6436600.0
2019-11-07,6879800.0
2020-04-13,10296200.0
2019-07-01,13733100.0
2019-05-30,52584200.0
2018-08-15,15056100.0
2018-10-18,15570800.0
2019-03-27,11214300.0
2019-01-22,9504400.0
2018-12-21,8294700.0
2019-09-03,12581300.0
2018-11-19,13190500.0
2019-08-02,14226400.0
2020-01-28,10122300.0
2020-04-16,9982200.0
2019-11-13,15147400.0
2020-01-31,15022100.0
2018-12-04,22590500.0
2018-11-02,11910100.0
2019-07-16,15560700.0
2018-08-30,14716700.0
2018-10-01,17214800.0
2019-06-14,13402900.0
2019-05-13,10359200.0
2019-04-11,10794500.0
2019-02-06,9846200.0
2019-09-18,8213400.0
2020-02-03,12464200.0
2020-04-22,20729500.0
2019-11-19,10678400.0
2020-02-06,9222500.0
2019-11-22,10927600.0
2019-03-25,7146400.0
2019-02-21,11751200.0
2018-12-19,10337000.0
2018-07-12,9626500.0
2018-09-14,7441700.0
2018-08-13,12199100.0
2018-10-16,9790200.0
2019-07-31,10259500.0
2019-05-28,13392700.0
2019-04-26,23974600.0
2020-04-28,31702100.0
2019-11-25,16781800.0
2020-02-12,10151000.0
2020-05-01,11705500.0
2020-05-04,15149200.0
2019-06-12,12345600.0
2019-04-09,14616500.0
2019-03-08,13210100.0
2019-02-04,16111600.0
2018-07-27,14457700.0
2018-08-28,12494800.0
2019-01-03,13317000.0
2019-08-15,14150400.0
2018-10-31,15142300.0
2019-09-16,12942900.0
2020-02-18,14184200.0
2020-05-07,11959700.0
2018-08-17,7785300.0
2019-12-04,6816400.0
2020-02-21,11028800.0
2018-12-17,9029900.0
2019-08-30,11136200.0
2018-11-15,10618000.0
2019-07-29,11847500.0
2019-06-27,9513500.0
2019-04-24,15175700.0
2018-07-10,28075300.0
2018-09-12,15053300.0
2019-02-19,25487100.0
2019-01-18,11659600.0
2020-02-24,5203200.0
2020-05-13,11741200.0
2019-12-10,11117800.0
2020-02-27,12038400.0
2019-12-13,7934200.0
2020-05-19,13387000.0
