Dates,C
2007-06-26,534.7000122070312
2008-02-05,526.0
2008-01-04,536.7999877929688
2007-03-22,536.7000122070312
2007-05-25,539.7999877929688
2007-04-23,539.5999755859375
2007-12-03,542.5999755859375
2007-11-01,534.4000244140625
2008-07-08,536.5999755859375
2007-12-18,524.0999755859375
2007-11-16,516.9000244140625
2007-10-15,511.5
2007-09-13,518.0999755859375
2008-04-24,518.0999755859375
2007-07-11,512.9000244140625
2008-02-20,516.4000244140625
2007-03-05,518.5999755859375
2007-05-08,515.0
2008-06-27,517.0
2008-07-11,516.0
2008-07-14,510.0
2008-03-06,514.0999755859375
2007-05-23,528.4000244140625
2008-01-02,525.2000122070312
2007-03-20,521.9000244140625
2007-10-30,524.5999755859375
2007-09-28,516.0
2007-08-27,511.29998779296875
2007-07-26,507.29998779296875
2008-04-07,508.6000061035156
2008-05-09,493.1000061035156
2008-07-23,492.1000061035156
2007-09-11,478.1000061035156
2007-04-04,469.70001220703125
2007-06-07,471.8999938964844
2007-08-10,465.70001220703125
2008-04-22,468.5
2007-07-09,472.3999938964844
2008-01-17,457.20001220703125
2007-11-14,483.5
2008-06-25,485.8999938964844
2008-08-28,494.8999938964844
2008-07-29,469.0
2007-11-29,470.0
2007-05-21,465.3999938964844
2007-04-19,456.6000061035156
2007-09-26,456.1000061035156
2007-07-24,475.5
2007-06-22,488.1000061035156
2008-03-04,483.8999938964844
2008-02-01,480.6000061035156
2007-12-31,484.29998779296875
2008-05-07,483.5
2008-08-01,485.0
2008-08-04,477.8999938964844
2008-08-07,461.3999938964844
2008-01-15,469.5
2007-12-14,462.29998779296875
2007-04-02,468.79998779296875
2007-03-01,472.1000061035156
2007-05-04,460.0
2007-06-05,456.6000061035156
2007-11-12,454.79998779296875
2007-10-11,453.0
2007-08-08,460.1000061035156
2008-03-19,457.6000061035156
2008-05-23,463.6000061035156
2008-08-13,466.3999938964844
2007-08-23,460.29998779296875
2008-04-03,483.70001220703125
2007-06-20,482.70001220703125
2008-01-30,472.0
2007-04-17,475.1000061035156
2007-03-16,465.8999938964844
2007-11-27,463.1000061035156
2007-10-26,465.5
2007-09-24,468.79998779296875
2008-05-05,466.70001220703125
2008-05-29,477.20001220703125
2008-03-14,478.6000061035156
2008-08-19,478.8999938964844
2008-06-04,476.29998779296875
2008-08-22,483.0
2007-10-09,478.0
2007-09-07,476.20001220703125
2007-08-06,471.3999938964844
2008-04-18,483.20001220703125
2007-07-05,478.70001220703125
2008-03-17,462.3999938964844
2007-05-02,447.8999938964844
2008-02-14,446.6000061035156
2007-12-12,438.29998779296875
2008-05-20,423.6000061035156
2008-08-25,426.1000061035156
2008-06-10,424.3999938964844
2008-01-28,418.20001220703125
2007-12-27,412.29998779296875
2007-10-24,426.29998779296875
2007-08-21,426.8999938964844
2007-03-14,421.1000061035156
2007-05-17,419.0
2007-06-18,385.1000061035156
2007-07-20,377.29998779296875
2008-04-01,359.0
2008-02-29,350.79998779296875
2008-06-13,334.1000061035156
2008-01-10,329.0
2008-06-16,331.0
2008-06-19,335.70001220703125
2008-04-16,359.0
2007-07-03,360.3999938964844
2008-02-12,345.79998779296875
2008-01-11,340.0
2007-12-10,320.0
2007-11-08,314.0
2007-03-29,307.29998779296875
2007-06-01,317.0
2007-04-30,307.0
2007-09-05,303.20001220703125
2007-03-12,322.8999938964844
2007-04-13,322.8999938964844
2007-10-22,333.0
2007-09-20,330.6000061035156
2007-07-18,325.5
2008-02-27,336.8999938964844
2007-05-15,343.5
2007-11-23,343.1000061035156
2008-05-01,347.70001220703125
2008-06-02,332.29998779296875
2008-07-01,314.70001220703125
2008-01-09,310.1000061035156
2007-03-27,307.0
2007-05-30,307.70001220703125
2007-11-06,303.79998779296875
2007-10-05,302.1000061035156
2007-08-02,298.8999938964844
2008-04-14,302.3999938964844
2008-03-13,309.79998779296875
2008-05-16,304.5
2008-06-17,295.6000061035156
2008-07-07,292.8999938964844
2008-07-10,294.3999938964844
2007-07-16,289.20001220703125
2008-03-28,289.29998779296875
2008-02-25,282.3999938964844
2007-04-11,282.6000061035156
2007-06-14,271.3999938964844
2008-01-24,274.8999938964844
2008-04-29,281.1000061035156
2007-11-21,285.6000061035156
2007-09-18,290.6000061035156
2007-08-17,269.3999938964844
2008-07-16,262.3999938964844
2007-10-03,249.60000610351562
2007-07-31,244.5
2007-04-26,244.0
2008-03-11,263.6000061035156
2007-06-29,273.29998779296875
2008-02-08,266.3999938964844
2008-01-07,276.5
2007-12-06,279.1000061035156
2008-05-14,278.79998779296875
2008-07-17,281.70001220703125
2008-07-22,296.8999938964844
2008-07-25,292.20001220703125
2007-08-15,270.5
2007-11-19,269.20001220703125
2007-10-18,267.0
2008-01-22,260.29998779296875
2007-03-08,258.1000061035156
2007-05-11,262.1000061035156
2007-04-09,263.3999938964844
2007-06-12,257.3999938964844
2007-12-21,254.8000030517578
2008-03-26,253.1999969482422
2008-07-28,254.89999389648438
2007-07-02,250.5
2008-07-31,251.1999969482422
2007-06-27,247.39999389648438
2008-04-10,249.5
2007-12-04,257.20001220703125
2007-03-23,250.10000610351562
2007-04-24,237.10000610351562
2007-11-02,230.89999389648438
2007-10-01,221.0
2008-02-06,221.5
2007-08-30,211.6999969482422
2008-05-12,209.10000610351562
2008-08-06,196.89999389648438
2008-05-22,214.89999389648438
2007-10-16,212.10000610351562
2007-09-14,210.6999969482422
2007-08-13,197.8000030517578
2007-07-12,186.1999969482422
2008-03-24,207.10000610351562
2008-02-21,204.10000610351562
2008-04-25,225.0
2007-03-06,232.6999969482422
2007-05-09,234.1999969482422
2007-12-19,220.5
2008-08-12,217.89999389648438
2008-08-15,208.3000030517578
2008-08-18,214.1999969482422
2008-01-03,238.39999389648438
2007-10-31,240.1999969482422
2007-08-28,243.60000610351562
2007-07-27,240.8000030517578
2008-04-08,246.0
2008-03-07,237.60000610351562
2007-03-21,235.8000030517578
2007-05-24,237.10000610351562
2007-06-25,233.60000610351562
2008-02-04,225.10000610351562
2008-06-03,228.0
2008-08-21,234.39999389648438
2008-06-06,240.3000030517578
2007-05-07,251.10000610351562
2007-04-05,250.3000030517578
2007-07-10,251.1999969482422
2007-06-08,246.3000030517578
2008-02-19,257.6000061035156
2008-01-18,266.0
2007-12-17,268.1000061035156
2007-11-15,263.20001220703125
2007-09-12,252.6999969482422
2008-04-23,259.8999938964844
2008-08-27,263.8999938964844
2008-06-12,257.5
2007-09-27,258.70001220703125
2007-05-22,244.8000030517578
2007-03-19,243.0
2007-04-20,236.3000030517578
2007-07-25,236.39999389648438
2008-03-05,230.3000030517578
2007-11-30,232.5
2007-10-29,237.3000030517578
2008-05-08,231.1999969482422
2008-06-09,229.89999389648438
2008-06-18,221.10000610351562
2007-11-13,210.60000610351562
2007-03-02,217.1999969482422
2007-04-03,211.1999969482422
2007-06-06,216.60000610351562
2007-10-12,216.0
2007-09-10,220.39999389648438
2007-08-09,218.89999389648438
2008-04-21,214.60000610351562
2008-03-20,214.1999969482422
2008-01-16,210.8000030517578
2008-06-24,212.1999969482422
2008-03-03,200.60000610351562
2008-01-31,196.0
2007-04-18,202.60000610351562
2007-06-21,192.10000610351562
2007-11-28,198.89999389648438
2007-09-25,204.8000030517578
2007-08-24,208.3000030517578
2007-07-23,204.60000610351562
2008-04-04,204.0
2008-05-06,201.6999969482422
2008-06-30,193.0
2008-07-03,185.5
2007-08-07,188.5
2007-07-06,188.5
2008-03-18,176.6999969482422
2008-02-15,172.5
2007-02-28,167.60000610351562
2007-05-03,171.3000030517578
2007-06-04,168.39999389648438
2008-01-14,168.1999969482422
2007-12-13,164.0
2007-10-10,173.89999389648438
2008-07-09,164.39999389648438
2007-11-26,162.8000030517578
2007-10-25,161.89999389648438
2007-08-22,152.1999969482422
2008-04-02,145.60000610351562
2007-05-18,164.6999969482422
2007-03-15,179.6999969482422
2007-04-16,193.5
2007-06-19,196.89999389648438
2008-01-29,208.89999389648438
2007-12-28,211.1999969482422
2008-07-15,190.60000610351562
2008-02-11,188.5
2008-07-18,174.3000030517578
2008-07-21,184.5
2008-02-13,188.10000610351562
2007-12-11,186.89999389648438
2007-11-09,188.6999969482422
2007-10-08,188.3000030517578
2007-09-06,199.1999969482422
2007-03-30,197.0
2007-05-01,184.6999969482422
2008-04-17,193.89999389648438
2008-05-19,198.1999969482422
2008-06-20,185.39999389648438
2008-07-24,178.10000610351562
2007-08-20,180.8000030517578
2007-07-19,185.5
2008-03-31,176.1999969482422
2008-02-28,171.89999389648438
2007-12-26,174.89999389648438
2007-10-23,174.6999969482422
2007-03-13,181.39999389648438
2007-05-16,176.10000610351562
2007-09-21,178.39999389648438
2008-05-02,181.1999969482422
2008-07-30,190.8000030517578
2008-08-05,189.89999389648438
