Dates,ADM
2018-06-20,46.40999984741211
2018-06-21,46.310001373291016
2018-06-25,46.779998779296875
2018-06-22,46.779998779296875
2018-06-26,46.650001525878906
2018-06-27,46.790000915527344
2018-06-28,46.540000915527344
2018-06-29,46.41999816894531
2018-07-02,45.810001373291016
2018-07-03,45.970001220703125
2018-07-05,46.380001068115234
2018-07-16,46.900001525878906
2018-09-18,47.61000061035156
2019-01-24,48.02000045776367
2019-09-05,48.2599983215332
2018-11-21,48.20000076293945
2020-01-13,47.84000015258789
2020-04-01,47.650001525878906
2020-06-19,47.939998626708984
2019-10-29,47.7599983215332
2020-01-16,47.54999923706055
2020-06-22,47.369998931884766
2018-10-03,47.36000061035156
2018-07-31,47.689998626708984
2019-03-12,47.59000015258789
2019-02-08,47.970001220703125
2019-01-07,47.88999938964844
2018-12-06,47.7599983215332
2019-08-19,49.56999969482422
2019-07-18,48.95000076293945
2019-05-15,49.5
2019-09-20,49.9900016784668
2019-11-01,50.40999984741211
2020-04-07,50.599998474121094
2020-06-25,50.310001373291016
2020-06-16,50.290000915527344
2019-11-04,50.18000030517578
2020-01-22,50.0
2019-11-07,49.97999954223633
2020-04-13,49.869998931884766
2019-07-01,50.36000061035156
2019-05-30,50.77000045776367
2018-08-15,51.060001373291016
2018-10-18,50.91999816894531
2019-03-27,50.810001373291016
2019-01-22,50.650001525878906
2018-12-21,50.779998779296875
2019-09-03,51.11000061035156
2018-11-19,51.02000045776367
2019-08-02,50.880001068115234
2020-01-28,50.599998474121094
2020-04-16,50.52000045776367
2019-11-13,50.400001525878906
2020-01-31,50.2400016784668
2018-12-04,49.849998474121094
2018-11-02,49.400001525878906
2019-07-16,50.13999938964844
2018-08-30,49.849998474121094
2018-10-01,50.16999816894531
2019-06-14,50.25
2019-05-13,50.119998931884766
2019-04-11,50.13999938964844
2019-02-06,49.88999938964844
2019-09-18,50.16999816894531
2020-02-03,50.41999816894531
2020-04-22,50.47999954223633
2019-11-19,50.619998931884766
2020-02-06,49.9900016784668
2019-11-22,49.83000183105469
2019-03-25,49.72999954223633
2019-02-21,50.29999923706055
2018-12-19,50.709999084472656
2018-07-12,50.560001373291016
2018-09-14,50.939998626708984
2018-08-13,50.599998474121094
2018-10-16,51.11000061035156
2019-07-31,52.06999969482422
2019-05-28,51.959999084472656
2019-04-26,51.869998931884766
2020-04-28,50.16999816894531
2019-11-25,49.04999923706055
2020-02-12,49.650001525878906
2020-05-01,49.400001525878906
2020-05-04,49.43000030517578
2019-06-12,49.70000076293945
2019-04-09,49.77000045776367
2019-03-08,49.75
2019-02-04,49.16999816894531
2018-07-27,49.380001068115234
2018-08-28,48.16999816894531
2019-01-03,47.59000015258789
2019-08-15,47.52000045776367
2018-10-31,48.029998779296875
2019-09-16,48.2400016784668
2020-02-18,48.7400016784668
2020-05-07,49.20000076293945
2018-08-17,48.380001068115234
2019-12-04,48.66999816894531
2020-02-21,48.31999969482422
2018-12-17,48.959999084472656
2019-08-30,48.97999954223633
2018-11-15,48.65999984741211
2019-07-29,48.5099983215332
2019-06-27,48.310001373291016
2019-04-24,46.38999938964844
2018-07-10,46.790000915527344
2018-09-12,46.720001220703125
2019-02-19,46.560001373291016
2019-01-18,45.97999954223633
2020-02-24,45.540000915527344
2020-05-13,45.650001525878906
2019-12-10,46.08000183105469
2020-02-27,46.2400016784668
2019-12-13,46.4900016784668
2020-05-19,46.290000915527344
2019-03-06,47.15999984741211
2018-11-30,47.15999984741211
2019-08-13,45.54999923706055
2019-07-12,45.709999084472656
2019-06-10,44.79999923706055
2019-05-09,45.18000030517578
2018-07-25,45.689998626708984
2018-09-27,45.290000915527344
2018-10-29,45.16999816894531
2019-10-16,44.4900016784668
2019-12-16,43.9900016784668
2020-03-04,43.560001373291016
2020-05-22,42.25
2019-10-01,41.77000045776367
2019-12-19,40.70000076293945
2018-09-10,40.689998626708984
2019-05-24,40.970001220703125
2018-08-09,41.4900016784668
2019-04-22,41.040000915527344
2019-03-21,41.150001525878906
2019-01-16,41.34000015258789
2019-08-28,41.810001373291016
2018-11-13,42.439998626708984
2018-10-12,42.7400016784668
2019-06-25,43.45000076293945
2020-03-10,43.38999938964844
2020-05-28,43.47999954223633
2019-10-07,43.13999938964844
2020-03-13,43.52000045776367
2019-10-10,43.84000015258789
2020-03-16,43.470001220703125
2020-06-03,44.52000045776367
2018-11-28,44.08000183105469
2018-09-25,43.849998474121094
2018-07-23,44.04999923706055
2018-08-24,44.099998474121094
2019-07-10,44.18000030517578
2019-05-07,44.5099983215332
2019-04-05,44.880001068115234
2019-03-04,45.040000915527344
2019-01-31,45.130001068115234
2019-09-12,44.90999984741211
2019-12-31,43.709999084472656
2020-03-19,41.900001525878906
2020-01-03,41.81999969482422
2020-06-09,42.04999923706055
2019-02-15,42.06999969482422
2019-01-14,42.58000183105469
2018-07-06,42.650001525878906
2018-08-07,42.65999984741211
2018-10-10,42.540000915527344
2018-12-13,42.040000915527344
2019-08-26,42.220001220703125
2019-07-25,42.77000045776367
2019-05-22,42.97999954223633
2019-03-19,42.779998779296875
2020-01-06,42.66999816894531
2020-03-25,42.70000076293945
2020-06-12,42.7599983215332
2019-10-22,42.84000015258789
2020-01-09,42.59000015258789
2020-06-15,42.439998626708984
2019-10-25,42.369998931884766
2020-03-31,42.290000915527344
2020-06-18,42.189998626708984
2019-04-03,42.88999938964844
2018-08-22,43.119998931884766
2018-10-25,43.63999938964844
2019-01-29,43.45000076293945
2018-12-28,43.81999969482422
2018-11-26,43.27000045776367
2019-08-09,43.38999938964844
2019-07-08,43.02000045776367
2019-06-06,42.97999954223633
2019-09-10,42.970001220703125
2020-01-15,43.0
2020-04-03,42.54999923706055
2019-10-31,42.540000915527344
2020-04-06,42.72999954223633
2020-06-24,43.18000030517578
2018-11-09,43.470001220703125
2019-07-23,42.7400016784668
2019-06-21,42.34000015258789
2019-05-20,43.09000015258789
2019-04-18,42.95000076293945
2018-09-06,43.18000030517578
2018-10-08,43.130001068115234
2019-02-13,43.400001525878906
2018-12-11,43.77000045776367
2019-09-25,43.45000076293945
2020-01-21,43.47999954223633
2020-04-09,43.599998474121094
2019-11-06,43.189998626708984
2020-01-24,43.13999938964844
2020-01-27,42.810001373291016
2020-04-15,42.900001525878906
2018-12-26,43.060001373291016
2019-08-07,42.66999816894531
2019-06-04,42.0
2018-09-21,43.439998626708984
2018-07-19,44.63999938964844
2018-08-20,44.88999938964844
2018-10-23,44.060001373291016
2019-05-03,43.77000045776367
2019-04-01,43.349998474121094
2019-02-28,43.06999969482422
2019-11-12,43.279998779296875
2020-01-30,42.709999084472656
2019-11-15,42.650001525878906
2020-04-21,41.970001220703125
2019-04-16,41.310001373291016
2019-03-15,41.130001068115234
2019-02-11,41.58000183105469
2019-01-10,41.470001220703125
2019-08-22,40.75
2018-11-07,40.310001373291016
2018-08-03,40.150001525878906
2018-09-04,39.66999816894531
2019-06-19,39.400001525878906
2019-09-23,39.31999969482422
2019-11-18,38.83000183105469
2020-02-05,39.11000061035156
2020-04-24,38.41999816894531
2019-03-29,39.11000061035156
2019-11-21,39.63999938964844
2020-04-27,39.70000076293945
2020-02-11,39.90999984741211
2020-04-30,40.04999923706055
2019-05-01,40.20000076293945
2019-02-26,40.2599983215332
2019-01-25,40.849998474121094
2018-12-24,41.13999938964844
2019-09-06,40.9900016784668
2018-07-17,40.84000015258789
2018-09-19,41.720001220703125
2019-08-05,41.25
2019-10-08,41.349998474121094
2019-12-11,41.4900016784668
2019-11-27,41.119998931884766
2020-02-14,40.72999954223633
2020-05-06,40.779998779296875
2019-01-08,40.70000076293945
2018-12-07,41.04999923706055
2019-08-20,41.9900016784668
2018-11-05,41.66999816894531
2019-07-19,41.900001525878906
2018-10-04,41.939998626708984
2019-06-17,41.97999954223633
2019-05-16,41.959999084472656
2018-08-01,42.20000076293945
2019-03-13,42.099998474121094
2019-12-03,42.2400016784668
2020-02-20,42.099998474121094
2019-12-06,41.720001220703125
2020-05-12,40.81999969482422
2019-12-09,40.41999816894531
2020-02-26,40.66999816894531
2020-05-15,40.70000076293945
2019-03-28,40.880001068115234
2018-09-17,40.66999816894531
2018-08-16,40.95000076293945
2018-10-19,40.939998626708984
2019-04-29,41.02000045776367
2019-01-23,41.099998474121094
2019-09-04,41.790000915527344
2018-11-20,42.099998474121094
2019-07-02,41.15999984741211
2019-05-31,39.540000915527344
2019-12-12,38.20000076293945
2020-05-18,37.38999938964844
2019-09-27,38.310001373291016
2020-03-03,38.529998779296875
2020-05-21,38.029998779296875
2019-05-14,38.72999954223633
2018-08-31,37.59000015258789
2018-07-30,37.04999923706055
2018-10-02,37.97999954223633
2019-04-12,38.369998931884766
2019-03-11,38.0
2019-02-07,37.709999084472656
2019-07-17,38.099998474121094
2019-09-19,37.810001373291016
2019-10-21,37.970001220703125
2019-12-18,38.15999984741211
2020-03-06,37.619998931884766
2019-10-03,37.939998626708984
2020-03-09,38.40999984741211
2020-05-27,38.04999923706055
2019-12-24,38.41999816894531
2020-03-12,39.029998779296875
2018-12-20,38.849998474121094
2019-08-01,39.72999954223633
2018-08-14,40.349998474121094
2018-07-13,41.04999923706055
2018-10-17,41.4900016784668
2019-05-29,42.189998626708984
2019-03-26,42.0
2019-02-22,43.0
2019-10-04,41.7400016784668
2019-11-05,41.790000915527344
2019-12-27,41.25
2020-06-02,40.91999816894531
2019-12-30,40.529998779296875
2020-03-18,40.63999938964844
2020-06-05,40.95000076293945
2019-07-15,41.18000030517578
2018-12-03,41.27000045776367
2019-06-13,41.45000076293945
2019-01-04,40.16999816894531
2018-08-29,39.79999923706055
2019-02-05,40.380001068115234
2018-11-01,40.189998626708984
2019-08-16,39.7599983215332
2019-04-10,39.130001068115234
2019-09-17,40.09000015258789
2019-10-15,40.689998626708984
2020-01-02,40.470001220703125
2020-06-08,40.54999923706055
2019-10-18,40.369998931884766
2020-03-24,39.959999084472656
2020-06-11,40.02000045776367
2020-01-08,40.470001220703125
2019-04-25,40.7599983215332
2019-07-30,40.779998779296875
2019-02-20,40.90999984741211
2018-07-11,41.11000061035156
2018-09-13,41.7400016784668
2018-10-15,41.77000045776367
