Dates,ADM
2018-06-20,2455500.0
2018-06-21,3685300.0
2018-06-25,7585600.0
2018-06-22,2174400.0
2018-06-26,2419300.0
2018-06-27,3368900.0
2018-06-28,3425400.0
2018-06-29,2934100.0
2018-07-02,3800100.0
2018-07-03,1508000.0
2018-07-05,2556000.0
2018-07-16,2306800.0
2018-09-18,3410300.0
2019-01-24,3420800.0
2019-09-05,2556100.0
2018-11-21,2706300.0
2020-01-13,2402800.0
2020-04-01,3159200.0
2020-06-19,3405100.0
2019-10-29,2823100.0
2020-01-16,2904300.0
2020-06-22,2532400.0
2018-10-03,2038000.0
2018-07-31,4609600.0
2019-03-12,3555700.0
2019-02-08,2427600.0
2019-01-07,2653300.0
2018-12-06,3418100.0
2019-08-19,11368100.0
2019-07-18,5427800.0
2019-05-15,6796100.0
2019-09-20,4369600.0
2019-11-01,3701300.0
2020-04-07,3238900.0
2020-06-25,2261800.0
2020-06-16,2974800.0
2019-11-04,1809500.0
2020-01-22,2140400.0
2019-11-07,2713500.0
2020-04-13,4513700.0
2019-07-01,6099400.0
2019-05-30,6010700.0
2018-08-15,3935400.0
2018-10-18,2884800.0
2019-03-27,2582600.0
2019-01-22,1633300.0
2018-12-21,1984100.0
2019-09-03,2492700.0
2018-11-19,2692100.0
2019-08-02,2700600.0
2020-01-28,2207700.0
2020-04-16,4717900.0
2019-11-13,3451500.0
2020-01-31,6904800.0
2018-12-04,3819000.0
2018-11-02,3440500.0
2019-07-16,3794900.0
2018-08-30,2933300.0
2018-10-01,2202200.0
2019-06-14,1641500.0
2019-05-13,1999500.0
2019-04-11,3700600.0
2019-02-06,2386000.0
2019-09-18,2110900.0
2020-02-03,1847500.0
2020-04-22,5386700.0
2019-11-19,2612100.0
2020-02-06,2391800.0
2019-11-22,2358100.0
2019-03-25,1741700.0
2019-02-21,2956100.0
2018-12-19,2950000.0
2018-07-12,1860100.0
2018-09-14,2886900.0
2018-08-13,2452300.0
2018-10-16,2652900.0
2019-07-31,3941900.0
2019-05-28,3485200.0
2019-04-26,3333600.0
2020-04-28,5776600.0
2019-11-25,4604300.0
2020-02-12,2477900.0
2020-05-01,2499300.0
2020-05-04,3879100.0
2019-06-12,3009000.0
2019-04-09,2698000.0
2019-03-08,1994200.0
2019-02-04,4263400.0
2018-07-27,5496900.0
2018-08-28,3032500.0
2019-01-03,4529300.0
2019-08-15,3316600.0
2018-10-31,3884200.0
2019-09-16,4614200.0
2020-02-18,4586200.0
2020-05-07,3483200.0
2018-08-17,3683600.0
2019-12-04,5319000.0
2020-02-21,5147600.0
2018-12-17,3620300.0
2019-08-30,7033300.0
2018-11-15,2620900.0
2019-07-29,4057000.0
2019-06-27,4275400.0
2019-04-24,4251200.0
2018-07-10,3789100.0
2018-09-12,2983500.0
2019-02-19,3430300.0
2019-01-18,3195000.0
2020-02-24,1280300.0
2020-05-13,2450200.0
2019-12-10,2912900.0
2020-02-27,3028800.0
2019-12-13,2482000.0
2020-05-19,6182000.0
2019-03-06,5314300.0
2018-11-30,4421700.0
2019-08-13,5070400.0
2019-07-12,3669300.0
2019-06-10,5023400.0
2019-05-09,4563300.0
2018-07-25,6002200.0
2018-09-27,2685100.0
2018-10-29,3490500.0
2019-10-16,3286600.0
2019-12-16,3522100.0
2020-03-04,3124800.0
2020-05-22,5450000.0
2019-10-01,8213700.0
2019-12-19,2541100.0
2018-09-10,3380400.0
2019-05-24,3809900.0
2018-08-09,3046500.0
2019-04-22,2718200.0
2019-03-21,2497000.0
2019-01-16,3273000.0
2019-08-28,3117100.0
2018-11-13,3970100.0
2018-10-12,5096800.0
2019-06-25,3530100.0
2020-03-10,2934100.0
2020-05-28,2513600.0
2019-10-07,3107600.0
2020-03-13,2773300.0
2019-10-10,3497200.0
2020-03-16,2867500.0
2020-06-03,2646400.0
2018-11-28,3115500.0
2018-09-25,2554700.0
2018-07-23,2181000.0
2018-08-24,1996200.0
2019-07-10,2281200.0
2019-05-07,3404200.0
2019-04-05,2857600.0
2019-03-04,5076200.0
2019-01-31,2337700.0
2019-09-12,3226400.0
2019-12-31,10306500.0
2020-03-19,6194600.0
2020-01-03,4076600.0
2020-06-09,6580400.0
2019-02-15,3569200.0
2019-01-14,3322100.0
2018-07-06,3046600.0
2018-08-07,2990000.0
2018-10-10,4056100.0
2018-12-13,4843000.0
2019-08-26,5803100.0
2019-07-25,5061100.0
2019-05-22,4361800.0
2019-03-19,3786600.0
2020-01-06,3551900.0
2020-03-25,3052700.0
2020-06-12,2973400.0
2019-10-22,2556200.0
2020-01-09,3550600.0
2020-06-15,2864300.0
2019-10-25,2643200.0
2020-03-31,2856100.0
2020-06-18,2604500.0
2019-04-03,2895900.0
2018-08-22,4006200.0
2018-10-25,3082700.0
2019-01-29,3894100.0
2018-12-28,7504400.0
2018-11-26,4771200.0
2019-08-09,4566100.0
2019-07-08,3581300.0
2019-06-06,2797700.0
2019-09-10,2594400.0
2020-01-15,2731000.0
2020-04-03,3825200.0
2019-10-31,2888500.0
2020-04-06,2195800.0
2020-06-24,2577400.0
2018-11-09,2998300.0
2019-07-23,3141000.0
2019-06-21,3379700.0
2019-05-20,3166700.0
2019-04-18,2491300.0
2018-09-06,2720200.0
2018-10-08,4127600.0
2019-02-13,2487000.0
2018-12-11,1965300.0
2019-09-25,3374000.0
2020-01-21,2308700.0
2020-04-09,1928600.0
2019-11-06,2289000.0
