Dates,WY
2018-06-20,36.38999938964844
2018-06-21,35.75
2018-06-25,35.599998474121094
2018-06-22,35.36000061035156
2018-06-26,36.150001525878906
2018-06-27,35.630001068115234
2018-06-28,36.11000061035156
2018-06-29,36.459999084472656
2018-07-02,36.29999923706055
2018-07-03,36.56999969482422
2018-07-05,37.040000915527344
2018-07-16,37.27000045776367
2018-09-18,36.83000183105469
2019-01-24,37.0
2019-09-05,36.54999923706055
2018-11-21,36.459999084472656
2020-01-13,36.439998626708984
2020-04-01,36.25
2020-06-19,36.220001220703125
2019-10-29,35.220001220703125
2020-01-16,35.650001525878906
2020-06-22,34.880001068115234
2018-10-03,34.58000183105469
2018-07-31,34.54999923706055
2019-03-12,34.72999954223633
2019-02-08,34.90999984741211
2019-01-07,33.83000183105469
2018-12-06,34.119998931884766
2019-08-19,34.18000030517578
2019-07-18,34.06999969482422
2019-05-15,34.08000183105469
2019-09-20,33.970001220703125
2019-11-01,34.11000061035156
2020-04-07,34.2599983215332
2020-06-25,34.33000183105469
2020-06-16,34.439998626708984
2019-11-04,34.04999923706055
2020-01-22,33.91999816894531
2019-11-07,34.29999923706055
2020-04-13,34.5
2019-07-01,35.380001068115234
2019-05-30,35.650001525878906
2018-08-15,35.4900016784668
2018-10-18,35.25
2019-03-27,35.29999923706055
2019-01-22,34.58000183105469
2018-12-21,34.880001068115234
2019-09-03,35.290000915527344
2018-11-19,35.310001373291016
2019-08-02,35.16999816894531
2020-01-28,34.58000183105469
2020-04-16,34.709999084472656
2019-11-13,34.15999984741211
2020-01-31,34.380001068115234
2018-12-04,34.540000915527344
2018-11-02,34.060001373291016
2019-07-16,34.11000061035156
2018-08-30,34.099998474121094
2018-10-01,34.4900016784668
2019-06-14,34.380001068115234
2019-05-13,34.060001373291016
2019-04-11,33.970001220703125
2019-02-06,33.959999084472656
2019-09-18,33.63999938964844
2020-02-03,33.689998626708984
2020-04-22,33.0099983215332
2019-11-19,32.900001525878906
2020-02-06,32.70000076293945
