Dates,WY
2018-06-20,37.0
2018-06-21,36.38999938964844
2018-06-25,35.93000030517578
2018-06-22,35.70000076293945
2018-06-26,36.220001220703125
2018-06-27,36.33000183105469
2018-06-28,36.119998931884766
2018-06-29,36.720001220703125
2018-07-02,36.349998474121094
2018-07-03,36.93000030517578
2018-07-05,37.060001373291016
2018-07-16,37.439998626708984
2018-09-18,37.310001373291016
2019-01-24,37.040000915527344
2019-09-05,37.040000915527344
2018-11-21,36.790000915527344
2020-01-13,36.66999816894531
2020-04-01,36.58000183105469
2020-06-19,36.5
2019-10-29,36.150001525878906
2020-01-16,35.7400016784668
2020-06-22,35.5099983215332
2018-10-03,35.04999923706055
2018-07-31,34.709999084472656
2019-03-12,34.75
2019-02-08,34.9900016784668
2019-01-07,35.119998931884766
2018-12-06,34.209999084472656
2019-08-19,34.45000076293945
2019-07-18,34.16999816894531
2019-05-15,34.279998779296875
2019-09-20,34.22999954223633
2019-11-01,34.16999816894531
2020-04-07,34.310001373291016
2020-06-25,34.40999984741211
2020-06-16,34.560001373291016
2019-11-04,34.40999984741211
2020-01-22,34.209999084472656
2019-11-07,34.38999938964844
2020-04-13,34.56999969482422
2019-07-01,35.65999984741211
2019-05-30,35.709999084472656
2018-08-15,35.790000915527344
2018-10-18,35.68000030517578
2019-03-27,35.459999084472656
2019-01-22,35.279998779296875
2018-12-21,34.900001525878906
2019-09-03,35.290000915527344
2018-11-19,35.33000183105469
2019-08-02,35.400001525878906
2020-01-28,35.18000030517578
2020-04-16,34.95000076293945
2019-11-13,34.79999923706055
2020-01-31,34.45000076293945
2018-12-04,34.720001220703125
2018-11-02,34.54999923706055
2019-07-16,34.45000076293945
2018-08-30,34.29999923706055
2018-10-01,34.5
2019-06-14,34.58000183105469
2019-05-13,34.36000061035156
2019-04-11,34.25
2019-02-06,34.09000015258789
2019-09-18,34.08000183105469
2020-02-03,33.84000015258789
2020-04-22,33.650001525878906
2019-11-19,33.11000061035156
2020-02-06,33.16999816894531
2019-11-22,33.02000045776367
2019-03-25,33.029998779296875
2019-02-21,32.88999938964844
2018-12-19,32.369998931884766
2018-07-12,32.13999938964844
2018-09-14,31.93000030517578
2018-08-13,30.860000610351562
2018-10-16,30.790000915527344
2019-07-31,30.959999084472656
2019-05-28,30.920000076293945
2019-04-26,30.420000076293945
2020-04-28,29.209999084472656
2019-11-25,28.790000915527344
2020-02-12,28.31999969482422
2020-05-01,28.84000015258789
2020-05-04,28.799999237060547
2019-06-12,28.270000457763672
2019-04-09,28.829999923706055
2019-03-08,28.549999237060547
2019-02-04,28.440000534057617
2018-07-27,28.760000228881836
2018-08-28,29.229999542236328
2019-01-03,28.0
2019-08-15,27.739999771118164
2018-10-31,26.75
2019-09-16,27.09000015258789
2020-02-18,27.270000457763672
2020-05-07,27.93000030517578
2018-08-17,27.639999389648438
2019-12-04,27.809999465942383
2020-02-21,27.520000457763672
2018-12-17,27.399999618530273
2019-08-30,27.18000030517578
2018-11-15,27.5
2019-07-29,27.059999465942383
2019-06-27,27.209999084472656
2019-04-24,26.760000228881836
2018-07-10,27.270000457763672
2018-09-12,27.780000686645508
2019-02-19,26.950000762939453
2019-01-18,26.950000762939453
2020-02-24,26.649999618530273
2020-05-13,26.770000457763672
2019-12-10,26.709999084472656
2020-02-27,26.979999542236328
2019-12-13,26.93000030517578
2020-05-19,26.81999969482422
2019-03-06,26.860000610351562
2018-11-30,26.559999465942383
2019-08-13,26.790000915527344
2019-07-12,26.75
2019-06-10,25.780000686645508
2019-05-09,25.920000076293945
2018-07-25,25.450000762939453
2018-09-27,24.809999465942383
2018-10-29,24.549999237060547
2019-10-16,24.219999313354492
2019-12-16,23.969999313354492
2020-03-04,24.049999237060547
2020-05-22,23.15999984741211
2019-10-01,22.770000457763672
2019-12-19,21.469999313354492
2018-09-10,21.469999313354492
2019-05-24,21.530000686645508
2018-08-09,22.059999465942383
2019-04-22,22.1299991607666
2019-03-21,21.690000534057617
2019-01-16,22.6200008392334
2019-08-28,23.139999389648438
2018-11-13,23.65999984741211
2018-10-12,23.719999313354492
2019-06-25,23.860000610351562
2020-03-10,24.34000015258789
2020-05-28,24.34000015258789
2019-10-07,24.31999969482422
2020-03-13,24.139999389648438
2019-10-10,24.489999771118164
2020-03-16,24.709999084472656
2020-06-03,25.1200008392334
2018-11-28,25.0
2018-09-25,24.940000534057617
2018-07-23,25.299999237060547
2018-08-24,25.860000610351562
2019-07-10,25.84000015258789
2019-05-07,25.8799991607666
2019-04-05,26.3700008392334
2019-03-04,26.520000457763672
2019-01-31,27.600000381469727
2019-09-12,26.6200008392334
2019-12-31,26.5
2020-03-19,26.68000030517578
2020-01-03,26.290000915527344
2020-06-09,26.040000915527344
2019-02-15,25.899999618530273
2019-01-14,25.6200008392334
2018-07-06,25.65999984741211
2018-08-07,25.639999389648438
2018-10-10,25.6200008392334
2018-12-13,25.760000228881836
2019-08-26,26.06999969482422
