Dates,WY
2018-06-20,7751300.0
2018-06-21,5261100.0
2018-06-25,5354600.0
2018-06-22,5423200.0
2018-06-26,7030800.0
2018-06-27,4015300.0
2018-06-28,4058800.0
2018-06-29,4452600.0
2018-07-02,3311900.0
2018-07-03,2170500.0
2018-07-05,2167400.0
2018-07-16,2640000.0
2018-09-18,2634900.0
2019-01-24,4776600.0
2019-09-05,2357400.0
2018-11-21,2754100.0
2020-01-13,1830700.0
2020-04-01,2032700.0
2020-06-19,4756600.0
2019-10-29,4895000.0
2020-01-16,3939100.0
2020-06-22,5528500.0
2018-10-03,4730800.0
2018-07-31,5853200.0
2019-03-12,2734900.0
2019-02-08,3736300.0
2019-01-07,5701400.0
2018-12-06,3070600.0
2019-08-19,4432800.0
2019-07-18,6150700.0
2019-05-15,4193400.0
2019-09-20,3713000.0
2019-11-01,2535200.0
2020-04-07,2605600.0
2020-06-25,2006400.0
2020-06-16,2110300.0
2019-11-04,2490500.0
2020-01-22,2769400.0
2019-11-07,2530400.0
2020-04-13,3027500.0
2019-07-01,5759500.0
2019-05-30,4812000.0
2018-08-15,3055800.0
2018-10-18,1955000.0
2019-03-27,1780800.0
2019-01-22,2853900.0
2018-12-21,2219500.0
2019-09-03,2831900.0
2018-11-19,2742800.0
2019-08-02,2216600.0
2020-01-28,2654600.0
2020-04-16,3274200.0
2019-11-13,2735800.0
2020-01-31,4143000.0
2018-12-04,2101000.0
2018-11-02,2422300.0
2019-07-16,2200100.0
2018-08-30,3212700.0
2018-10-01,2671300.0
2019-06-14,2627800.0
2019-05-13,2531200.0
2019-04-11,3207300.0
2019-02-06,3617800.0
2019-09-18,4314700.0
2020-02-03,3835200.0
2020-04-22,9865900.0
2019-11-19,4604900.0
2020-02-06,4683800.0
2019-11-22,3960700.0
2019-03-25,3424800.0
2019-02-21,3797400.0
2018-12-19,2920400.0
2018-07-12,3796300.0
2018-09-14,6295700.0
2018-08-13,4717000.0
2018-10-16,3303300.0
2019-07-31,3718100.0
2019-05-28,3250300.0
2019-04-26,6501300.0
2020-04-28,8376200.0
2019-11-25,5487800.0
2020-02-12,5070300.0
2020-05-01,6280600.0
2020-05-04,3212800.0
2019-06-12,3343100.0
2019-04-09,5011300.0
2019-03-08,4607800.0
2019-02-04,6656400.0
2018-07-27,5940400.0
2018-08-28,6498200.0
2019-01-03,9087900.0
2019-08-15,6141100.0
2018-10-31,8711600.0
2019-09-16,7013200.0
2020-02-18,4994500.0
2020-05-07,9590300.0
2018-08-17,4063400.0
2019-12-04,3143800.0
2020-02-21,3348000.0
2018-12-17,3237400.0
2019-08-30,4834200.0
2018-11-15,5017600.0
2019-07-29,4151600.0
2019-06-27,4281000.0
2019-04-24,3883000.0
2018-07-10,8048500.0
2018-09-12,4809400.0
2019-02-19,3012300.0
2019-01-18,2493700.0
2020-02-24,1136200.0
2020-05-13,2836400.0
2019-12-10,4167700.0
2020-02-27,4660000.0
2019-12-13,3968900.0
2020-05-19,5771600.0
2019-03-06,3772700.0
2018-11-30,7684500.0
2019-08-13,10082500.0
2019-07-12,7393300.0
2019-06-10,6222000.0
2019-05-09,5958000.0
2018-07-25,4515700.0
2018-09-27,4715200.0
2018-10-29,4210900.0
2019-10-16,7687900.0
2019-12-16,7691700.0
2020-03-04,10631000.0
2020-05-22,8632300.0
2019-10-01,19248000.0
2019-12-19,4702200.0
2018-09-10,12927500.0
2019-05-24,8890300.0
2018-08-09,9235400.0
2019-04-22,6336900.0
2019-03-21,7442000.0
2019-01-16,9788300.0
2019-08-28,5843900.0
2018-11-13,6562200.0
2018-10-12,6232800.0
2019-06-25,3926900.0
2020-03-10,5954800.0
2020-05-28,4594400.0
2019-10-07,3548900.0
2020-03-13,4224400.0
2019-10-10,4155600.0
2020-03-16,3738800.0
2020-06-03,5306000.0
2018-11-28,5156800.0
2018-09-25,4492400.0
2018-07-23,6461100.0
2018-08-24,5211700.0
2019-07-10,4807000.0
2019-05-07,4328700.0
2019-04-05,3408800.0
2019-03-04,9748800.0
2019-01-31,6851900.0
2019-09-12,6367200.0
2019-12-31,5040900.0
2020-03-19,5480000.0
2020-01-03,6171400.0
2020-06-09,4908500.0
2019-02-15,6303700.0
2019-01-14,7417700.0
2018-07-06,5655400.0
2018-08-07,5054500.0
2018-10-10,5359600.0
2018-12-13,6782000.0
2019-08-26,5329700.0
2019-07-25,3223400.0
2019-05-22,3192800.0
2019-03-19,3451300.0
2020-01-06,3587700.0
2020-03-25,4900800.0
2020-06-12,6255800.0
2019-10-22,7067200.0
2020-01-09,3842700.0
2020-06-15,3993500.0
2019-10-25,3113800.0
2020-03-31,3386000.0
2020-06-18,5003500.0
2019-04-03,5120500.0
2018-08-22,3737400.0
2018-10-25,3763100.0
2019-01-29,4104500.0
2018-12-28,4830800.0
2018-11-26,3872500.0
2019-08-09,3485800.0
2019-07-08,4190000.0
2019-06-06,4429100.0
2019-09-10,4601400.0
2020-01-15,3495300.0
2020-04-03,3700700.0
2019-10-31,3640400.0
2020-04-06,5755500.0
2020-06-24,4707400.0
2018-11-09,4911400.0
2019-07-23,4352300.0
2019-06-21,3872300.0
2019-05-20,3035900.0
2019-04-18,5169500.0
2018-09-06,3470100.0
2018-10-08,3086600.0
2019-02-13,2357300.0
2018-12-11,4206300.0
2019-09-25,3936600.0
2020-01-21,2385600.0
2020-04-09,4282100.0
2019-11-06,5307100.0
2020-01-24,3505500.0
2020-01-27,3369300.0
2020-04-15,3649700.0
2018-12-26,3366500.0
2019-08-07,4632000.0
2019-06-04,5980000.0
2018-09-21,4587400.0
2018-07-19,5556500.0
2018-08-20,2749700.0
2018-10-23,2514400.0
2019-05-03,2848400.0
2019-04-01,3045800.0
2019-02-28,3460800.0
2019-11-12,2825600.0
2020-01-30,2351200.0
2019-11-15,2603400.0
2020-04-21,3959600.0
2019-04-16,4183300.0
2019-03-15,5730400.0
2019-02-11,4207400.0
2019-01-10,5808900.0
2019-08-22,5639000.0
2018-11-07,6920900.0
2018-08-03,5229100.0
2018-09-04,9137800.0
2019-06-19,5074600.0
2019-09-23,7952300.0
2019-11-18,6041400.0
2020-02-05,8682100.0
2020-04-24,6454900.0
2019-03-29,5567900.0
2019-11-21,11695500.0
2020-04-27,5791100.0
2020-02-11,7765200.0
2020-04-30,9135500.0
2019-05-01,7680900.0
2019-02-26,4968300.0
2019-01-25,5125300.0
2018-12-24,5326400.0
2019-09-06,6294400.0
2018-07-17,5095200.0
2018-09-19,5797100.0
2019-08-05,6373100.0
2019-10-08,7183800.0
2019-12-11,9537000.0
2019-11-27,6334300.0
2020-02-14,6399800.0
2020-05-06,6478500.0
2019-01-08,4521900.0
2018-12-07,5349400.0
2019-08-20,5151000.0
2018-11-05,3779400.0
2019-07-19,1897800.0
2018-10-04,2865000.0
2019-06-17,3638900.0
2019-05-16,2955000.0
2018-08-01,3195200.0
2019-03-13,3151700.0
2019-12-03,2894100.0
2020-02-20,2265400.0
2019-12-06,3419300.0
2020-05-12,3497700.0
2019-12-09,3041100.0
2020-02-26,3064000.0
2020-05-15,1643800.0
2019-03-28,2571400.0
2018-09-17,2503700.0
2018-08-16,4246200.0
2018-10-19,4950600.0
2019-04-29,4432600.0
2019-01-23,2874100.0
2019-09-04,3692200.0
2018-11-20,7103000.0
2019-07-02,4680600.0
2019-05-31,4347900.0
2019-12-12,4823900.0
2020-05-18,3418200.0
2019-09-27,3244900.0
2020-03-03,3535800.0
2020-05-21,2606400.0
2019-05-14,2918300.0
2018-08-31,3057200.0
2018-07-30,2657400.0
2018-10-02,2966800.0
2019-04-12,3058900.0
2019-03-11,2583000.0
2019-02-07,2687900.0
2019-07-17,2374900.0
2019-09-19,4285200.0
2019-10-21,2518000.0
2019-12-18,3278400.0
2020-03-06,4236000.0
2019-10-03,2982500.0
2020-03-09,4557900.0
2020-05-27,2833800.0
2019-12-24,3061400.0
2020-03-12,3739900.0
2018-12-20,4290900.0
2019-08-01,3960600.0
2018-08-14,3101500.0
2018-07-13,3965300.0
2018-10-17,3343600.0
2019-05-29,4078600.0
2019-03-26,3182800.0
2019-02-22,2041200.0
2019-10-04,3159900.0
2019-11-05,2261600.0
2019-12-27,4954800.0
2020-06-02,3083000.0
2019-12-30,3000900.0
2020-03-18,2593100.0
2020-06-05,1755700.0
2019-07-15,2337800.0
2018-12-03,2462800.0
2019-06-13,2639500.0
2019-01-04,3580300.0
2018-08-29,2960600.0
2019-02-05,2810600.0
2018-11-01,2279600.0
2019-08-16,2821500.0
2019-04-10,2240200.0
2019-09-17,2487900.0
2019-10-15,3730000.0
2020-01-02,1531100.0
2020-06-08,2137500.0
2019-10-18,3458300.0
2020-03-24,3867500.0
2020-06-11,3495400.0
2020-01-08,2482500.0
2019-04-25,2812800.0
2019-07-30,3062400.0
2019-02-20,3813300.0
2018-07-11,4120200.0
2018-09-13,4851000.0
2018-10-15,3969500.0
2019-06-28,4294100.0
2018-12-18,3517800.0
2018-11-16,2820100.0
2019-10-02,3354900.0
2020-03-27,4402100.0
2020-01-10,3407300.0
2019-10-24,3621500.0
2020-03-30,2340700.0
2020-06-17,2019100.0
2020-01-14,2665300.0
2020-04-02,2345000.0
2019-01-02,2242100.0
2019-08-14,1991200.0
2018-10-30,2320300.0
2019-06-11,2537900.0
2019-05-10,2551300.0
2019-04-08,2741200.0
2018-08-27,2347500.0
2018-07-26,3914100.0
2018-09-28,3943400.0
2019-03-07,2056900.0
2019-10-30,1870300.0
2020-01-17,3233700.0
2020-06-23,4373300.0
2020-04-08,3934100.0
2020-06-26,2878800.0
2019-03-22,3301500.0
2019-01-17,2626600.0
2019-08-29,4522400.0
2018-11-14,3316100.0
2019-06-26,2510100.0
2018-09-11,3441200.0
2018-07-09,3538600.0
2018-08-10,3472400.0
2019-04-23,3556000.0
2019-09-30,3305000.0
2020-01-23,9383900.0
2019-11-08,2724600.0
2020-04-14,750300.0
2019-11-11,1448300.0
2020-01-29,1807700.0
2020-04-17,2327000.0
2018-07-24,2412700.0
2018-09-26,4973500.0
2019-05-08,3111000.0
2019-03-05,2178600.0
2019-02-01,2426200.0
2018-12-31,2299800.0
2018-11-29,1670400.0
2019-08-12,3665400.0
2019-07-11,4283200.0
2019-09-13,3776000.0
2019-11-14,3274400.0
2020-04-20,2942100.0
2020-02-04,4762300.0
2020-04-23,3563900.0
2018-12-14,2697000.0
2019-08-27,1873900.0
2018-08-08,2006500.0
2018-10-11,3170700.0
2018-11-12,3710900.0
2019-07-26,3477700.0
2019-06-24,4079500.0
2019-05-23,10558300.0
2019-03-20,5626500.0
2019-01-15,7236300.0
2019-11-20,4503400.0
2020-02-07,2438000.0
2020-02-10,4101400.0
2020-04-29,3034000.0
2019-11-26,3373200.0
2020-02-13,4710200.0
2019-01-30,3577200.0
2018-08-23,2652600.0
2018-09-24,3064900.0
2018-11-27,3349500.0
2018-10-26,3331700.0
2019-07-09,3151100.0
2019-06-07,3755600.0
2019-05-06,4617900.0
2019-04-04,4551700.0
2019-09-11,6430700.0
2019-11-29,9547600.0
2020-05-05,6513400.0
2019-12-02,5143800.0
2020-02-19,5083800.0
2020-05-08,5387700.0
2019-05-21,6246100.0
2019-03-18,7142500.0
2018-09-07,5058500.0
2018-08-06,9036400.0
2018-10-09,9462600.0
2019-02-14,9280300.0
2018-12-12,7892300.0
2019-07-24,6586000.0
2019-09-26,7446800.0
2019-10-28,8253600.0
2019-12-05,10024700.0
2020-05-11,9656300.0
2019-07-03,8684400.0
2020-02-25,7067100.0
2020-05-14,6600300.0
2020-02-28,5939300.0
2019-08-08,6152200.0
2019-06-05,10328600.0
2018-07-20,9540600.0
2018-08-21,7303600.0
2018-10-24,6138200.0
2019-04-02,8641200.0
2019-03-01,7054600.0
2019-01-28,6720200.0
2018-12-27,7417200.0
2019-09-09,4780400.0
2020-03-02,3967500.0
2020-05-20,4559600.0
2019-12-17,3196300.0
2020-03-05,4786900.0
2019-02-12,4335300.0
2019-01-11,4913200.0
2018-12-10,4561200.0
2019-08-23,4433800.0
2018-11-08,3279200.0
2019-07-22,3557300.0
2019-06-20,4365100.0
2018-09-05,4741400.0
2019-04-17,4169500.0
2019-09-24,12267500.0
2019-12-20,7994800.0
2020-05-26,7780000.0
2019-04-30,6631200.0
2019-12-23,6957400.0
2020-03-11,5764500.0
2020-05-29,4936300.0
2019-12-26,4733200.0
2020-06-01,8312300.0
2019-05-02,6867500.0
2019-02-27,5329100.0
2018-11-23,7346500.0
2019-08-06,5516100.0
2018-07-18,5274400.0
2018-09-20,3835000.0
2018-10-22,4152400.0
2019-07-05,8447700.0
2019-06-03,8324600.0
2019-10-09,5640000.0
2019-10-11,11299800.0
2020-03-17,5384400.0
2020-06-04,4758000.0
2019-10-14,4155200.0
2020-03-20,5030900.0
2018-11-06,5856400.0
2019-06-18,7837700.0
2019-05-17,5468200.0
2019-04-15,5035300.0
2019-03-14,7939900.0
2019-01-09,5595000.0
2018-08-02,5687500.0
2018-10-05,6497200.0
2019-08-21,7383600.0
2019-10-17,6391000.0
2020-03-23,16745800.0
2020-06-10,7308900.0
2019-02-25,7201100.0
2020-01-07,6231100.0
2020-03-26,4290900.0
2019-10-23,6559400.0
