Dates,UHS
2018-06-20,777500.0
2018-06-21,638400.0
2018-06-25,664000.0
2018-06-22,600900.0
2018-06-26,394300.0
2018-06-27,708000.0
2018-06-28,988400.0
2018-06-29,880600.0
2018-07-02,716600.0
2018-07-03,331500.0
2018-07-05,1030600.0
2018-07-16,805600.0
2018-09-18,976900.0
2019-01-24,653400.0
2019-09-05,447200.0
2018-11-21,622800.0
2020-01-13,649800.0
2020-04-01,738600.0
2020-06-19,413100.0
2019-10-29,605500.0
2020-01-16,553900.0
2020-06-22,432600.0
2018-10-03,1121000.0
2018-07-31,1012800.0
2019-03-12,1423600.0
2019-02-08,2094300.0
2019-01-07,1062500.0
2018-12-06,806500.0
2019-08-19,1120000.0
2019-07-18,875300.0
2019-05-15,658700.0
2019-09-20,686200.0
2019-11-01,678800.0
2020-04-07,721600.0
2020-06-25,421800.0
2020-06-16,620100.0
2019-11-04,701500.0
2020-01-22,572900.0
2019-11-07,571900.0
2020-04-13,872600.0
2019-07-01,659700.0
2019-05-30,541900.0
2018-08-15,424300.0
2018-10-18,639400.0
2019-03-27,536000.0
2019-01-22,539300.0
2018-12-21,396800.0
2019-09-03,530600.0
2018-11-19,478300.0
2019-08-02,350500.0
2020-01-28,594700.0
2020-04-16,660400.0
2019-11-13,735200.0
2020-01-31,545600.0
2018-12-04,555000.0
2018-11-02,555000.0
2019-07-16,623400.0
2018-08-30,692600.0
2018-10-01,557100.0
2019-06-14,807200.0
2019-05-13,488600.0
2019-04-11,450500.0
2019-02-06,1215000.0
2019-09-18,554500.0
2020-02-03,470600.0
2020-04-22,726300.0
2019-11-19,384700.0
2020-02-06,407400.0
2019-11-22,538400.0
2019-03-25,426800.0
2019-02-21,877400.0
2018-12-19,493200.0
2018-07-12,584300.0
2018-09-14,813100.0
2018-08-13,399900.0
2018-10-16,405900.0
2019-07-31,353800.0
2019-05-28,401700.0
2019-04-26,848700.0
2020-04-28,929500.0
2019-11-25,918600.0
2020-02-12,560800.0
2020-05-01,554000.0
2020-05-04,490600.0
2019-06-12,924600.0
2019-04-09,757900.0
2019-03-08,1197100.0
2019-02-04,1046500.0
2018-07-27,702300.0
2018-08-28,743300.0
2019-01-03,1469600.0
2019-08-15,1598100.0
2018-10-31,1097400.0
2019-09-16,891000.0
2020-02-18,606700.0
2020-05-07,614100.0
2018-08-17,419000.0
2019-12-04,675800.0
2020-02-21,678800.0
2018-12-17,571500.0
2019-08-30,541300.0
2018-11-15,552600.0
2019-07-29,682300.0
2019-06-27,496500.0
2019-04-24,825800.0
2018-07-10,1224000.0
2018-09-12,1195100.0
