Dates,TMUS
2020-05-06,4393300.0
2019-01-08,2319600.0
2018-12-07,4117800.0
2019-08-20,2226100.0
2018-11-05,2871700.0
2019-07-19,2080900.0
2018-10-04,1318500.0
2019-06-17,1667300.0
2019-05-16,3553000.0
2018-08-01,14441200.0
2019-03-13,10108700.0
2019-12-03,63068400.0
2020-02-20,6189800.0
2019-12-06,5234900.0
2020-05-12,3238100.0
2019-12-09,6471700.0
2020-02-26,5311800.0
2020-05-15,4694700.0
2019-03-28,3507800.0
2018-09-17,10198400.0
2018-08-16,5501600.0
2018-10-19,12333200.0
2019-04-29,5858900.0
2019-01-23,5285000.0
2019-09-04,4596600.0
2018-11-20,4761400.0
2019-07-02,5428000.0
2019-05-31,4046200.0
2019-12-12,4010400.0
2020-05-18,3492700.0
2019-09-27,3023400.0
2020-03-03,2698600.0
2020-05-21,1888200.0
2019-05-14,2541600.0
2018-08-31,2900800.0
2018-07-30,2582100.0
2018-10-02,3094600.0
2019-04-12,1697300.0
2019-03-11,1856000.0
2019-02-07,1221500.0
2019-07-17,2010900.0
2019-09-19,2883800.0
2019-10-21,1735900.0
2019-12-18,1871900.0
2020-03-06,2035600.0
2019-10-03,1389900.0
2020-03-09,1701100.0
2020-05-27,1752700.0
2019-12-24,1876500.0
2020-03-12,1963000.0
2018-12-20,2930500.0
2019-08-01,2514400.0
2018-08-14,2254200.0
2018-07-13,2412200.0
2018-10-17,2005900.0
2019-05-29,1737700.0
2019-03-26,2178800.0
2019-02-22,2851800.0
2019-10-04,2200400.0
2019-11-05,2257200.0
2019-12-27,7141600.0
2020-06-02,2361200.0
2019-12-30,3631000.0
2020-03-18,1957600.0
2020-06-05,1902600.0
2019-07-15,3373400.0
2018-12-03,2191100.0
2019-06-13,2803500.0
2019-01-04,3282000.0
2018-08-29,2321600.0
2019-02-05,1838400.0
2018-11-01,1908200.0
2019-08-16,2308700.0
2019-04-10,1967200.0
2019-09-17,2393300.0
2019-10-15,2070000.0
2020-01-02,1982300.0
2020-06-08,1805000.0
2019-10-18,2261500.0
2020-03-24,3903800.0
2020-06-11,3197200.0
2020-01-08,2899400.0
2019-04-25,2141800.0
2019-07-30,1256200.0
2019-02-20,1884900.0
2018-07-11,2006100.0
2018-09-13,3054300.0
2018-10-15,4154800.0
2019-06-28,4150000.0
2018-12-18,2548900.0
2018-11-16,2585800.0
2019-10-02,3055800.0
2020-03-27,1622800.0
2020-01-10,2705600.0
2019-10-24,2674200.0
2020-03-30,1614800.0
2020-06-17,6388500.0
2020-01-14,4346000.0
2020-04-02,2715800.0
2019-01-02,2881500.0
2019-08-14,3941400.0
2018-10-30,4235800.0
2019-06-11,2332900.0
2019-05-10,2779400.0
2019-04-08,1694800.0
2018-08-27,2896100.0
2018-07-26,2978200.0
2018-09-28,2832200.0
2019-03-07,2081500.0
2019-10-30,872900.0
2020-01-17,2881400.0
2020-06-23,1956600.0
2020-04-08,1905500.0
2020-06-26,2820400.0
2019-03-22,2900300.0
2019-01-17,4364300.0
2019-08-29,3080600.0
2018-11-14,3374000.0
2019-06-26,2845600.0
2018-09-11,2725400.0
2018-07-09,3487900.0
2018-08-10,3603800.0
2019-04-23,4106300.0
2019-09-30,2991900.0
2020-01-23,5944300.0
2019-11-08,1709400.0
2020-04-14,470100.0
2019-11-11,1240900.0
2020-01-29,1310000.0
2020-04-17,2342000.0
2018-07-24,1714900.0
2018-09-26,3392700.0
2019-05-08,1831900.0
2019-03-05,2675300.0
2019-02-01,3262400.0
2018-12-31,3037400.0
2018-11-29,2981900.0
2019-08-12,2224800.0
2019-07-11,2283400.0
2019-09-13,2050100.0
2019-11-14,1612300.0
2020-04-20,3109300.0
2020-02-04,3559600.0
2020-04-23,3612000.0
2018-12-14,1672500.0
2019-08-27,1754900.0
2018-08-08,1596500.0
2018-10-11,1934600.0
2018-11-12,2395000.0
2019-07-26,2602400.0
2019-06-24,2352700.0
2019-05-23,2863600.0
2019-03-20,2879800.0
2019-01-15,4597800.0
2019-11-20,2758800.0
2020-02-07,2976200.0
2020-02-10,6740600.0
2020-04-29,3423100.0
2019-11-26,25874400.0
2020-02-13,8915500.0
2019-01-30,5490500.0
